# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 1e+11
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000589256	0.0485285	0.00143316	1.29143e+08	1.52884e+07	0.0080279	0.00185605	0.00132855	0.00188709	0.00187524	0.00164523	0.00155825	0.00231136	-0.000238751	0.00647324	0.0667221	0.00377019	1.08737	1.70556	9997
0.000592457	0.0511511	0.00172471	1.64923e+08	2.26911e+07	0.0107349	0.00198137	0.00504829	0.00189352	0.000897986	0.00165064	0.0011791	0.00223076	-0.00840636	0.00617817	0.0637885	0.0035861	1.91079	2.56443	9992
0.000595676	0.0506248	0.00162867	1.70729e+08	2.38823e+07	0.0104405	0.00190377	0.0025293	0.00193829	0.00206298	0.00165933	0.00416894	0.00229015	0.00438571	0.00643054	0.0711855	0.00368003	0.579242	3.25296	9990
0.000598913	0.0485768	0.00149783	1.47471e+08	1.97933e+07	0.00861023	0.00189702	0.00122287	0.0018257	0.000431342	0.00167124	0.00110827	0.00215746	0.00751125	0.00623021	0.0640564	0.00365236	-2.62755	9.42423	9994
0.000602167	0.0484871	0.00151873	1.04993e+08	1.26415e+07	0.00475108	0.00190842	0.000772829	0.00188374	-0.00173722	0.00158754	0.00636977	0.00222408	-0.00338862	0.00649268	0.0613364	0.00363483	-20.4658	14.4959	9995
0.000605438	0.0536155	0.00163731	1.40186e+08	1.83111e+07	0.00647033	0.00198574	-0.000991107	0.00193344	0.0020326	0.00174846	0.00159004	0.00224883	0.00250999	0.00612995	0.0696593	0.00368979	-8.19378	5.88581	9992
0.000608728	0.0496585	0.00147559	1.14797e+08	1.71956e+07	0.0081678	0.00193248	-0.000471072	0.00184229	-0.000836426	0.00167686	-0.00204885	0.00226325	-0.0108872	0.00626745	0.0686417	0.0036254	-7.31121	12.2932	9996
0.000612035	0.0482212	0.00157131	1.3577e+08	1.89924e+07	0.00963966	0.00184178	0.00261671	0.0018776	0.00160521	0.00165346	0.00081819	0.00219306	-0.00271045	0.00669608	0.0648663	0.00367508	0.560514	3.5503	9994
0.000615361	0.0520285	0.00165681	1.25433e+08	1.38295e+07	0.0043842	0.0019152	-0.00228961	0.00195694	-0.00269745	0.001709	-0.00200199	0.00226359	0.0129442	0.00640028	0.0613225	0.0036835	4.39156	10.5845	9996
0.000618704	0.0478184	0.00152693	1.20193e+08	1.53055e+07	0.00662551	0.00183347	0.00145761	0.00186487	-6.81963e-05	0.00165404	0.00070164	0.00223371	0.00730413	0.00624112	0.0616629	0.00370374	-6.90893	6.07463	9995
0.000622066	0.0493587	0.00156584	1.4014e+08	1.59985e+07	0.0101658	0.00188827	0.00360555	0.00188854	0.00151294	0.00165703	0.00122591	0.00214504	0.00955295	0.00646802	0.0688253	0.00356448	1.2425	7.71316	9994
0.000625445	0.0510829	0.00168258	1.43466e+08	2.0422e+07	0.00552931	0.00194056	0.00433355	0.00188856	0.00101963	0.00170214	-0.00143989	0.00214672	0.00713768	0.00610629	0.0678071	0.00368029	-6.09408	4.87698	9994
0.000628844	0.0508514	0.0014786	1.52829e+08	1.80731e+07	0.00629076	0.00193151	0.00109294	0.00189506	-0.00183594	0.00169081	-0.00222431	0.00224343	0.005762	0.00655819	0.067422	0.00372846	1.20119	1.64278	9997
0.00063226	0.0510433	0.00180423	1.72842e+08	2.28845e+07	0.0072573	0.00190995	0.00184383	0.00192778	-0.000956605	0.00169045	-0.00168317	0.00218761	0.00837085	0.00651189	0.0661172	0.00372546	2.75232	2.93082	9993
