# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 1e+11
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000714286	0.0643687	0.00175771	4.11503e+08	3.68858e+07	-0.00173419	0.00215329	0.000407496	0.00218338	0.00359849	0.00186973	0.00952857	0.00503386	0.00283407	0.00476249	0.064373	0.00175769	-nan	-nan	9987
0.000718167	0.0640746	0.00170459	3.76163e+08	3.29812e+07	0.000535023	0.00218498	0.000616769	0.00214871	-0.00237807	0.00185544	0.00344161	0.00491845	0.00203659	0.00492678	0.0640718	0.0017046	-nan	-nan	9994
0.000722069	0.0620013	0.00161403	3.31387e+08	2.95358e+07	0.00167239	0.00212179	0.000844385	0.00215126	-0.000604056	0.00181395	-0.00153994	0.00502779	-0.00973878	0.00480998	0.0619988	0.00161404	-nan	-nan	9993
0.000725992	0.0611078	0.00165453	3.36045e+08	3.05677e+07	-0.00405697	0.00213615	0.00057345	0.00210865	-0.000133145	0.00179829	0.00242174	0.00486407	0.00590908	0.00494674	0.0611083	0.00165453	-nan	-nan	9990
0.000729936	0.0655221	0.00172728	3.16262e+08	2.51718e+07	0.00130312	0.00217075	0.00020684	0.00223771	-0.00285661	0.00184791	0.00186275	0.00489276	0.00093772	0.00500187	0.0655221	0.00172728	-nan	-nan	9985
0.000733902	0.0623928	0.00168602	3.07046e+08	2.66574e+07	0.000183567	0.00212526	0.00357037	0.00215674	0.00325092	0.00182585	0.00123944	0.0049985	-0.0043813	0.00469868	0.0623934	0.00168601	-nan	-nan	9989
0.00073789	0.0642058	0.0017323	3.5598e+08	3.05476e+07	-0.000947922	0.00211456	0.00544381	0.00222618	-0.0019571	0.00185259	-0.00130213	0.00507096	-0.00441886	0.00513672	0.0642014	0.00173231	-nan	-nan	9992
0.000741899	0.062383	0.00164247	3.34509e+08	3.10495e+07	0.00315976	0.00217511	0.00157811	0.00211441	0.000198673	0.00181802	0.000510986	0.00498201	-0.00763125	0.00505928	0.0623853	0.00164247	-nan	-nan	9984
0.00074593	0.0609594	0.00164306	3.01086e+08	2.81441e+07	0.000828721	0.00212194	-7.66887e-05	0.00211255	-0.000783388	0.00180227	0.00592445	0.00490599	0.0059908	0.00500579	0.0609567	0.00164307	-nan	-nan	9992
0.000749982	0.0647397	0.00175399	3.66943e+08	3.19832e+07	0.00179399	0.0021534	0.000843497	0.00216294	-0.0026933	0.00191401	0.0019894	0.00496237	0.0035233	0.00477156	0.0647396	0.00175399	-nan	-nan	9984
0.000754057	0.0656176	0.00175622	4.45438e+08	3.77378e+07	-0.00241364	0.00219054	0.00133341	0.00220872	0.00147059	0.00186235	-0.00687741	0.00503337	-0.00142507	0.00476738	0.065618	0.00175622	-nan	-nan	9992
