# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 1e+11
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000790569	0.085366	0.00241282	5.36199e+07	9.08231e+06	-0.00154712	0.0025046	-0.00616234	0.00247601	-0.000633895	0.00216388	-0.00016929	0.00219205	0.00812508	0.00777722	0.108554	0.00509636	-4.83986	6.7231	9998
0.000794865	0.0891223	0.00242173	6.1281e+07	1.0844e+07	-0.00181504	0.00261141	-0.0024527	0.00245716	0.000622749	0.0022328	-0.00371255	0.00221075	0.0159159	0.00759897	0.10841	0.00524296	-1.52431	2.96839	9997
0.000799183	0.0865839	0.0025042	5.62893e+07	1.12308e+07	0.00216335	0.00256339	0.00144153	0.00242151	-0.00600621	0.00221328	0.00365795	0.00219783	-0.000382258	0.0078369	0.104447	0.00524066	1.5391	2.59784	9996
0.000803526	0.0823072	0.00229695	3.75595e+07	8.29518e+06	-0.00301588	0.00248496	0.00265509	0.00235646	-0.00350663	0.00217849	-0.000890514	0.0021934	-0.00696744	0.00789059	0.104147	0.00512221	0.488597	2.02289	9999
0.000807891	0.0860765	0.00266793	4.95474e+07	9.39773e+06	-0.000569036	0.0025397	0.000287495	0.00244839	-0.00102222	0.00218798	0.00673519	0.00224922	0.00955128	0.00806613	0.107276	0.00509269	-5.66718	3.49297	9998
0.000812281	0.0869937	0.0024649	4.05314e+07	6.22946e+06	-0.002335	0.00262879	0.00254051	0.00234566	0.00111465	0.00223628	-0.000372651	0.00227151	-0.00922368	0.00795147	0.108349	0.00529117	-5.45932	5.41698	9998
0.000816694	0.0868059	0.00230559	5.57646e+07	1.28045e+07	-0.00111827	0.00254303	-0.000945541	0.00244133	0.00121348	0.00222553	-0.000300412	0.00221957	0.0102376	0.0079184	0.107845	0.00513485	0.812947	0.992066	9997
0.000821131	0.0874391	0.00254993	3.87191e+07	5.83873e+06	0.00438081	0.00258638	0.00104591	0.00245326	0.000236305	0.0021895	0.0012538	0.00227656	0.00675194	0.00810418	0.109295	0.00535755	2.25987	4.97244	9999
0.000825593	0.0848205	0.00236331	5.35352e+07	7.79031e+06	8.5486e-05	0.00254646	-0.00556346	0.00237942	-0.00336889	0.00219803	-0.00193264	0.00229838	0.0125486	0.00793511	0.0945655	0.00526059	0.471658	0.963292	9998
0.000830078	0.0852428	0.00242092	6.2258e+07	1.51182e+07	0.00447094	0.0025252	0.00111509	0.00244074	-0.0024605	0.00217593	-0.00103732	0.00224431	0.00198928	0.00789204	0.114248	0.00528793	8.6451	6.60952	9995
0.000834588	0.0892702	0.00260233	3.88196e+07	7.61447e+06	-0.000451341	0.00255535	-0.00239373	0.00252274	0.000321815	0.00223144	0.00132341	0.00222922	-0.00975595	0.00779313	0.103278	0.00523775	-1.26887	2.91446	9997
0.000839123	0.0902581	0.00258461	6.20661e+07	1.49063e+07	0.00117405	0.00263269	-0.00264338	0.00245473	0.00361567	0.00225975	-0.00126087	0.00218753	0.00287097	0.00771574	0.104604	0.00510385	0.180871	2.82154	10000
0.000843682	0.088182	0.00259717	3.93277e+07	7.42228e+06	0.000593013	0.00253306	0.000576584	0.00250337	0.00188852	0.00222975	-0.00146091	0.00221991	-0.0129714	0.00789162	0.103631	0.00518028	-2.28659	1.84444	9997
0.000848266	0.0859264	0.00255932	6.25818e+07	1.29603e+07	0.00132544	0.00252656	0.00525773	0.00245261	0.00333447	0.00219051	-0.000587836	0.00213739	-0.00261285	0.00759812	0.100949	0.00516028	-13.6098	9.2485	9999
0.000852875	0.0886452	0.0026938	4.75542e+07	9.04601e+06	-0.00139819	0.00251754	-0.00439552	0.00251097	0.00117772	0.00225877	0.00260205	0.00228358	-0.0073843	0.00800523	0.112102	0.00542808	-4.97604	2.62079	9998
0.000857509	0.0906012	0.00267173	3.90169e+07	7.09789e+06	0.000891326	0.002572	0.00360944	0.00251194	0.00344219	0.00228347	-0.000774272	0.00215976	-0.00985767	0.00786716	0.112313	0.00520615	-1.59725	3.38097	9996
