# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 1e+11
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000336718	0.0194632	0.00202866	3.11602e+08	3.03188e+07	0.00709932	0.00115351	-0.000457347	0.0012473	0.00132094	0.0010063	0.000272416	0.000702068	-0.00119368	0.00549174	0.0295334	0.00430547	-13.1749	9.88514	9983
0.000338547	0.0157293	0.00080387	3.4884e+08	3.30281e+07	0.0089219	0.00108529	-0.000309441	0.00102871	0.000842768	0.000954209	0.000509009	0.000622159	-0.000294816	0.0055118	0.028866	0.00414652	-7.3647	4.05415	9988
0.000340386	0.0159623	0.000754959	3.43105e+08	3.41963e+07	0.0101744	0.00111762	0.000656678	0.00101311	-0.00121363	0.000957889	-0.000934751	0.000658187	0.00386123	0.00560807	0.0274178	0.00428301	-7.66105	5.32206	9981
0.000342236	0.0169333	0.00105646	2.79655e+08	2.6775e+07	0.00960757	0.00112574	0.00104332	0.00106805	-0.000182221	0.000989601	0.00030592	0.00065971	0.00523364	0.00565118	0.0305829	0.00410593	-4.73599	7.63761	9985
0.000344095	0.0159493	0.000994468	2.79678e+08	2.72569e+07	0.00956848	0.00111384	0.000158089	0.00100079	0.00129876	0.000973316	-0.00071735	0.00061565	-0.00123905	0.00553648	0.0309045	0.00428502	-11.0086	4.65917	9987
0.000345965	0.0202091	0.0018224	3.20868e+08	3.08216e+07	0.0105421	0.00130622	0.000416496	0.001109	0.00235085	0.00105153	0.00125069	0.000662218	0.00470163	0.00539748	0.0329664	0.0043496	8.69869	11.1048	9984
0.000347844	0.0154287	0.000786525	2.95322e+08	2.73269e+07	0.00679123	0.00108526	5.94915e-05	0.00098355	-0.000799049	0.000972381	6.58164e-05	0.000682053	0.00661958	0.00541881	0.036882	0.00423053	-18.0225	8.50343	9985
0.000349734	0.0170042	0.00101618	2.90173e+08	2.9415e+07	0.00832257	0.0011506	0.000392886	0.001066	-0.000616811	0.000970966	0.000207272	0.000650113	-0.00490746	0.00551578	0.0327173	0.0043591	-8.61421	7.78204	9988
0.000351635	0.0196425	0.00170187	3.13893e+08	2.809e+07	0.00984288	0.00119027	-0.000110767	0.00123471	-0.000255823	0.000994124	-0.00131177	0.000705508	-0.00144602	0.0054609	0.0282707	0.00428056	-1.51884	2.13182	9986
0.000353545	0.017612	0.00088521	3.40555e+08	3.46979e+07	0.0114305	0.00116824	9.62757e-05	0.00108809	-0.00127926	0.000986036	-5.86476e-05	0.000657935	-0.000887611	0.00544796	0.027203	0.00440753	-14.5588	10.7973	9981
0.000355466	0.0162662	0.00081716	3.55914e+08	3.28065e+07	0.00823603	0.00108182	-0.00103666	0.00103674	-0.00131481	0.00100647	-0.000563311	0.000675123	0.00379768	0.00538655	0.0320353	0.00419184	-18.3409	8.52404	9979
0.000357397	0.0190902	0.00145758	3.27647e+08	3.14659e+07	0.00892787	0.00122561	0.00100497	0.00110783	0.000237513	0.00104405	0.000418426	0.0006633	0.00290454	0.00557916	0.0358816	0.00432124	-0.179575	4.62903	9989
0.000359339	0.0186757	0.000914375	3.2106e+08	3.10714e+07	0.00957861	0.00118167	-0.000318213	0.00108526	0.000980506	0.00107875	-0.000339076	0.000701687	-0.005239	0.00548446	0.0275806	0.00425559	-1.78162	6.97141	9982
0.000361292	0.0156059	0.00101435	2.73859e+08	2.74549e+07	0.00952255	0.00110379	0.000463796	0.000983041	-0.000710126	0.00096842	-1.12863e-06	0.000640395	0.00500673	0.00565149	0.0290009	0.00422679	-3.48888	2.7902	9983
0.000363255	0.0167867	0.000784626	3.60461e+08	3.44267e+07	0.0119282	0.00113602	-0.000391142	0.00104073	0.000369047	0.000990334	0.000861864	0.00064662	0.000944273	0.00539368	0.0305863	0.00426956	-3.44977	5.84014	9982
0.000365228	0.0165639	0.000775266	3.18181e+08	3.08165e+07	0.00793552	0.00115881	-0.000609036	0.00100536	-0.000581613	0.000981204	5.66406e-05	0.000639817	-0.00343831	0.00556158	0.0334072	0.00462295	3.37982	6.98783	9986
