# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 811131
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000714286	0.079928	0.00227418	25890.7	1055.76	0.01028	0.00265014	0.00274609	0.00257173	-0.0017511	0.00228183	0.000456039	0.00251428	0.00551906	0.0065211	0.086486	0.00445952	-1.53306	0.291859	8485
0.000718167	0.0822638	0.00230968	26772.8	1072.35	0.00234264	0.00274278	-0.000735685	0.00256527	-0.00120385	0.00229264	-0.000417681	0.00248922	0.00109063	0.00655854	0.101782	0.00454623	-1.88591	0.600391	8506
0.000722069	0.0838253	0.00262795	29395.4	1138.51	0.00178942	0.00269437	0.000824313	0.0026727	0.00149948	0.00231331	0.000585452	0.00262873	-0.00495316	0.00663071	0.0876179	0.00447146	-1.14795	0.170818	8494
0.000725992	0.0846707	0.0026435	28497	1120.8	0.00802466	0.00272428	0.00403022	0.00268479	-0.00189112	0.00229535	0.00159109	0.00252437	-0.000404269	0.00659244	0.096758	0.00440235	-1.43822	0.251661	8514
0.000729936	0.0839982	0.00241065	26501.7	1046.32	0.00617558	0.00270315	0.00221263	0.00262989	0.00331075	0.00235629	0.00228281	0.00258828	0.0018879	0.00656753	0.0914946	0.0044058	-1.35075	0.183065	8500
0.000733902	0.0804424	0.00233271	30760.8	1179.99	0.00919175	0.00268699	0.000726918	0.0025586	-0.000397122	0.00231088	0.00202895	0.00247494	-0.00296971	0.00649065	0.0928327	0.00441747	-0.727181	0.251767	8424
0.00073789	0.082217	0.00233454	27089.6	1083.69	0.00327358	0.00267331	-0.00456546	0.00260893	-0.000988509	0.00232849	0.00475003	0.002587	0.00465487	0.00649639	0.0917931	0.00450732	-0.918307	0.202835	8493
0.000741899	0.085039	0.00234162	27124.9	1101.15	0.00738031	0.00266129	-0.00141116	0.00271475	0.0035389	0.00236387	0.00180844	0.00272443	0.000889865	0.00664513	0.0985797	0.00448124	-1.1911	0.190101	8491
0.00074593	0.088159	0.00247101	28215.5	1125.43	0.00873324	0.002719	0.00471036	0.00274128	-0.00296965	0.00242297	0.00244533	0.00253272	-0.00127911	0.00637754	0.0923477	0.00443999	-1.56629	0.21691	8488
0.000749982	0.0843316	0.00242013	27051.6	1059.34	0.0091243	0.00272524	0.00197146	0.00264289	-0.00293143	0.00231304	-0.000998814	0.00261337	0.00797934	0.00652444	0.0940183	0.00448594	-1.20701	0.321483	8538
0.000754057	0.082602	0.00225201	26342.5	1034.91	0.0126257	0.00264791	-0.000128288	0.00268027	-0.000354607	0.00231316	0.00253022	0.00255303	-0.00694569	0.00659951	0.0869475	0.00441653	-0.947971	0.161602	8452
0.000758154	0.0855844	0.00247392	27842.3	1084.19	0.00847798	0.00276088	0.00339328	0.00268685	0.000570682	0.00230701	-0.000654096	0.0026088	0.0090554	0.00669078	0.100608	0.00455264	-1.40368	0.563049	8493
0.000762273	0.084054	0.0024903	27132.2	1072.09	0.00742146	0.00273017	0.00166019	0.00269705	0.00225781	0.00225596	0.00516947	0.00254121	-0.0102415	0.00667465	0.0922608	0.00446102	-1.24267	0.196205	8488
0.000766415	0.0814586	0.00249359	28230.1	1093.93	0.00812548	0.0026641	-0.000145328	0.002627	0.00212453	0.00230972	-0.00190949	0.00264861	0.00341603	0.00637112	0.0942793	0.00445023	-0.878317	0.182213	8431
0.000770579	0.081103	0.0022687	29214.2	1132.27	0.00952249	0.00267829	7.78638e-05	0.00263366	-0.00323419	0.00223883	0.00186052	0.0025477	0.0191794	0.00671156	0.0927334	0.00452939	-1.06977	0.292703	8486
0.000774766	0.0853543	0.00249623	30083	1153.26	0.00692579	0.00268889	-0.000329229	0.00273183	-0.00629166	0.00232405	-0.00286511	0.00260183	0.00808512	0.00662278	0.089405	0.00450794	-1.06068	0.243573	8499
0.000778975	0.0853406	0.00240502	28765.1	1144.57	0.0106871	0.00276332	0.00264664	0.00265102	0.000149155	0.00236184	0.00268275	0.0026747	0.00062211	0.00641232	0.0957981	0.00451222	-1.12721	0.294754	8434
0.000783208	0.0821891	0.00242867	26555.6	1058.65	0.0128081	0.00270409	0.00230734	0.00261375	0.00395549	0.00231707	0.000239757	0.00244683	0.00126743	0.00648434	0.0848951	0.00445507	-1.11623	0.177734	8423
0.000787463	0.0821675	0.00235847	26987	1083.68	0.00452413	0.00264481	-0.00069947	0.00264279	-0.00128655	0.00232722	-0.003195	0.00258793	0.00121148	0.00651831	0.0957085	0.00443452	-1.14981	0.28699	8480
