# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 6.28029e+06
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000785674	0.0968476	0.004015	181042	7672.35	0.00756087	0.00285079	-0.000334031	0.00263035	-0.000483138	0.00247924	0.00212735	0.00146636	-0.00626907	0.00814424	0.10177	0.00668512	-0.722747	0.141384	9143
0.000789943	0.0984886	0.00383008	175497	7512.69	0.000197318	0.00291804	-0.00265546	0.00274526	-0.00238812	0.0023304	0.00261091	0.0014822	0.0147301	0.00804839	0.0995588	0.00671374	-0.795739	0.181157	9175
0.000794235	0.0968169	0.00353946	174502	7485.37	-0.00141419	0.00287564	0.00107581	0.00266384	-0.00277577	0.00239496	1.92872e-05	0.00149214	-0.00437914	0.00807889	0.0992287	0.00675771	-0.516721	0.30761	9182
0.00079855	0.0911725	0.00316578	171902	7230.63	0.000295429	0.00280319	-0.00308129	0.00251971	0.00396561	0.00238323	-0.00038185	0.00151987	0.0176396	0.00784115	0.0867764	0.00668194	-0.825047	0.216628	9175
0.000802889	0.093707	0.00307582	175754	7616.6	0.00388377	0.00279493	0.00138956	0.0025715	-0.000120165	0.00246212	-0.000909146	0.00148311	0.00906045	0.00799398	0.103659	0.00669524	-0.743424	0.107364	9154
0.000807251	0.0914283	0.00316243	172015	7290.96	0.0011657	0.00280165	0.00075722	0.00250953	0.000640942	0.00240055	0.0019968	0.00148378	0.00870183	0.00784039	0.0937832	0.00663527	-0.62943	0.106998	9191
0.000811637	0.0968292	0.00320396	178299	7517.67	0.00387141	0.00287703	-0.00115296	0.00252094	0.00249214	0.00254788	0.00208052	0.00145221	-3.00911e-05	0.00803604	0.0973932	0.0066937	-1.31258	0.470766	9173
0.000816047	0.0948606	0.00327579	169079	7252.81	0.00384132	0.00292389	-0.00030696	0.00257915	-0.000895916	0.00232762	0.0018453	0.00149146	-0.0013341	0.00796886	0.101496	0.00677054	-0.399458	0.381735	9207
0.000820481	0.0899064	0.00317221	186611	7798.48	0.00319419	0.00280795	2.78298e-05	0.00251198	-0.00242545	0.00230314	0.0021976	0.00150818	0.00381838	0.0080077	0.095713	0.00662313	-0.62062	0.391444	9228
0.000824939	0.088762	0.00334433	171515	7270.34	0.0033802	0.00273969	0.00151137	0.00255559	-0.00304831	0.00231626	-0.000681703	0.00147037	0.0109638	0.00810431	0.0885784	0.00687509	-0.782	0.147065	9156
0.000829421	0.0949669	0.00324859	176562	7445.55	0.00845856	0.00283696	-0.000523467	0.00261461	0.00149005	0.00241462	0.000219841	0.00146951	0.00516461	0.00795378	0.108182	0.00668628	-0.635725	0.220563	9172
0.000833927	0.0919476	0.00374578	159800	6942.77	0.00287655	0.00283603	0.000511445	0.00249371	7.47239e-05	0.00240702	-0.000350973	0.00147757	0.0135659	0.00787491	0.0953825	0.00658741	-0.706948	0.243325	9176
0.000838458	0.0901085	0.00322931	184793	7745.13	0.0061359	0.00276735	-0.00175443	0.00245351	0.00065772	0.002459	-0.000290438	0.00140257	0.0110944	0.00790124	0.104077	0.00651926	-1.09595	0.236463	9142
0.000843014	0.0951294	0.00399959	177465	7349.89	0.0028128	0.00279628	-0.000133637	0.00260287	-0.00529575	0.00247716	0.000587084	0.0015072	0.00474024	0.007933	0.0998831	0.00669476	-0.421244	0.232606	9183
0.000847594	0.0941338	0.00311856	176033	7406.53	0.00361399	0.00283779	0.000564977	0.00262779	0.00252249	0.0023587	-0.00106773	0.001442	-0.010506	0.00777915	0.100551	0.00674459	-1.02265	0.164744	9180
0.000852199	0.0958023	0.0034776	171993	7154.89	0.00382592	0.00284185	0.0031183	0.00262819	0.00366059	0.00241789	0.00113916	0.00152134	0.00383619	0.00769602	0.0965207	0.00653596	-1.2333	0.409061	9204
0.000856829	0.0940224	0.00387597	172584	7406.28	0.00442468	0.00283971	0.00585569	0.00258098	-0.00312458	0.00239648	-0.000769661	0.00141058	0.00317318	0.00805693	0.0985187	0.00679326	-0.907406	0.207816	9191
0.000861485	0.0932409	0.00309828	168131	7175.67	0.00599905	0.00288628	0.00461825	0.00251063	0.00180546	0.00238676	-0.00102367	0.00146943	0.0100281	0.00783021	0.103947	0.00650876	-0.826042	0.0972652	9177
0.000866165	0.0977281	0.00404183	175431	7560.03	-0.00198672	0.00287891	-0.000326508	0.00264653	0.000651822	0.00244203	0.00035665	0.00143915	0.0115547	0.00787943	0.100756	0.00655705	-1.00981	0.262854	9202
0.000870871	0.0948262	0.00348124	171401	7319.02	0.00310395	0.00282235	0.00126809	0.00259415	-0.0022031	0.00246437	-0.000209658	0.00147029	0.00475769	0.00787914	0.0977757	0.00654784	-0.873819	0.177409	9138
0.000875603	0.0964197	0.00348824	187299	7807.49	0.00468735	0.00295125	-0.000492248	0.0025243	-0.00134354	0.00243642	-0.000313985	0.00150562	-0.0117927	0.00805446	0.0914867	0.00677901	-0.603957	0.163672	9181
0.00088036	0.0913153	0.00344521	180040	7487.36	0.00294222	0.00284096	-0.00152792	0.00245798	0.00509703	0.00238398	-0.000550376	0.00139587	0.00375582	0.00785754	0.102892	0.006587	-0.888586	0.232734	9231
0.000885144	0.0945957	0.00354854	173646	7527.36	-0.000194796	0.00285898	0.00256904	0.00255653	-0.0039244	0.00245656	0.00219442	0.00146339	-0.00205689	0.00786309	0.0962122	0.00664159	-0.825154	0.201068	9126
0.000889953	0.0913291	0.00321453	171263	7318.38	0.00951698	0.00281544	-0.000408356	0.00252171	0.00546278	0.00238282	-0.00133291	0.0014824	-0.00458087	0.0078156	0.0972817	0.00660031	-0.598797	0.148507	9151
0.000894788	0.0954612	0.00407571	178935	7562.92	0.000612983	0.00287655	0.0028997	0.00262485	-0.00238633	0.00236946	0.00223011	0.00149106	-0.000255114	0.0080799	0.105655	0.00659754	-0.668561	0.250712	9195
0.00089965	0.0948187	0.00372588	169456	7219.4	0.00123426	0.00287058	0.00343034	0.00254742	-0.00244892	0.00244422	-0.00146225	0.00155083	0.00295012	0.00793991	0.101912	0.00682556	-0.532947	0.3319	9166
0.000904538	0.0958524	0.0036721	181368	7497.22	0.00351149	0.00289796	0.000128138	0.00258184	-0.00228724	0.00239978	-0.00260094	0.00141025	0.00139629	0.00796909	0.0889747	0.00669112	-0.785664	0.142162	9213
0.000909452	0.0958293	0.00362588	168392	7275.26	0.00510507	0.00292342	0.00291214	0.00257671	-0.000937468	0.00239458	-3.28272e-05	0.00152527	-0.00187843	0.00794001	0.101427	0.00662834	-1.24829	0.526403	9167
0.000914393	0.0911368	0.00319293	172269	7302.03	0.0010363	0.00284846	-0.00190186	0.00246923	0.000145076	0.0023675	0.00150332	0.00148052	0.00498471	0.00785528	0.101322	0.00668331	-0.909185	0.214596	9206
0.000919362	0.0947964	0.00393369	167628	7157.54	-0.000224645	0.00285841	0.00136984	0.00263019	3.51371e-05	0.00236438	6.38436e-05	0.00147926	0.00260511	0.00806589	0.0996719	0.00664693	-0.635188	0.164951	9176
0.000924357	0.0920346	0.00357443	169467	7367.26	0.00647921	0.00288196	0.000301964	0.00246817	-0.000723848	0.00237442	-0.000705724	0.00144878	0.0156126	0.00787334	0.0842412	0.00665076	-0.714999	0.119357	9193
0.000929379	0.0944046	0.0033552	173094	7348.05	0.00401864	0.00287191	0.00233333	0.00253122	-0.00202729	0.00243986	0.00192979	0.00144287	-0.00111667	0.00806608	0.0982139	0.00667594	-0.819011	0.165627	9168
0.000934428	0.0922919	0.00334484	169715	7246.95	0.00536815	0.002794	-0.00206749	0.00253832	-0.00125123	0.00240842	-0.0016764	0.00143269	0.00187074	0.00794708	0.0933609	0.0065389	-0.808835	0.134974	9212
0.000939505	0.0939647	0.00408381	184171	7825.86	0.0013896	0.00275263	0.00405956	0.00262272	-0.000365423	0.00247797	-0.000584322	0.00151883	0.00808431	0.00785428	0.086887	0.00649709	-1.11567	0.310317	9131
0.00094461	0.103018	0.00421151	166153	7097.09	0.007438	0.00299925	0.000994537	0.00262143	-0.00388286	0.00254825	0.00024913	0.00147954	-0.00861951	0.00794938	0.0994856	0.00667025	-0.652909	0.166183	9218
0.000949742	0.0948341	0.00424794	164925	7069.3	0.00902612	0.00284108	0.000591478	0.00254946	-0.000752828	0.00245611	-0.00011664	0.00147047	0.00204622	0.00776492	0.0869892	0.0064299	-0.889292	0.25468	9209
0.000954902	0.0941801	0.00339249	165374	7222.1	-0.000824398	0.0028293	-0.000521218	0.0026024	-0.00228229	0.00241418	0.000270476	0.00145616	0.0102512	0.00791453	0.0959143	0.0066383	-0.764391	0.144265	9149
0.000960091	0.0937663	0.00304002	173494	7375.13	0.0023291	0.00282632	-0.001885	0.00258106	-0.00193538	0.00240726	-0.00111833	0.00155397	-0.00448112	0.00771598	0.0937089	0.00678787	-1.04224	0.215176	9180
0.000965307	0.0892168	0.00274349	170827	7401.93	0.00458567	0.00280679	-0.00152968	0.002481	-0.00238404	0.00231543	-0.00177101	0.00154895	-0.0051055	0.00810339	0.09825	0.00669691	-0.957905	0.194447	9207
0.000970552	0.0903643	0.00303504	175075	7561.19	0.00514472	0.00287138	-0.00332063	0.0024715	0.000894875	0.00233398	-0.000783824	0.0014942	-0.000804214	0.00784587	0.0959375	0.00662217	-0.835326	0.241462	9134
0.000975825	0.0931686	0.00321165	179569	7500.62	-0.00147173	0.00283918	0.00089793	0.00257127	0.00152235	0.00236948	2.59005e-05	0.00148322	-0.00359047	0.00789304	0.0947044	0.00659854	-0.688158	0.13755	9193
0.000981127	0.0903463	0.00307632	179416	7304.67	0.00225482	0.00276428	-0.000808824	0.00252517	-0.00026453	0.00238904	-0.00367099	0.0013777	-0.0103145	0.00796792	0.101753	0.00658942	-0.71335	0.169672	9168
0.000986458	0.100364	0.0039687	190029	7805.72	0.00149364	0.00288147	0.0020353	0.00271745	-0.00311845	0.00250762	0.00159159	0.00152833	-0.00178942	0.00800671	0.0931526	0.00693867	-0.97377	0.237347	9141
0.000991817	0.0924068	0.0031541	175267	7355.36	0.00198959	0.00287069	0.000414662	0.00247427	-0.000218223	0.00241296	-0.00179188	0.00144403	0.00669649	0.00790199	0.0984371	0.00665909	-0.867886	0.142222	9164
0.000997206	0.0911681	0.0032296	175546	7417.43	0.000776349	0.00287395	0.000968975	0.00251678	-0.00206539	0.00231265	-0.000130175	0.00147264	0.00327286	0.00788513	0.0949142	0.00677808	-1.16905	0.382768	9151
0.00100262	0.094741	0.00364562	174121	7453.87	0.00141346	0.00282895	-0.00137061	0.00255979	0.00328285	0.00248402	-0.000995565	0.00145587	0.00479256	0.00789589	0.083466	0.0065433	-1.01286	0.145402	9150
0.00100807	0.0965786	0.00359862	176117	7519.14	0.0019896	0.00286081	0.00157533	0.0025921	0.00225052	0.00248656	0.00261719	0.00147902	-0.00235711	0.00815885	0.116164	0.00669861	-1.21987	0.370724	9167
0.00101355	0.0918123	0.00309936	180484	7615.62	0.00429631	0.00289996	-0.00200677	0.00243909	-0.00472582	0.00235727	0.00122438	0.00143193	0.0013853	0.00778228	0.0978938	0.00650915	-0.793765	0.189523	9227
0.00101906	0.0932003	0.00350957	160095	7102.41	0.00457633	0.00277117	0.00134884	0.0026371	0.00472128	0.00236704	-0.00103636	0.00151234	0.0137195	0.00794561	0.0949907	0.00666732	-0.778139	0.142873	9217
0.00102459	0.0941271	0.00373909	169982	7385.62	0.00533496	0.00280704	0.0025162	0.00261498	0.000150996	0.00242216	-0.00305585	0.00148105	0.00806553	0.00795023	0.0874471	0.00660194	-1.87449	0.904294	9152
0.00103016	0.0911573	0.00290471	155189	6801.67	0.00254142	0.00275259	0.000328074	0.00253757	-0.00138208	0.00240372	0.00111266	0.0015167	-0.00782082	0.00803655	0.0946376	0.00672576	-0.616743	0.318361	9219
0.00103576	0.0968772	0.00345401	170070	7255.89	0.00386991	0.00295922	-0.00273705	0.00263957	-0.000309491	0.00231346	0.00149132	0.00149433	-0.00404551	0.00800205	0.100069	0.00681313	-0.907638	0.280193	9200
0.00104138	0.0996912	0.00424086	170992	7274.95	-0.00239068	0.0030212	0.00124073	0.00263517	-0.000785842	0.00237836	-0.00278919	0.00144853	0.00526079	0.00815201	0.0994948	0.00677909	-0.907173	0.21007	9184
0.00104704	0.101885	0.00461156	172657	7321.85	0.00293061	0.0029241	4.154e-05	0.00272573	-0.00235542	0.00250689	-0.000911334	0.00155752	0.00200189	0.00794072	0.101322	0.00682228	-0.8948	0.210251	9160
0.00105273	0.08975	0.00296944	168511	7149.16	0.00360764	0.00279194	0.00105408	0.00250086	-0.00113304	0.00236205	0.00140184	0.00147021	0.00975225	0.00799927	0.0998934	0.00667247	-0.861188	0.125985	9153
0.00105845	0.0984925	0.00392602	173665	7422.77	-0.00126797	0.00293344	0.00040218	0.00259523	0.00250485	0.00245038	0.00253416	0.00151138	0.00374403	0.00808648	0.0939733	0.0065247	-0.710567	0.146162	9237
0.0010642	0.0874056	0.00300709	183291	7695.35	-0.00136185	0.00273501	0.000353792	0.0024599	-0.00411572	0.00236516	-0.000415586	0.00149301	0.00177674	0.00795206	0.0768208	0.00656606	-0.757645	0.222935	9149
0.00106998	0.0903067	0.00357868	171595	7234.9	-0.000707891	0.00273548	0.00177137	0.00248606	-0.00202505	0.00244999	-0.000307325	0.00149228	-0.0116082	0.00802278	0.092245	0.00663345	-0.759691	0.157193	9192
0.0010758	0.0914588	0.00310659	178182	7533.02	-0.000445303	0.00278934	0.00478888	0.00249511	-0.00274016	0.0024226	0.000606915	0.00149651	0.000330188	0.00803349	0.0982011	0.0067267	-0.811669	0.231668	9211
0.00108164	0.0930118	0.00308515	182678	7660.95	0.00359597	0.00280173	0.00190431	0.00254243	-0.00013257	0.00244346	0.000128586	0.00145405	-0.0147166	0.00798953	0.0972157	0.00665711	-0.829638	0.225823	9179
0.00108752	0.0917923	0.00327716	179556	7543.87	0.00551269	0.00284098	0.00326975	0.00247944	-0.00249587	0.00240721	-0.00268659	0.00148795	0.00139441	0.00814531	0.108449	0.00674365	-0.842351	0.172325	9180
0.00109343	0.0938311	0.00370805	171848	7330.57	0.000324617	0.00288858	-0.00200282	0.00258254	0.000723333	0.00230301	0.00125834	0.00156115	-0.0127131	0.00806802	0.0936839	0.00664533	-0.62458	0.154161	9246
0.00109937	0.100174	0.00420944	180650	7585.29	-0.00181641	0.00295148	0.00192176	0.00263605	-0.00161587	0.00248341	-0.000485057	0.00149132	0.00666641	0.00777899	0.103448	0.00673716	-0.863553	0.174668	9187
0.00110534	0.0974138	0.00369808	171531	7420.18	-4.7745e-06	0.00291166	-0.00412306	0.00256127	-0.00171994	0.00247779	0.00377108	0.00151963	-0.000490143	0.00830096	0.101228	0.00658791	-0.60878	0.156009	9208
0.00111135	0.0856405	0.00314097	185065	7729.85	0.00110146	0.00273787	-0.000839764	0.00244622	-0.00276312	0.00226627	-0.00029668	0.00150792	0.00330334	0.0080703	0.0974495	0.00666078	-0.502965	0.408363	9210
0.00111739	0.0920543	0.00311863	162156	7018.74	-0.00153898	0.00283498	-0.00370372	0.00251231	0.00137918	0.00239848	0.00160767	0.001489	-0.00269679	0.00795499	0.0888322	0.00658331	-0.802993	0.160823	9167
0.00112346	0.0941014	0.00431073	179628	7629.23	0.00578005	0.00282202	-0.00427534	0.00260948	0.00135335	0.00240352	-0.000981064	0.00147745	-0.00179349	0.00805746	0.0930094	0.00668267	-0.626394	0.1221	9165
0.00112956	0.0895978	0.00317614	165413	7054.72	0.000916847	0.00277007	0.000924603	0.00250257	-0.000701119	0.00235272	-0.00287415	0.00148333	-0.00696085	0.00797903	0.094413	0.00672655	-1.06564	0.335153	9213
0.0011357	0.0960508	0.0038605	170813	7250.38	0.00578104	0.00288427	-0.00302239	0.00264087	-0.000438153	0.00235851	-0.00073557	0.0014736	0.00807867	0.00812165	0.0919573	0.00657562	-1.04563	0.208051	9218
0.00114187	0.0947594	0.00340856	176283	7410.46	-0.00331821	0.00291391	0.00165946	0.00256328	0.00310567	0.00235927	-0.000557376	0.00147729	-0.00169476	0.00790437	0.0833329	0.0067175	-0.829699	0.235529	9196
0.00114807	0.0975114	0.00386902	169124	7243.89	-0.00285997	0.00282919	-0.000290917	0.00266669	0.00198437	0.00247583	-0.00300095	0.00147632	-0.00287501	0.00784034	0.103093	0.00658106	-0.847188	0.279414	9188
0.00115431	0.0893627	0.0029718	186209	7636.09	0.00315702	0.00280141	0.000437289	0.00239089	-0.00256119	0.00242818	0.000531345	0.00146354	-0.00729165	0.00787661	0.0837043	0.006449	-0.695892	0.188027	9193
0.00116058	0.0904746	0.00298162	187968	7686.97	0.00298914	0.00286409	-0.00176988	0.0024253	-0.00217251	0.00236431	0.00135168	0.00141668	-0.00651623	0.00787082	0.0886229	0.00656153	-0.816129	0.147104	9206
0.00116689	0.0932962	0.0038839	178907	7536.05	0.0051125	0.00281007	-0.00390437	0.00262734	0.00268164	0.00234307	-0.00125901	0.00150048	-0.0168275	0.00812087	0.093731	0.00681025	-0.890405	0.178452	9204
0.00117323	0.0965962	0.00386858	183231	7764.89	0.0009716	0.00282497	0.000541003	0.00271492	0.00139461	0.00240042	-0.00152893	0.00144227	-0.00558161	0.00810199	0.0889558	0.00649434	-1.48196	0.524421	9160
0.0011796	0.0875441	0.00272622	168274	7198.48	0.0037433	0.00272675	0.00253263	0.00250115	0.000427885	0.00232261	0.000408637	0.0014603	-0.0149951	0.00801275	0.100321	0.00670427	-0.944457	0.252951	9183
0.00118601	0.0909822	0.00333819	175383	7535.69	0.00481176	0.00275425	0.00306186	0.00252221	-0.00144609	0.00243664	0.000699004	0.00147949	0.015756	0.00802478	0.0990682	0.00654626	-0.621337	0.105081	9159
0.00119245	0.090605	0.00336096	171387	7263.31	0.00386797	0.00280748	0.00450384	0.00247893	-0.00127545	0.00239453	6.67568e-05	0.00142967	0.0034235	0.00801315	0.0964601	0.00670718	-1.09648	0.240096	9178
0.00119893	0.0961563	0.00377964	180538	7617.87	7.88229e-05	0.00292104	-0.000682741	0.0026156	-0.000538279	0.0023697	-1.48865e-05	0.00148064	-0.00450921	0.00823553	0.106093	0.00678881	-0.606748	0.210217	9172
0.00120545	0.0942488	0.00365074	180799	7684.34	-0.00288624	0.00285933	0.000144007	0.00262835	0.0017927	0.00235465	-0.000539699	0.00147806	0.00225805	0.00819309	0.101422	0.00672275	-0.77823	0.212515	9147
0.001212	0.0919436	0.00316442	163858	7177.1	0.0028233	0.00278032	-0.00172077	0.00251632	-0.00278898	0.00244555	-0.000599786	0.00151435	0.0015099	0.00808012	0.0920702	0.00658628	-0.643131	0.136071	9184
0.00121858	0.092015	0.00332556	175070	7486.37	0.00497514	0.00278323	0.0046625	0.00248445	0.00354701	0.00247876	0.000140419	0.00141969	-0.015717	0.007983	0.0931089	0.00647443	-0.829746	0.0952565	9180
0.0012252	0.0848075	0.00282602	171515	7355.92	-0.000786835	0.002706	0.00371408	0.0024488	-0.00114577	0.00228417	-0.00148454	0.00144169	0.00864455	0.00785869	0.0960687	0.00682188	-0.866891	0.160554	9161
0.00123186	0.09649	0.00402164	176959	7484.5	0.00140692	0.00285654	-0.00272598	0.00264911	-0.00142542	0.00240259	0.00110563	0.00145508	-0.000122826	0.00802235	0.0924354	0.00669336	-0.837322	0.15682	9221
0.00123855	0.0935447	0.00311131	153137	6798.23	0.00347625	0.0028713	0.000773825	0.0025547	-0.00142452	0.00241385	0.000439651	0.00147568	0.00520727	0.00798695	0.0862106	0.00686054	-1.08576	0.238607	9093
0.00124528	0.100823	0.00375526	171159	7314.98	0.00936728	0.00291515	0.000902113	0.0027149	-0.000640819	0.00248855	0.000267616	0.00150303	-0.00134135	0.00807591	0.10835	0.00659259	-1.51066	0.719816	9146
