# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 3053.86
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000789474	0.113034	0.00278446	431.922	4.86982	-0.000584591	0.00346259	-0.00261271	0.00354748	0.00380287	0.00302485	0.0064443	0.00357479	0.000902637	0.00453505	0.11037	0.00323812	-1.01185	0.128582	6708
0.000793763	0.112786	0.00282509	420.514	4.52681	0.0027594	0.0035704	0.0027591	0.00352544	-0.000247379	0.00300576	-0.00047534	0.00353696	0.000630867	0.00455133	0.109387	0.00338044	-0.824771	0.126943	6598
0.000798076	0.114912	0.00291039	425.741	4.67786	0.00625595	0.00357435	0.00165869	0.00350942	0.00202302	0.00300097	-0.00462008	0.00364313	-0.00200075	0.00469733	0.114727	0.00342178	-0.945578	0.120006	6744
0.000802412	0.116457	0.00288233	431.32	4.91165	-0.00334989	0.00360339	0.00264055	0.00354384	-0.00140051	0.00316084	-0.0013732	0.0036142	0.00291914	0.00460112	0.112283	0.00335054	-0.967946	0.132497	6559
0.000806772	0.113479	0.00275769	423.169	4.68362	0.00198571	0.00356476	0.00424826	0.00356697	-0.00232274	0.00302004	0.00462904	0.00372463	-0.00561414	0.00454307	0.111305	0.00330998	-0.942799	0.124679	6573
0.000811155	0.115288	0.00282694	425.414	4.63484	0.00169612	0.0035585	0.00516466	0.00357785	-0.000793633	0.00301777	-0.00664143	0.00370909	-0.00150633	0.00456141	0.112538	0.00340181	-1.33958	0.136782	6674
0.000815562	0.114007	0.0028809	418.49	4.52751	0.00520968	0.00356141	-0.000674162	0.00359537	0.00150492	0.00294334	0.00117412	0.00357518	-0.00243748	0.00459199	0.113474	0.00341978	-0.982226	0.12915	6657
0.000819993	0.113873	0.00285267	416.362	4.35348	-0.00124907	0.00354232	-0.00539952	0.0035186	-0.000220145	0.0030295	-0.00292595	0.00373631	0.0006372	0.004617	0.108503	0.0033519	-1.11068	0.134453	6682
0.000824449	0.117468	0.0028761	424.482	4.67749	0.00136235	0.00359141	-0.000422608	0.00354945	-0.000255367	0.00312536	0.00586773	0.00377195	0.00244194	0.00455464	0.112971	0.00342675	-1.05853	0.133515	6667
0.000828928	0.108075	0.00269761	427.658	4.69536	0.0038107	0.00342228	0.00711914	0.00344062	-0.00224163	0.00296569	-0.00314794	0.0035342	-0.0011332	0.00432321	0.103304	0.00324067	-0.864176	0.133389	6686
0.000833432	0.114526	0.00282013	428.04	4.74816	0.00187718	0.00358928	-0.00243869	0.00355975	-0.00257183	0.00301869	-0.000424793	0.00386241	0.000859887	0.00476065	0.118329	0.00343101	-0.849589	0.132836	6612
