# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 2535.36
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000790569	0.121244	0.00331012	410.836	3.84163	0.000138988	0.00366456	-0.00262751	0.00351528	-0.00145122	0.00316611	0.00506601	0.00323688	-0.00172847	0.00597166	0.111178	0.00480381	-0.885196	0.0724893	6776
0.000794865	0.118063	0.00327242	419.134	4.09281	-0.00050722	0.0036187	-0.00291333	0.00344711	-0.00126883	0.00314411	-5.10176e-06	0.00326126	0.00597789	0.0056791	0.112247	0.00475527	-0.899671	0.0749571	6778
0.000799183	0.120378	0.00339434	417.113	4.00071	-0.0013425	0.00359188	-0.00229517	0.00361617	0.00179558	0.00308775	0.00141966	0.00324843	-0.00702383	0.00581762	0.10531	0.004889	-0.994367	0.0779688	6784
0.000803526	0.12352	0.00353832	416.047	4.00485	0.0064114	0.00365936	0.000840392	0.00364982	-0.00209654	0.00309394	-0.00399248	0.00308723	0.000852958	0.00585358	0.104167	0.00479562	-0.929697	0.0740139	6812
0.000807891	0.121567	0.00326426	409.914	3.89689	-0.00415069	0.00365318	-0.00291074	0.0035762	-0.00141287	0.00306369	0.00302251	0.00312791	-0.00453354	0.00566001	0.106225	0.004825	-0.946347	0.0775825	6849
0.000812281	0.120227	0.00319637	418.86	4.0811	-0.00235889	0.00357928	-0.00279702	0.00360915	0.001964	0.00314314	-0.00596916	0.00317879	-0.00242909	0.00594264	0.10938	0.00488918	-0.94859	0.0773022	6737
0.000816694	0.12463	0.00348669	421.823	4.14376	-0.000851121	0.00370411	-0.00757336	0.00360877	-0.000404486	0.00316851	-0.00259335	0.00316338	-0.00359131	0.00585862	0.115589	0.00490559	-1.01586	0.0785247	6780
0.000821131	0.118589	0.00323424	413.291	3.90097	-0.00672123	0.00356078	-0.00286259	0.00359108	0.0033648	0.00310864	-0.00589574	0.00309171	-0.00358801	0.00589471	0.113612	0.0048609	-0.818996	0.071366	6734
0.000825593	0.120634	0.00321705	420.451	4.06919	0.00238766	0.00369577	0.000258262	0.00355207	0.00229337	0.00302342	9.75128e-05	0.00322768	-0.00182879	0.00593604	0.11272	0.00482735	-1.03717	0.0793715	6817
0.000830078	0.119041	0.00340166	411.391	3.83424	-0.00281179	0.00365208	-0.00213543	0.00354224	-0.00116142	0.00304885	0.000433399	0.00301865	0.0062342	0.00576305	0.108463	0.00469479	-0.896379	0.071943	6772
0.000834588	0.117506	0.00307537	414.015	3.93353	-0.00152797	0.00357132	0.0065042	0.00352541	-0.00320446	0.00304873	-0.000251328	0.00323145	-0.0038699	0.00587812	0.0936618	0.00481254	-0.983596	0.0789608	6820
0.000839123	0.118525	0.00323999	411.223	3.836	-0.00504766	0.00360698	-0.00199064	0.00350361	-0.00404202	0.00309427	0.00188416	0.0031325	-0.00122663	0.00578073	0.115943	0.00488322	-1.12541	0.0791033	6804
