# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 183074
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000790569	0.108196	0.00403912	7040.35	261.68	-0.00380509	0.00326662	0.000996151	0.00281009	0.00259881	0.00275109	0.00278236	0.00166774	0.000961262	0.00774504	0.094903	0.00684704	-0.838656	0.121726	8284
0.000794865	0.101301	0.00346564	6374.68	239.731	-0.00448018	0.00309708	0.00167053	0.00280619	0.000804142	0.00266526	-0.00093826	0.00165481	-0.00133132	0.00809226	0.0899914	0.00680987	-0.614824	0.0728562	8251
0.000799183	0.106753	0.00381743	6924.5	259.754	0.000861271	0.00318631	-0.0010799	0.0029477	0.00124118	0.00268976	-0.00139554	0.00157313	-0.000224284	0.00778184	0.0936153	0.00675805	-0.659713	0.0596303	8193
0.000803526	0.10261	0.00370513	7086.91	262.386	0.00117125	0.00310007	0.000298076	0.00282036	-0.00233474	0.00269915	0.000381842	0.00163295	0.0144205	0.00779739	0.0834161	0.00665459	-0.725921	0.0643911	8264
0.000807891	0.109252	0.0038959	6478.64	244.132	-0.00142375	0.00329236	-0.00790133	0.00285399	-0.00376141	0.00274732	-0.000210233	0.00162497	-0.00713159	0.00771199	0.0910125	0.00666439	-0.776939	0.068579	8238
0.000812281	0.111543	0.00480509	7255.65	267.849	-0.00464879	0.00330117	0.00238089	0.00301753	-0.00197931	0.0027106	0.0024892	0.00160615	-0.0128404	0.00769895	0.0858393	0.00676097	-0.673215	0.0691991	8161
0.000816694	0.0986006	0.00346689	6917.63	258.636	-0.00381581	0.003041	-0.00182037	0.00284061	-0.00593319	0.0025741	-0.000357735	0.00159762	0.00218235	0.00774148	0.0968853	0.0069189	-0.759335	0.0810177	8240
0.000821131	0.102131	0.00418222	7272.95	269.577	0.00464261	0.00316278	0.00268113	0.00281787	6.75298e-05	0.00260942	0.00258042	0.00163134	0.00119151	0.00772591	0.0940388	0.00674934	-0.717328	0.0772753	8257
0.000825593	0.102299	0.00374733	6870.66	258.524	-0.00147805	0.0031557	-0.00476711	0.00283556	0.00153345	0.00260622	-0.000279251	0.00160274	-0.00420154	0.00771529	0.0983224	0.00678684	-0.726214	0.080702	8258
0.000830078	0.102235	0.00354318	7085.53	257.868	-0.00499682	0.00327383	0.000657998	0.00269324	4.55975e-05	0.00261232	-0.00194942	0.00159171	0.00296739	0.0078468	0.0959038	0.00674494	-0.591161	0.0723266	8251
