# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 7.56463e+06
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000790569	0.0977428	0.00365037	201944	8727.76	-0.00350106	0.00294116	0.00100426	0.00253186	0.00269421	0.00248294	0.00203198	0.0015244	0.00315589	0.0079919	0.100585	0.00683893	-1.77309	0.433809	9215
0.000794865	0.0912128	0.00312577	204401	8963.36	-0.00419213	0.0027823	0.00129995	0.00252122	0.00109193	0.00239754	-0.000953778	0.00149813	-5.62605e-05	0.00820639	0.0933915	0.0067656	-0.593517	0.100573	9198
0.000799183	0.095182	0.00340966	226932	9356.96	0.000577952	0.00283762	-0.00096683	0.00262341	0.0012449	0.00239248	-0.00162791	0.00141973	0.00119442	0.00805942	0.0969383	0.00672815	-0.929542	0.276014	9221
0.000803526	0.0920499	0.0033301	215393	9023.34	0.00128123	0.0027726	0.000459585	0.00252539	-0.00223977	0.00241374	0.000485411	0.00147192	0.0191722	0.00813909	0.0912972	0.00666747	-0.423916	0.325864	9262
0.000807891	0.0977598	0.00349626	214881	9098.05	-0.00104599	0.00294253	-0.00714778	0.00255154	-0.00330784	0.00245638	-8.47327e-05	0.00146647	-0.00815354	0.00797044	0.0928175	0.00657673	-0.897814	0.116368	9225
0.000812281	0.0994547	0.00428695	218885	9027.98	-0.00408591	0.00293812	0.00205111	0.00268674	-0.00190659	0.00241435	0.00208734	0.00144614	-0.00641753	0.00806361	0.0901315	0.00675286	-1.1721	0.230005	9180
0.000816694	0.0885592	0.00311664	204215	8745.7	-0.00348445	0.00272517	-0.00145748	0.00254676	-0.00558436	0.00230729	-0.000543185	0.00144619	-0.00595358	0.00796581	0.100115	0.00685376	-1.46199	0.572267	9212
0.000821131	0.0916397	0.00375404	219359	9120.65	0.00413574	0.00283205	0.00236816	0.00252557	0.000236886	0.00233751	0.0023987	0.00147977	-0.000781727	0.00797957	0.0958293	0.00677085	-0.677539	0.175235	9233
0.000825593	0.0917586	0.00336558	199109	8652.21	-0.00142405	0.00282515	-0.00420724	0.00253984	0.00128288	0.00233329	-0.000352254	0.00144436	-0.00535359	0.0079276	0.0978354	0.00668886	-1.03759	0.231619	9239
0.000830078	0.0913541	0.00317289	207426	8642.58	-0.00449886	0.00291972	0.0006641	0.00240338	0.000191869	0.00233146	-0.00175569	0.00144162	0.00217719	0.00800981	0.10176	0.00678529	-0.776273	0.227187	9263
0.000834588	0.0958624	0.0037256	198240	8632.38	0.00208431	0.00282138	0.00334793	0.00259729	-0.00184339	0.00246457	-0.00064903	0.00148885	0.0125017	0.00803189	0.105309	0.00670932	-0.618737	0.133015	9232
