# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 1e+11
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
4.995e-05	0.000373406	1.95214e-05	2.26939e+09	1.0558e+08	0.00135329	0.000173725	-0.000720016	0.000168694	0.000179724	0.000151687	-3.44609e-05	8.79387e-05	-6.32904e-05	0.000210013	-9.75292e-05	0.000189435	-1.83439	0.379232	9137
5.02214e-05	0.000339563	1.56698e-05	2.39076e+09	1.09489e+08	0.00153703	0.00016703	-0.000522172	0.00016088	-0.000126408	0.000143994	-7.13371e-05	9.31948e-05	0.000105058	0.000209535	0.000289365	0.000153094	-2.14785	0.503788	9099
5.04943e-05	0.000390346	3.01874e-05	2.28012e+09	1.05387e+08	0.00142812	0.00018036	-0.000359177	0.000172499	-0.000383508	0.000153852	-1.23391e-05	8.17558e-05	0.000396692	0.000347748	0.000135276	0.000174543	-1.58068	0.453788	9074
5.07687e-05	0.000364658	1.62886e-05	2.54778e+09	1.13471e+08	0.00146427	0.00017126	-0.000640378	0.000160593	-7.01656e-05	0.000157988	3.51578e-05	6.6877e-05	-0.000159361	0.000244633	-1.70641e-05	0.000170856	-1.28163	1.06068	9095
5.10445e-05	0.000378358	2.89168e-05	2.43226e+09	1.11017e+08	0.00124907	0.000175558	-0.000700626	0.000167247	0.000121307	0.000156979	1.29216e-05	6.22617e-05	0.000427145	0.000235446	6.52851e-05	0.000158827	-1.82071	0.684111	9064
5.13218e-05	0.000405539	3.61429e-05	2.36624e+09	1.08556e+08	0.00163415	0.000169951	-0.000652405	0.00017871	0.000198755	0.0001661	-8.286e-06	6.16008e-05	-8.24686e-05	0.000211456	0.000174395	0.000188003	-2.44174	0.401954	9157
5.16007e-05	0.000372493	1.93803e-05	2.26714e+09	1.07304e+08	0.00139267	0.000169989	-0.000568011	0.000163369	-6.74716e-05	0.000161793	-2.18436e-05	7.68014e-05	-0.000103161	0.000190778	-7.04462e-06	0.000184831	-2.18446	0.393684	9104
5.1881e-05	0.000352744	1.35621e-05	2.49955e+09	1.11345e+08	0.00142404	0.000170338	-0.000374567	0.000163657	3.55981e-05	0.000146741	7.5082e-05	7.75939e-05	5.48724e-05	0.000221875	5.80136e-05	0.000195949	-1.68264	0.759278	9116
5.21629e-05	0.000340919	1.18767e-05	2.41795e+09	1.08814e+08	0.00138708	0.000163065	-0.000621485	0.000157886	9.66336e-05	0.000151836	0.000118168	8.75784e-05	-0.000277036	0.000260196	-6.56907e-05	0.000228183	-1.85069	0.398217	9134
5.24463e-05	0.000348993	1.37713e-05	2.33001e+09	1.08112e+08	0.00140451	0.000171244	-0.000536987	0.000158704	-0.00016638	0.000148953	-7.42931e-05	6.75671e-05	-8.98833e-05	0.000212637	7.73817e-05	0.000153914	-1.775	0.394498	9092
