# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 1e+11
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
1.58098e-05	4.12721e-05	1.94556e-06	3.17933e+09	1.31557e+08	0.000579843	5.84881e-05	-0.000295232	6.11353e-05	-2.21668e-05	5.15731e-05	2.99949e-05	9.9035e-06	-9.80799e-06	2.58083e-05	-1.91435e-06	2.09506e-05	-3.12542	0.468218	8382
1.58957e-05	3.96024e-05	2.34217e-06	3.1104e+09	1.28545e+08	0.000508251	5.70584e-05	-0.000168902	6.11659e-05	-2.72981e-05	4.98956e-05	6.96626e-06	7.39012e-06	1.86049e-05	2.4355e-05	-1.19114e-05	2.26146e-05	-2.09965	0.468809	8337
1.59821e-05	4.01908e-05	2.22883e-06	3.28802e+09	1.33989e+08	0.000521337	5.95394e-05	-0.000159544	5.50634e-05	4.43548e-05	5.53503e-05	-3.31649e-06	8.96173e-06	-3.30416e-05	2.5958e-05	5.58811e-05	2.28106e-05	-2.52432	0.546555	8325
1.60689e-05	4.03852e-05	2.22183e-06	3.30088e+09	1.32293e+08	0.00047912	5.79086e-05	-0.000166803	5.80341e-05	5.22774e-06	5.47052e-05	-4.06596e-06	8.65329e-06	3.45661e-06	2.76394e-05	-7.47804e-06	2.18782e-05	-1.62092	0.448989	8306
1.61562e-05	3.93419e-05	1.77074e-06	3.40441e+09	1.39196e+08	0.000471497	5.90926e-05	-0.000246653	5.79279e-05	-3.80787e-05	5.13997e-05	-1.88578e-05	9.57428e-06	6.22005e-05	2.97296e-05	-1.52033e-06	2.01633e-05	-2.62781	0.487157	8280
1.6244e-05	4.32566e-05	3.03008e-06	3.36044e+09	1.36954e+08	0.000512957	5.79384e-05	-0.00025959	6.12406e-05	2.29764e-05	5.74466e-05	1.82791e-05	7.12719e-06	-3.86346e-05	2.86611e-05	-1.50176e-05	2.00731e-05	-2.09365	0.409666	8298
1.63322e-05	3.83441e-05	1.99186e-06	3.52451e+09	1.4217e+08	0.000525902	5.97246e-05	-0.000129569	5.56293e-05	8.62496e-05	5.05678e-05	-1.0468e-06	8.88737e-06	-5.16017e-05	2.79248e-05	-2.4653e-06	2.10075e-05	-1.94601	0.411312	8305
1.6421e-05	4.00601e-05	1.73383e-06	3.0107e+09	1.26645e+08	0.000630263	6.00812e-05	-0.000253418	5.83027e-05	1.94641e-05	5.07741e-05	-3.7547e-06	6.90431e-06	3.69618e-06	2.46825e-05	-2.27694e-05	1.94556e-05	-2.74867	0.524639	8328
1.65102e-05	4.06676e-05	1.88938e-06	3.37874e+09	1.35693e+08	0.000463992	5.77731e-05	-0.000226371	5.96631e-05	-1.48711e-05	5.37845e-05	4.50618e-06	9.15002e-06	-2.07157e-05	2.39356e-05	-2.74628e-05	2.2205e-05	-3.08833	0.475913	8299
1.65999e-05	4.7688e-05	7.14617e-06	3.16322e+09	1.29153e+08	0.000438971	6.52106e-05	-8.87031e-05	6.64586e-05	1.647e-05	5.29035e-05	3.10067e-06	8.72728e-06	1.30886e-05	2.70881e-05	1.36196e-05	2.15317e-05	-2.56768	0.53106	8315
1.66901e-05	3.93629e-05	1.3632e-06	3.2522e+09	1.31899e+08	0.000538401	5.73791e-05	-0.00028678	5.75463e-05	4.52545e-06	5.25168e-05	-5.20549e-07	8.1268e-06	-3.86159e-05	2.36983e-05	1.86922e-05	1.85046e-05	-3.06307	0.427765	8389
1.67808e-05	3.86529e-05	1.82587e-06	3.09069e+09	1.29644e+08	0.000496057	5.97329e-05	-0.00022912	5.56876e-05	4.59142e-05	5.08142e-05	-8.455e-06	7.65483e-06	-6.2211e-07	2.41341e-05	-2.73536e-05	2.01103e-05	-2.59208	0.498813	8343
1.6872e-05	3.92384e-05	1.55888e-06	3.38223e+09	1.36161e+08	0.000546195	5.75975e-05	-0.000218767	5.74375e-05	-6.66145e-05	5.30979e-05	5.61802e-06	7.40422e-06	3.27038e-05	2.44068e-05	-3.80034e-06	1.80835e-05	-3.26119	0.430699	8299
1.69636e-05	4.2528e-05	2.85837e-06	3.38496e+09	1.35433e+08	0.000492205	6.3697e-05	-0.000169245	5.94556e-05	5.20689e-05	5.05275e-05	1.26695e-05	1.02785e-05	-4.03849e-05	4.18725e-05	3.30247e-05	2.47652e-05	-2.67969	0.485904	8375
1.70558e-05	4.17401e-05	2.90234e-06	3.39909e+09	1.32772e+08	0.000555842	6.08905e-05	-0.000165026	5.74911e-05	-2.7834e-06	5.41484e-05	2.689e-06	7.92461e-06	-6.64286e-05	2.71373e-05	-4.99382e-06	2.15852e-05	-2.3042	0.441821	8379
1.71485e-05	3.97153e-05	1.56964e-06	3.33561e+09	1.33559e+08	0.000491557	5.882e-05	-0.000149813	5.84409e-05	-9.96893e-06	5.17429e-05	1.81268e-06	7.78289e-06	3.88868e-05	2.74057e-05	1.5484e-05	2.18941e-05	-2.64774	0.439654	8307
1.72416e-05	3.9507e-05	2.076e-06	3.14816e+09	1.32182e+08	0.000551342	5.97546e-05	-0.00013512	5.67653e-05	7.57188e-05	5.0926e-05	1.01232e-05	6.46898e-06	-1.5769e-05	2.67043e-05	-7.48012e-07	1.80523e-05	-1.84357	0.428123	8403
1.73353e-05	3.88003e-05	2.07795e-06	3.18708e+09	1.31586e+08	0.000584639	5.86072e-05	-0.000184411	5.70202e-05	-0.000103508	5.13061e-05	-2.38379e-05	8.13297e-06	-4.54041e-05	2.82756e-05	-4.9527e-07	1.98765e-05	-2.66569	0.430611	8306
1.74295e-05	3.92431e-05	1.46948e-06	3.38353e+09	1.37979e+08	0.000574184	5.93433e-05	-0.000117297	5.756e-05	-8.30895e-05	5.11792e-05	1.56296e-06	7.5572e-06	-4.15254e-05	3.4201e-05	-3.61384e-06	2.26386e-05	-1.73334	0.536282	8285
1.75242e-05	3.8688e-05	1.72441e-06	3.32152e+09	1.35622e+08	0.000456722	5.77276e-05	-0.000212869	5.76561e-05	3.8829e-05	5.21301e-05	-4.41223e-06	9.70295e-06	1.17942e-05	3.00823e-05	-4.05701e-05	2.36172e-05	-2.50985	0.455359	8247
1.76194e-05	4.03198e-05	2.41979e-06	3.46468e+09	1.38887e+08	0.000485075	5.66399e-05	-0.000211286	6.00382e-05	-6.62353e-05	5.36775e-05	5.60649e-06	8.0622e-06	-1.90477e-05	2.70592e-05	-3.8822e-05	2.26311e-05	-3.016	0.486464	8309
1.77151e-05	4.25095e-05	3.88144e-06	3.37501e+09	1.35784e+08	0.000472264	5.57002e-05	1.94317e-05	6.67397e-05	5.097e-05	5.17788e-05	-4.25835e-06	6.85235e-06	3.71189e-05	2.49712e-05	3.74802e-05	2.07148e-05	-1.76183	0.440625	8301
1.78114e-05	3.88761e-05	2.08972e-06	2.9612e+09	1.24294e+08	0.000562443	5.69743e-05	-0.000128101	5.98589e-05	1.78614e-05	5.01683e-05	4.05262e-06	6.87518e-06	1.68029e-05	2.0678e-05	3.28922e-05	1.9359e-05	-2.46188	0.412847	8304
1.79082e-05	4.18788e-05	2.97474e-06	3.16914e+09	1.33505e+08	0.00043066	5.77022e-05	-0.000313562	6.33151e-05	-8.07872e-05	5.17671e-05	1.07178e-06	1.00444e-05	3.38565e-05	2.65043e-05	2.32089e-05	1.97223e-05	-1.87958	0.47748	8351
1.80055e-05	3.86137e-05	1.6825e-06	3.11453e+09	1.29984e+08	0.000555055	5.81916e-05	-0.000272705	5.69861e-05	2.38095e-05	5.14446e-05	-8.04769e-06	7.01587e-06	8.6509e-06	2.76671e-05	-2.83146e-05	2.24536e-05	-1.96825	0.455166	8301
1.81033e-05	3.78173e-05	1.93163e-06	3.40198e+09	1.35628e+08	0.000502975	5.61004e-05	-0.000214892	5.62869e-05	-3.24271e-05	5.20818e-05	-5.45912e-07	7.54634e-06	8.76989e-06	2.4789e-05	1.10152e-05	2.02767e-05	-2.67138	0.482478	8366
1.82016e-05	4.46405e-05	4.31363e-06	3.16116e+09	1.31877e+08	0.000387458	6.16663e-05	-0.000258783	6.01283e-05	3.32142e-05	5.82105e-05	8.56712e-06	8.97319e-06	1.79131e-05	2.49192e-05	-2.54112e-05	2.1312e-05	-1.80744	0.458893	8260
