# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 1.67952e+09
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000156548	0.00458941	0.000261036	4.25829e+07	1.87936e+06	0.00445226	0.000604837	0.000916426	0.000601508	-0.000436925	0.000527582	0.000241375	0.000732043	0.00175483	0.00175356	0.0063304	0.00145171	-8.92989	1.62109	9118
0.000157399	0.0040648	0.000282599	4.55506e+07	1.97401e+06	0.00357499	0.000600907	-0.00152928	0.000546282	-0.000820422	0.000485266	-0.00024582	0.000654481	0.00196478	0.00166515	0.00181469	0.00132691	-7.18164	1.42622	9082
0.000158254	0.00412259	0.000191073	4.0457e+07	1.82451e+06	0.00460414	0.000565975	-0.0014184	0.000568635	-0.000396072	0.000515199	-0.0014179	0.000751205	-0.000663025	0.00177988	0.00677389	0.00147237	-12.5838	2.7758	9060
0.000159114	0.00444059	0.000271417	4.6637e+07	1.99141e+06	0.00446404	0.000598737	-0.000675986	0.000593962	-0.000407718	0.000516465	0.000811512	0.000712308	0.00184669	0.0015829	0.00584923	0.00148455	-13.5891	2.94112	9075
0.000159978	0.00444032	0.000490094	4.28533e+07	1.93558e+06	0.0043899	0.000611833	-2.71908e-05	0.00057724	-0.000444201	0.000522925	0.00116621	0.000751877	0.00173186	0.00177358	0.00468339	0.00141371	-9.65809	2.60399	9048
0.000160848	0.00492452	0.000397129	4.66248e+07	2.028e+06	0.00476327	0.000623058	-0.000644211	0.000610804	7.37746e-05	0.000574655	-5.98051e-05	0.000745791	0.000371861	0.00169404	0.00614504	0.00147161	-9.68064	1.87244	9016
0.000161722	0.00421056	0.000253218	4.34652e+07	1.90715e+06	0.0045472	0.000568916	-0.000221597	0.000544477	-0.00052715	0.000557273	-0.000150567	0.000680885	0.000687543	0.00174633	0.00575205	0.00132473	-9.01021	1.67775	9042
0.0001626	0.00433565	0.00026088	4.3125e+07	1.919e+06	0.00373634	0.000561077	4.67643e-05	0.000606219	-0.00058617	0.000521031	0.00078711	0.000694091	-0.000985286	0.00183523	0.00339709	0.00134445	-9.94846	3.5795	9092
0.000163484	0.00409041	0.000200625	4.12148e+07	1.84869e+06	0.00394504	0.000555844	-0.000546517	0.000569113	-0.000213412	0.000516664	-0.00117936	0.000752847	0.000887041	0.00158617	0.00508048	0.00132783	-8.58372	1.56758	9091
0.000164372	0.00420769	0.000248908	4.10911e+07	1.83921e+06	0.00511212	0.000609853	0.000117865	0.000537564	-0.000523503	0.00051695	0.00173036	0.00066828	0.000540762	0.00172939	0.00523672	0.00131081	-9.85015	2.77748	9055
0.000165265	0.00485887	0.000552545	3.98412e+07	1.78928e+06	0.0032571	0.000645455	-0.000812337	0.000614424	0.0001667	0.000526734	-0.000535834	0.000754186	-0.0021077	0.0016663	0.0046789	0.00124528	-11.3145	3.24533	9072
0.000166163	0.0046089	0.000561647	4.00038e+07	1.80355e+06	0.00461332	0.000611454	-0.000727525	0.000609564	-0.000229445	0.000519439	-0.00123833	0.000765914	-6.38059e-05	0.00163461	0.00295026	0.00134414	-12.1075	2.39965	9073
0.000167066	0.00451605	0.000266423	4.29546e+07	1.90133e+06	0.00402518	0.000624066	-0.000717897	0.000563351	0.000222329	0.000538995	5.73919e-05	0.00072478	-0.000217826	0.00169284	0.00470959	0.00147314	-10.4577	1.85721	9055
0.000167973	0.00395973	0.000196618	4.29295e+07	1.89954e+06	0.00373152	0.00055414	-0.00112914	0.000578386	-0.000410125	0.000485103	0.000311659	0.000705222	0.000117715	0.00170679	0.00520102	0.00134266	-7.02049	1.54956	9031
0.000168886	0.00441621	0.000292211	4.01544e+07	1.83174e+06	0.00483289	0.000595681	-0.00151871	0.000587378	-0.000110752	0.000526791	-0.000835631	0.000793185	0.00146229	0.00175566	0.00604229	0.00143971	-9.07959	2.00648	9027
0.000169804	0.00407862	0.000188924	4.54519e+07	1.95465e+06	0.00404401	0.000562179	-0.00153258	0.000565769	-7.86002e-06	0.000508091	0.000696276	0.00072522	0.00239496	0.00178206	0.00515532	0.00120229	-12.495	2.32227	9118
0.000170726	0.00416084	0.000254004	4.23852e+07	1.85061e+06	0.00473632	0.000568675	-0.00136478	0.000586063	0.000335776	0.000498032	0.00071385	0.000788822	-0.00180882	0.00176182	0.0037824	0.00135526	-7.21915	1.95366	9086
0.000171654	0.00442974	0.000343184	4.45346e+07	1.92471e+06	0.00572968	0.000585401	-0.000585572	0.000615882	-4.07572e-05	0.000497735	0.000993172	0.000677689	-0.00119487	0.00184563	0.00426616	0.00138561	-11.0963	2.53037	9118
0.000172587	0.0041812	0.000322358	3.90923e+07	1.80238e+06	0.00448965	0.000572187	-0.001073	0.000561326	-0.000192074	0.00052763	-0.0002742	0.000840531	0.000176591	0.00193007	0.00398403	0.001428	-8.59439	1.36275	9075
0.000173524	0.0045109	0.000351575	4.14211e+07	1.80612e+06	0.00454861	0.000604663	-0.000192348	0.000596308	-0.000232861	0.000522135	0.000770269	0.000669346	5.30932e-06	0.00185471	0.00664618	0.00132778	-6.3363	1.67616	9073
0.000174467	0.00506952	0.000787206	4.32702e+07	1.89105e+06	0.00453499	0.000613758	-0.00111499	0.000661721	0.000130515	0.000550562	0.00184325	0.000788571	0.000985729	0.00168731	0.0048948	0.00130966	-13.363	2.52397	9066
0.000175415	0.004486	0.000456389	4.24125e+07	1.88417e+06	0.00346958	0.000596707	-5.33432e-05	0.000594175	0.000104151	0.000531304	-0.000551338	0.000714318	0.000496782	0.00174975	0.00451301	0.00124721	-5.84249	1.37389	9054
0.000176368	0.00404912	0.000225395	4.59949e+07	2.02026e+06	0.00368712	0.000551761	-0.00106388	0.00056742	0.00100969	0.000523594	-0.000958766	0.00072399	-0.00321813	0.0017546	0.00433245	0.00139524	-9.76328	1.8179	8993
0.000177326	0.00471956	0.000307122	4.29521e+07	1.83247e+06	0.00486284	0.000630223	-0.00104709	0.000596789	0.000377096	0.000540361	-0.000203294	0.000774724	0.000386196	0.00171704	0.00611183	0.00124606	-10.7183	1.68728	9022
0.00017829	0.00404871	0.000215798	4.20341e+07	1.85026e+06	0.00431254	0.000570815	-0.00158088	0.000534484	9.07377e-06	0.000527527	0.000847726	0.00069188	-0.00222428	0.0017864	0.00730246	0.001324	-11.0144	2.1816	9095
0.000179258	0.00520141	0.00079686	4.44943e+07	1.97188e+06	0.00334777	0.00067337	-0.000198732	0.000621766	0.000593532	0.00055417	-3.20857e-05	0.000816554	-0.00160515	0.00174299	0.00633423	0.00150724	-7.45649	1.58029	9073
0.000180232	0.0048905	0.000468491	4.21176e+07	1.9135e+06	0.00264244	0.000633369	-0.000883754	0.000611219	0.000711759	0.000554365	-0.00030075	0.000817242	-0.00065748	0.00167582	0.00556576	0.00150196	-12.4544	2.71574	9047
0.000181212	0.00409478	0.00027127	4.08394e+07	1.85984e+06	0.00410643	0.000567047	-0.00138004	0.000569292	-2.24194e-05	0.000508783	0.000706461	0.000660989	0.000250193	0.00155234	0.0047105	0.00125824	-7.10706	2.24028	9052
0.000182196	0.00496767	0.000582613	4.24793e+07	1.90977e+06	0.00531867	0.000612795	-0.00115436	0.000613982	-9.39902e-05	0.000580895	0.000196766	0.000754802	0.00211844	0.00168524	0.00051404	0.00140057	-8.58751	1.3631	9104
0.000183186	0.00404632	0.000217423	4.12087e+07	1.85714e+06	0.00256813	0.000549512	-0.000546912	0.000555495	-0.000366366	0.000532945	-3.25074e-05	0.000694773	-0.00108399	0.00180183	0.00413654	0.00143968	-8.59262	1.67315	9057
0.000184181	0.00403492	0.000213249	4.23046e+07	1.88957e+06	0.00380696	0.000550391	-0.00094236	0.000545822	-7.26158e-05	0.000533588	0.000620251	0.000731427	-0.00168733	0.00175422	0.00528584	0.00145137	-11.338	2.62203	9114
0.000185182	0.00493133	0.000384687	4.40173e+07	1.95132e+06	0.00278797	0.000598729	-0.00154852	0.000622384	-5.07062e-06	0.000588056	-0.000649883	0.000793484	0.000190765	0.00185986	0.00729145	0.00146496	-15.098	3.59661	9041
0.000186188	0.00435837	0.000294204	4.44579e+07	1.95666e+06	0.0033718	0.000572449	-0.000450218	0.000583522	-5.90247e-05	0.000541946	-0.000478007	0.000735661	0.00333461	0.00165568	0.00488192	0.00128712	-9.38152	1.64328	9068
0.0001872	0.00442085	0.000252237	4.13619e+07	1.88561e+06	0.00478464	0.00058712	-0.000435994	0.000598801	-0.000267644	0.000521527	0.000457271	0.000739573	0.00337165	0.00173019	0.00523006	0.00153911	-9.26768	1.97907	9060
0.000188217	0.0041428	0.000289489	4.36505e+07	1.93943e+06	0.00313705	0.000559091	-0.000760202	0.000578624	0.00104435	0.00052231	-0.000940597	0.000665922	-0.00138376	0.00162176	0.00299598	0.00131336	-8.41059	1.65853	9010
0.00018924	0.00468778	0.000349155	4.19755e+07	1.87185e+06	0.00516756	0.000620033	-0.000606679	0.000566437	4.94543e-05	0.000574125	0.000487292	0.000637795	-0.0027102	0.00167648	0.00350806	0.00131114	-9.54388	2.06853	9050
0.000190268	0.00431813	0.000197188	4.11424e+07	1.83931e+06	0.00468501	0.000583418	-0.00113058	0.00058545	-0.000634395	0.000517379	0.000804438	0.000624879	-0.00130462	0.00163554	0.00539336	0.00128053	-8.84824	1.61045	9077
0.000191302	0.0039292	0.000194078	4.05861e+07	1.83679e+06	0.0042046	0.00055158	-0.00143186	0.000533242	-0.00160786	0.0005256	0.000144244	0.00075841	-0.000732693	0.00172087	0.00664922	0.00133837	-12.6312	2.61039	9081
0.000192341	0.00495649	0.000466247	4.28285e+07	1.9089e+06	0.00403939	0.000632631	-0.000809612	0.000629181	-0.00109313	0.000549133	0.000753522	0.000832	0.00124434	0.00176556	0.00796461	0.001473	-12.9565	2.15846	9031
0.000193386	0.00477315	0.000397395	3.78539e+07	1.73176e+06	0.0037538	0.000607391	-0.00112207	0.000603504	0.000983706	0.00056329	-0.000959109	0.000670836	0.00219718	0.00170958	0.00517215	0.00120978	-8.59805	2.21223	9090
0.000194437	0.00484147	0.000324214	4.33225e+07	1.90268e+06	0.00516177	0.000615616	-0.000837319	0.000623664	0.000740989	0.0005536	0.000815959	0.000789258	-0.000960673	0.00180113	0.00632427	0.00141845	-11.2375	2.27124	9003
0.000195493	0.00439844	0.000305854	4.33047e+07	1.91915e+06	0.00422633	0.000562682	-0.00157496	0.000596422	-0.000206779	0.000544471	-0.000363167	0.000748188	-0.00149459	0.00167286	0.0045416	0.00140538	-11.8561	1.82009	9078
0.000196555	0.00407927	0.000262082	4.22989e+07	1.8906e+06	0.00470682	0.000594295	-0.000772863	0.000540473	-0.000990582	0.000499617	7.89912e-05	0.000736596	-0.00129797	0.00177013	0.00617181	0.00143066	-11.8376	2.06241	9110
0.000197623	0.00420773	0.000241721	3.88641e+07	1.82145e+06	0.0048312	0.000565193	-0.000823031	0.000565444	-0.000808019	0.000535607	-0.000721653	0.000753914	0.00122983	0.00191845	0.00478556	0.00144652	-11.8402	2.37041	9080
0.000198697	0.00424366	0.000215815	4.29342e+07	1.92417e+06	0.00419508	0.000560779	-0.00136259	0.000582121	-0.000272402	0.000533139	0.00188477	0.000811753	0.00141026	0.00167728	0.00436004	0.00143236	-10.6002	2.03593	9051
0.000199776	0.004095	0.000261047	4.21491e+07	1.87866e+06	0.00410553	0.000585816	-0.00153965	0.000559854	-0.000788782	0.00049366	-2.33401e-05	0.000686393	-0.000311178	0.00172471	0.00429158	0.00135699	-10.0317	2.37898	9095
0.000200862	0.0040823	0.000236191	4.35432e+07	1.92624e+06	0.00435574	0.000546325	-0.000396473	0.000567568	-0.00022956	0.000526693	0.00104098	0.000647543	-0.00139004	0.00191452	0.00411582	0.00140976	-6.30514	1.77839	9091
0.000201953	0.00412284	0.000185393	3.82169e+07	1.77518e+06	0.00460374	0.00058617	-0.00150393	0.000563442	-0.000352696	0.000497814	-0.000465917	0.000752004	0.00011117	0.00171935	0.00607698	0.00133007	-11.4869	2.0059	9067
0.00020305	0.00408754	0.000272038	4.19489e+07	1.87933e+06	0.00412763	0.000593767	-0.00222683	0.000541468	-0.000502261	0.000506813	0.000567676	0.000819845	-0.00131392	0.0019028	0.00666305	0.00128838	-11.3023	2.51426	9053
0.000204154	0.00401294	0.000187099	4.39403e+07	1.95283e+06	0.00442431	0.00055382	-0.000377453	0.000579528	-0.000435619	0.000486985	-0.000930075	0.000756747	-0.000762633	0.0019044	0.00564598	0.00134961	-10.6426	1.87321	9122
0.000205263	0.0043012	0.000297495	3.98573e+07	1.85376e+06	0.00403318	0.000589065	-0.000373435	0.000548977	0.000171568	0.000547947	0.000572591	0.000730524	-0.000991207	0.00161528	0.00501312	0.00138366	-6.80774	1.40586	9071
0.000206378	0.00433459	0.000312737	4.37778e+07	1.93768e+06	0.00363854	0.000559755	-0.00121355	0.000587181	0.000540083	0.000550165	9.42968e-05	0.000787511	-0.00241247	0.00184173	0.00643235	0.00146096	-9.06143	1.65375	9027
0.000207499	0.00489978	0.000371238	4.16822e+07	1.86619e+06	0.00398471	0.000608117	-0.00063381	0.00060582	0.000703611	0.000584465	-0.0017894	0.000738834	-0.00020901	0.00181382	0.00392324	0.00138936	-8.52687	1.77079	9089
0.000208627	0.00419234	0.000223281	4.41479e+07	1.96029e+06	0.00486012	0.000566539	-0.00103169	0.000570865	0.000121235	0.000526285	-0.000498989	0.00076313	0.00195035	0.00182993	0.00587604	0.00136402	-11.4002	1.76859	9070
0.00020976	0.00378844	0.000149841	4.41758e+07	1.94508e+06	0.00399358	0.000534573	-0.00097824	0.000548314	0.000282084	0.000497466	-0.000346794	0.000673089	0.000168156	0.00169314	0.00590645	0.00138646	-12.0011	5.89114	9089
0.0002109	0.00412221	0.000242872	4.3474e+07	1.91464e+06	0.00289371	0.000556323	-0.00140811	0.000570124	-0.000369915	0.000526821	0.000763526	0.000743671	0.00260236	0.00180565	0.00356263	0.00142569	-9.90172	1.78345	9049
0.000212046	0.00392296	0.000188477	4.35116e+07	1.9201e+06	0.00515013	0.000555525	-0.00117102	0.000537825	8.88643e-05	0.000513488	0.000486885	0.000701243	0.000249701	0.00175999	0.00597915	0.00139593	-9.64583	1.66655	9097
0.000213198	0.00497262	0.000436851	4.24381e+07	1.9255e+06	0.00417891	0.000615485	0.00024811	0.000632997	0.000816589	0.000561993	0.000737515	0.00077517	0.0012775	0.00180605	0.00516164	0.0015372	-10.5671	1.92822	9081
0.000214356	0.00447764	0.000263785	4.36152e+07	1.94832e+06	0.0044865	0.000597738	-0.00191335	0.000571491	4.05303e-05	0.00054497	-0.000104434	0.000770377	-0.00070293	0.00187254	0.00572994	0.00153228	-8.49246	1.81447	9126
0.000215521	0.00421401	0.000290961	4.38617e+07	1.94087e+06	0.0038578	0.000551081	-0.00101023	0.00061873	-0.000675697	0.000492785	0.000599286	0.000652703	-0.00114446	0.00173221	0.00411406	0.00136367	-8.76701	1.80838	9072
0.000216692	0.00444123	0.00033434	4.35867e+07	1.93543e+06	0.00401414	0.000602358	-0.00150774	0.000587425	0.000357662	0.000524784	0.000391248	0.000724877	-0.000485364	0.00181943	0.00620236	0.0014721	-11.4681	2.16489	9035
0.000217869	0.00387669	0.000171598	4.26767e+07	1.91824e+06	0.00430619	0.00054508	-0.00123793	0.000552038	-5.5183e-05	0.000502986	-0.000219042	0.000761047	-0.00030954	0.00170851	0.00422368	0.00129537	-9.50397	2.22952	9070
0.000219053	0.00451482	0.000251038	4.17328e+07	1.86746e+06	0.00374177	0.000581782	-0.00260427	0.000592667	-0.000162875	0.000550807	0.000554335	0.000790027	0.00235194	0.00161432	0.00488643	0.00146886	-15.8205	3.12018	9092
0.000220243	0.00457755	0.000318051	4.19896e+07	1.91891e+06	0.00439597	0.00058146	-0.000668699	0.000597391	0.000749769	0.0005567	0.00120623	0.000770613	0.00206955	0.00171492	0.0074371	0.00141414	-11.1652	2.73518	9111
0.00022144	0.00446996	0.000262957	3.69324e+07	1.74368e+06	0.00411675	0.00058732	-0.000708426	0.000611436	0.00132175	0.000518496	0.00088484	0.000761912	0.000550518	0.00162669	0.00598583	0.00134205	-10.6798	1.86202	9053
0.000222643	0.00475825	0.000431136	4.24377e+07	1.89619e+06	0.00354564	0.000600037	-0.000737657	0.000638931	-0.000472694	0.000534618	-0.000277419	0.000823246	-0.0016125	0.00166503	0.0073824	0.00140624	-9.76107	2.21501	9035
0.000223853	0.00405471	0.000197413	4.18836e+07	1.88283e+06	0.0042747	0.00056349	-0.00174861	0.000563777	-0.000343626	0.000508259	-0.00108031	0.000778695	0.00154025	0.00187901	0.0029485	0.00146246	-10.5306	2.15668	9073
0.000225069	0.00408256	0.000222416	4.32399e+07	1.93761e+06	0.00482403	0.000549808	-0.000916251	0.000567238	0.000130348	0.000527255	-0.000633285	0.000747935	-0.000552963	0.00171949	0.00169903	0.00135422	-9.03031	2.03961	9048
0.000226292	0.00498875	0.000754061	4.28991e+07	1.9063e+06	0.0048076	0.000641313	-0.00161603	0.000593691	-0.000406076	0.000579526	-7.07328e-05	0.000751834	-0.00108707	0.00182581	0.00455152	0.00135797	-8.25444	1.68084	9069
0.000227521	0.00456766	0.000371601	4.30864e+07	1.89629e+06	0.00335475	0.000558617	-0.0013484	0.000647097	0.000141856	0.000524327	-0.000387496	0.000755662	-0.000299189	0.00171847	0.00465456	0.00134165	-6.10575	1.69505	9091
0.000228757	0.00530277	0.000498008	4.26459e+07	1.90278e+06	0.00486283	0.000680169	0.000433632	0.000629668	-0.00019576	0.000558146	-0.00111541	0.00086861	0.00274192	0.00168475	0.00426151	0.00135258	-12.4725	2.58584	9058
0.00023	0.00487876	0.00047765	4.21349e+07	1.90278e+06	0.00346735	0.000620876	-0.000603916	0.000626658	0.000245755	0.000551714	0.000527685	0.000824194	-0.000582805	0.00178273	0.00567291	0.00140474	-15.6109	2.94533	9021
0.00023125	0.00424727	0.000263228	4.29529e+07	1.88002e+06	0.00438181	0.000563984	-0.000370868	0.000573106	0.000130137	0.000533458	0.000362318	0.000739674	-6.30911e-05	0.00174634	0.00576634	0.00127938	-13.8212	2.24955	9125
0.000232506	0.00452521	0.000275154	4.19433e+07	1.90969e+06	0.00415942	0.00058412	-4.17918e-06	0.000611934	0.000384291	0.000529447	0.000713448	0.000825417	0.00280657	0.00162657	0.0042565	0.0015461	-12.5596	2.65927	9091
0.00023377	0.00467421	0.000278306	4.18964e+07	1.90781e+06	0.00421492	0.000585123	-0.000227838	0.000615307	0.000446216	0.00055953	-0.000117684	0.000780089	-0.00144993	0.00176047	0.00293039	0.00155994	-8.35011	1.85771	9044
0.00023504	0.00426611	0.000263959	4.0005e+07	1.80803e+06	0.00188359	0.000572444	-0.000485413	0.000578928	0.000935685	0.000527572	-0.000766423	0.000821039	-0.00143799	0.00187657	0.00543343	0.00142192	-10.9523	2.53656	9083
