# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 1e+11
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000790569	0.0879942	0.00242425	4.58072e+07	6.78064e+06	-0.00181075	0.00255575	-0.00136804	0.00253215	0.00311876	0.00221055	-2.12787e-05	0.00247757	0.00605672	0.00710663	0.0992151	0.00443379	-0.94589	0.119407	9877
0.000794865	0.0848446	0.0022583	4.54756e+07	9.97116e+06	0.00336161	0.00260575	0.00529074	0.00241251	0.000473911	0.00213209	-0.00172593	0.00250768	0.00585686	0.00684894	0.1004	0.00439232	-0.721007	0.111128	9897
0.000799183	0.0875763	0.00236524	4.68997e+07	8.5428e+06	0.00199162	0.00253404	0.00304918	0.00254408	-0.000724562	0.00220118	0.00204762	0.00253015	0.0102521	0.0070424	0.0963665	0.0044422	-0.915044	0.105522	9881
0.000803526	0.0900082	0.00246475	5.28615e+07	8.17773e+06	0.00245739	0.00258064	-0.00276705	0.00254869	0.00178644	0.0022442	0.00119899	0.00251866	-0.000344221	0.00686795	0.104093	0.00446923	-1.08784	0.120435	9902
0.000807891	0.082254	0.0021755	4.59284e+07	9.6288e+06	0.000914937	0.00249199	-0.00248324	0.00245234	0.00141412	0.00211288	0.000151547	0.00238736	0.0138461	0.00702371	0.101479	0.00448838	-1.1861	0.18859	9866
0.000812281	0.0881324	0.00256709	4.29069e+07	7.32493e+06	0.000462162	0.00257049	-0.000812874	0.00255163	0.00281674	0.00217811	0.00550986	0.00258812	0.00487848	0.0071772	0.10233	0.00450147	-1.00642	0.124751	9875
0.000816694	0.0849798	0.00238741	5.58908e+07	1.21317e+07	-0.000872781	0.00252499	-0.00295246	0.00251687	0.00134134	0.00212628	-0.0019582	0.0024875	0.0164192	0.00747332	0.0974653	0.00449893	-1.05936	0.155499	9871
0.000821131	0.0864069	0.00245279	5.59718e+07	1.00662e+07	-0.000410248	0.00254364	-0.000127658	0.00245738	-0.00160111	0.00222633	0.00226735	0.00243428	0.0034991	0.00724349	0.101428	0.00439155	-0.746264	0.112584	9903
0.000825593	0.0892149	0.00241507	7.57521e+07	1.66048e+07	0.00500909	0.00254694	0.00185872	0.00258811	-0.000724377	0.0022066	0.00176294	0.00254127	0.0159836	0.00700477	0.10489	0.00449345	-1.11379	0.14702	9889
0.000830078	0.0847961	0.00236415	8.77283e+07	1.76212e+07	-0.00362104	0.00250986	0.00177296	0.00249614	0.00306085	0.00215942	0.00415461	0.0024884	0.00658402	0.00709088	0.103425	0.0046134	-0.909995	0.100112	9871
0.000834588	0.0859753	0.00246299	4.02442e+07	5.59404e+06	-0.0031346	0.00255431	0.000452069	0.00252879	-0.00050807	0.00212037	-0.00139396	0.00250081	0.0100218	0.00704144	0.096302	0.00448704	-1.08995	0.131882	9881
0.000839123	0.0893367	0.00237668	6.50516e+07	1.36814e+07	0.00193357	0.00258717	-0.0038229	0.00252082	-0.00215537	0.00224658	0.00266848	0.00255103	0.0055578	0.00707447	0.108774	0.00447353	-0.934125	0.135022	9881
0.000843682	0.0884765	0.00252638	6.31341e+07	1.24385e+07	0.000117933	0.00260668	0.00098174	0.00249703	-0.00220321	0.0022179	-0.000374966	0.00246185	0.000186937	0.00695844	0.0989429	0.00439598	-0.994207	0.101621	9867
0.000848266	0.0866705	0.00228587	5.86183e+07	1.25933e+07	0.00162628	0.00257994	-0.000469893	0.0024576	0.00174485	0.00220488	-0.000214055	0.00251124	-0.00847719	0.00723826	0.102659	0.00445819	-0.864091	0.133876	9881
0.000852875	0.0890234	0.00254435	7.23083e+07	1.62429e+07	-0.000214054	0.00253439	-0.000669267	0.00254198	0.00193481	0.00226666	0.00259546	0.00249571	0.0022265	0.00697239	0.0974627	0.00427711	-0.935834	0.114242	9887
0.000857509	0.0865423	0.00240014	5.0181e+07	1.04307e+07	0.00192233	0.0025912	-0.00354534	0.00248737	-0.00228778	0.00214671	0.000192709	0.00254812	0.00205301	0.00718236	0.102438	0.00453686	-1.04457	0.124275	9892
0.000862168	0.080798	0.00220937	6.13137e+07	1.51048e+07	-0.000528433	0.00244895	-0.00273351	0.00240554	-0.000374523	0.00213615	-0.000695063	0.00250811	-0.000844474	0.00689945	0.0877011	0.00445993	-1.11362	0.113743	9894
0.000866852	0.0868637	0.0023791	6.31222e+07	1.42692e+07	-0.00245478	0.00258983	0.00208651	0.00245399	0.000542799	0.00220497	0.000255336	0.00253153	0.0124709	0.00719102	0.0937821	0.00440552	-1.00913	0.112013	9884
0.000871562	0.0876876	0.00242807	7.02201e+07	1.61825e+07	0.00140488	0.00258353	0.00154461	0.00247252	-0.00157218	0.00222399	-0.00217701	0.0025815	0.0135593	0.00739415	0.0915163	0.00443493	-0.763313	0.144919	9897
0.000876297	0.0870077	0.00241718	5.70098e+07	1.20016e+07	0.000830968	0.0025226	-0.00165337	0.00252293	-0.000902429	0.00220419	-0.000851535	0.00252086	0.00105524	0.0072456	0.101065	0.00441235	-0.818791	0.135217	9903
0.000881058	0.0861528	0.00240722	9.74284e+07	2.06853e+07	-0.00436757	0.00253823	-0.000722924	0.00249102	0.0029551	0.00219331	0.0020435	0.00247983	-0.000552066	0.00707892	0.1084	0.00445469	-0.74512	0.106694	9877
0.000885845	0.084416	0.00222844	4.72824e+07	7.5959e+06	-0.000447348	0.00256843	-0.00192714	0.00245352	-0.000546361	0.00211586	-0.0019029	0.00259343	-0.00425511	0.00708826	0.101103	0.00460758	-0.872934	0.103619	9886
0.000890658	0.0875368	0.0024351	5.06878e+07	8.52679e+06	-0.00209878	0.0026088	0.000723621	0.00253432	-0.000404992	0.00212509	-0.00153883	0.00249832	-0.00875053	0.00717442	0.105213	0.00441718	-1.14494	0.142294	9875
0.000895498	0.0827442	0.00215251	6.97282e+07	1.57547e+07	0.00152889	0.002449	-0.00111872	0.0024421	-0.000847513	0.00218045	0.00247978	0.00252919	-0.00753941	0.00710344	0.100608	0.00455775	-0.974699	0.120278	9909
0.000900363	0.0914062	0.00261611	5.23214e+07	1.16851e+07	-0.00101685	0.00260495	-0.00076711	0.00259056	0.00187197	0.00224271	0.000943054	0.00256215	-0.0122661	0.00729493	0.0928402	0.0043992	-0.941662	0.113328	9876
0.000905255	0.0852339	0.00231515	5.64674e+07	1.24137e+07	6.84795e-06	0.00249305	-0.0010077	0.00253049	-0.00377582	0.00216083	-0.0034637	0.00249376	0.0125757	0.00711211	0.102195	0.00434455	-0.720267	0.101416	9869
0.000910173	0.0833413	0.0022361	5.31285e+07	1.11385e+07	0.00427892	0.00249082	0.00124824	0.00243016	0.00183437	0.00218355	-0.000484004	0.00249424	-0.00137392	0.00712421	0.0969911	0.00444129	-0.637068	0.112542	9884
0.000915119	0.0882697	0.00241393	6.28699e+07	1.13381e+07	-0.00344168	0.0025787	0.00259601	0.00245605	0.00295857	0.00227607	-0.00144758	0.00250174	-0.00567024	0.00694942	0.100429	0.00454166	-0.820009	0.145531	9891
0.000920091	0.0891101	0.00243468	3.53609e+07	4.51731e+06	-4.44062e-05	0.00254819	-0.00545614	0.00252033	-0.00032211	0.00227508	0.00133452	0.00259686	0.000195045	0.00709095	0.102236	0.00449648	-0.837788	0.101954	9897
