# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 65210.1
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
3.53377e-05	0.000167154	8.13746e-06	460.095	31.5804	0.000915361	0.000157131	0.000718945	0.000151536	-0.000285416	0.000136439	1.3638e-05	7.58221e-06	1.6499e-05	1.09923e-05	0.00021211	1.54276e-05	-0.262339	0.042484	5035
3.55297e-05	0.000172647	8.233e-06	480.921	34.8196	0.0010389	0.000165441	0.000533463	0.000150237	-1.98335e-05	0.000133964	7.14325e-06	5.93766e-06	-1.00087e-05	9.53379e-06	0.000190125	1.08391e-05	-0.265897	0.0433838	5078
3.57227e-05	0.000154587	7.61136e-06	469.538	32.8788	0.00105249	0.000145001	0.000291423	0.000154389	-0.000112189	0.000130846	-6.60962e-06	5.02634e-06	3.3338e-06	9.51753e-06	0.000181596	8.72054e-06	-0.236778	0.0446868	4981
3.59168e-05	0.000150945	5.66313e-06	420.554	25.4633	0.00120984	0.000150914	0.000318122	0.000138582	1.60558e-06	0.00013421	9.92823e-07	5.39288e-06	4.11361e-09	8.30312e-06	0.000174309	8.7007e-06	-0.226842	0.039868	5019
3.61119e-05	0.000158796	6.87575e-06	454.029	31.194	0.000962092	0.000158186	0.000533492	0.000145684	-9.39688e-05	0.000133718	-5.67975e-06	4.3981e-06	-4.42033e-06	1.08146e-05	0.000198877	1.22144e-05	-0.2271	0.0380587	4946
3.63081e-05	0.000172351	9.11043e-06	411.77	22.1841	0.00111028	0.000163197	0.000439973	0.000152169	-1.3637e-05	0.000141845	-9.5597e-06	4.72935e-06	-6.14402e-06	8.48829e-06	0.000211297	1.64625e-05	-0.321717	0.0562725	4922
3.65054e-05	0.000155038	6.41336e-06	426.146	24.9853	0.00116617	0.000150753	0.000333506	0.00014536	0.000136976	0.000134332	-6.62497e-06	4.33579e-06	-6.55978e-06	1.05014e-05	0.00019066	1.0607e-05	-0.240092	0.03555	4998
3.67038e-05	0.000163105	1.30036e-05	481.452	35.0935	0.00109109	0.000156104	0.000625347	0.000155912	-0.000125623	0.000130674	8.42946e-06	3.99942e-06	-3.59409e-06	8.04726e-06	0.000192766	1.18745e-05	-0.215693	0.0367305	4949
3.69032e-05	0.000152517	5.88807e-06	465.693	33.1864	0.000805838	0.000154477	0.000394243	0.000140672	7.46657e-05	0.000131501	-7.89446e-07	4.80268e-06	-6.50005e-06	8.57825e-06	0.000192047	1.08659e-05	-0.216643	0.0333913	5005
3.71037e-05	0.000165629	9.03887e-06	512.047	40.2219	0.00132909	0.000159601	0.000276574	0.000149961	1.51548e-06	0.000133362	1.41699e-05	9.15138e-06	-1.72737e-05	9.26029e-06	0.000199215	9.3853e-06	-0.256405	0.0390731	5023
3.73053e-05	0.000155354	6.74825e-06	411.767	24.347	0.0011229	0.000151852	0.000427676	0.000144332	0.000279214	0.000136371	2.13491e-07	4.93317e-06	-1.90296e-05	1.78442e-05	0.000188212	1.1659e-05	-0.302254	0.0404455	4961
3.7508e-05	0.000156191	6.26559e-06	474.211	33.5525	0.000812311	0.000152554	0.000500718	0.000146256	-0.000107378	0.000130536	-3.71473e-06	3.95349e-06	-3.62232e-06	1.0116e-05	0.000183659	9.71808e-06	-0.293733	0.0447295	5061
3.77118e-05	0.000161027	1.41616e-05	466.802	30.5666	0.000853488	0.000153208	0.00048733	0.000146126	0.000233194	0.000137039	1.96696e-06	5.03193e-06	2.29756e-06	8.53681e-06	0.000181137	9.60616e-06	-0.223634	0.0349224	5060
3.79167e-05	0.000151725	5.80149e-06	408.712	20.6349	0.00081077	0.000150476	0.000544712	0.000143464	1.83235e-05	0.000132565	-8.71503e-06	5.37979e-06	-2.87753e-06	8.45718e-06	0.000178864	8.57623e-06	-0.22759	0.0311545	4989
3.81227e-05	0.000176216	9.62621e-06	475.905	33.9994	0.00116124	0.000165185	0.000549176	0.00015851	0.000145546	0.000132836	-5.48758e-06	6.76628e-06	1.01503e-05	2.42117e-05	0.000216861	1.57528e-05	-0.217448	0.0400181	5019
3.83298e-05	0.000165764	7.84899e-06	457.802	29.7378	0.000843362	0.000152004	0.000250507	0.000153509	4.12805e-05	0.00013772	2.77815e-06	6.79764e-06	1.38985e-05	1.1294e-05	0.00019794	1.03912e-05	-0.171711	0.0464891	5052
3.8538e-05	0.000153587	5.93967e-06	411.285	22.3591	0.000843509	0.000151685	0.000541711	0.000147327	3.22129e-05	0.000130274	-2.91368e-06	4.05846e-06	-2.20858e-06	7.09854e-06	0.000191149	9.40343e-06	-0.186998	0.0302506	4977
3.87474e-05	0.000149755	6.91607e-06	452.891	29.4232	0.00117057	0.000147346	0.000626239	0.000142823	-3.8809e-06	0.0001325	3.65723e-06	4.51309e-06	4.94755e-08	9.15046e-06	0.000175377	8.99793e-06	-0.249867	0.0348527	5004
3.8958e-05	0.000164113	7.76187e-06	425.915	26.3799	0.0011517	0.000154837	0.000455824	0.00015486	6.57343e-05	0.000133187	-3.76409e-06	4.2803e-06	-1.82277e-05	1.19544e-05	0.000197103	1.2004e-05	-0.299297	0.0452898	4986
3.91696e-05	0.00017496	1.24801e-05	448.985	29.2115	0.00109075	0.000162214	0.000303483	0.000155485	-7.35097e-05	0.000135354	-4.06242e-06	9.70069e-06	-2.50393e-06	1.16409e-05	0.000203288	1.73188e-05	-0.241738	0.0844364	5079
3.93824e-05	0.00016376	7.47558e-06	477.496	34.159	0.00132628	0.000153366	0.000410516	0.000152119	5.23921e-05	0.000136639	5.5959e-07	4.51815e-06	-8.76936e-06	7.33104e-06	0.000195538	9.35885e-06	-0.16828	0.0369839	4997
3.95964e-05	0.000168318	7.36003e-06	429.88	24.4566	0.00107626	0.000155786	0.000521421	0.000151202	0.000239087	0.000137723	-1.52167e-05	1.08507e-05	1.08234e-05	1.09945e-05	0.00019215	9.32927e-06	-0.159144	0.0577771	5084
3.98116e-05	0.000155621	6.02581e-06	446.76	30.1348	0.00114621	0.000152283	0.000640593	0.000143043	2.04773e-05	0.000132331	1.2516e-06	4.55315e-06	-3.4444e-06	8.31788e-06	0.000198818	9.90686e-06	-0.208118	0.0340471	5075
4.00279e-05	0.000162449	8.03133e-06	449.963	29.8683	0.000980738	0.00015498	0.000172027	0.000154732	0.000127358	0.000131408	5.7126e-06	4.80707e-06	2.12647e-05	1.43002e-05	0.000199475	2.5539e-05	-0.268518	0.0469947	4979
4.02453e-05	0.000160666	8.25697e-06	471.841	33.4586	0.000672121	0.000149859	0.00051945	0.000154643	-4.4851e-06	0.000131962	5.87151e-06	4.43388e-06	-2.43393e-06	1.04528e-05	0.000202711	1.21888e-05	-0.177836	0.0384446	5040
4.0464e-05	0.000149523	5.08873e-06	445.191	29.2484	0.00091501	0.000145498	0.00028298	0.000140616	-4.25199e-06	0.000132692	-3.81786e-07	3.52724e-06	-2.37433e-06	7.03002e-06	0.000174347	7.97496e-06	-0.246145	0.0294601	5107
4.06839e-05	0.00015645	8.62669e-06	432.29	28.5419	0.000621183	0.000148878	0.000494061	0.000152487	2.5836e-05	0.000129579	-5.33902e-06	5.19727e-06	-2.91854e-05	2.08894e-05	0.000190363	1.15899e-05	-0.251697	0.0536867	5034
4.09049e-05	0.000157925	7.38443e-06	421.446	22.1606	0.000976756	0.000154361	0.000374634	0.000147979	-7.58017e-05	0.000128382	-1.12325e-06	9.11098e-06	1.44822e-05	1.21168e-05	0.000181791	9.55064e-06	-0.198438	0.0426972	5074
4.11271e-05	0.000176996	1.48999e-05	437.916	25.9381	0.00123377	0.000158728	0.000504386	0.000151269	0.00033148	0.000147517	-3.98534e-06	4.38578e-06	6.44684e-06	1.14527e-05	0.000204941	1.4915e-05	-0.292698	0.0443102	5055
