# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 1e+11
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
7.05695e-05	0.000799909	6.18094e-05	2.12438e+09	9.89596e+07	0.00270383	0.000244371	-0.00041615	0.000227117	-0.000299412	0.000233414	4.25503e-06	0.00032186	0.0039531	0.00242365	0.00340778	0.00196809	-22.4521	20.0701	9622
7.0953e-05	0.00131002	0.000360404	1.94573e+09	9.73288e+07	0.0023878	0.000240095	-0.000798351	0.000299032	-1.40296e-05	0.000354023	9.5152e-06	0.000282353	-0.00233089	0.00241373	0.00279741	0.00183422	-26.1057	16.6331	9606
7.13385e-05	0.000857161	7.13834e-05	1.98718e+09	9.50076e+07	0.00299988	0.000241585	-0.00116818	0.000244831	0.000159213	0.000242715	-0.000141823	0.000312933	-5.30354e-05	0.00236377	0.00349959	0.00170135	-24.9647	21.03	9632
7.17261e-05	0.000884228	6.70932e-05	1.96094e+09	9.52046e+07	0.00269346	0.000261832	-0.000484353	0.000238834	-0.000193858	0.00023917	-0.000230192	0.000279431	0.000429838	0.00249662	0.00272846	0.0018473	-46.7738	28.456	9650
7.21158e-05	0.000843621	5.268e-05	2.19535e+09	1.02333e+08	0.00271528	0.000242378	-0.000618723	0.00023403	-0.000351317	0.000246558	-0.000141044	0.000339322	0.00311163	0.00237282	0.0087016	0.00199617	-45.2719	19.5792	9652
7.25076e-05	0.000975819	0.000115063	1.99046e+09	9.45901e+07	0.00260669	0.000284793	-0.00074965	0.000256844	-0.000299754	0.000233948	-6.49592e-05	0.000241275	-0.000721379	0.00247392	0.00293771	0.00185996	-28.4696	11.8792	9649
7.29015e-05	0.000717096	3.49753e-05	2.09152e+09	9.94471e+07	0.00273365	0.000231999	-0.000817121	0.000221559	0.000206524	0.000213587	-0.000390038	0.000293392	-0.00160034	0.00213403	0.00505361	0.00190555	-25.8531	12.5526	9621
7.32976e-05	0.00240307	0.00154902	1.78287e+09	8.87317e+07	0.00213702	0.000616752	-0.000807496	0.000255405	0.00034209	0.000229903	-0.000179754	0.000267834	-0.00141041	0.0025584	0.00488386	0.00183986	-56.7983	23.7173	9637
7.36959e-05	0.000796506	5.55442e-05	2.01166e+09	9.65191e+07	0.00235627	0.000252707	-0.00123599	0.00023177	-2.33645e-05	0.000217728	-4.64469e-05	0.000309991	0.00106737	0.00223743	0.00349167	0.00203152	-33.8772	16.3924	9631
7.40963e-05	0.000900089	8.91546e-05	2.0405e+09	9.57892e+07	0.00265363	0.00025224	-0.000361264	0.000261408	5.88992e-05	0.000233484	-0.000121961	0.000313779	-0.0011729	0.00229061	0.0052008	0.00184245	-8.95157	12.7553	9632
7.44989e-05	0.000829719	5.07764e-05	2.00734e+09	9.61819e+07	0.00258701	0.000262377	-0.00126748	0.000235294	5.48777e-05	0.000219105	1.15278e-05	0.000323448	-0.000827404	0.00242072	0.00618837	0.0019662	-11.8915	14.942	9606
7.49036e-05	0.000876648	7.42806e-05	1.78078e+09	8.83458e+07	0.00249704	0.000260988	-0.00081584	0.000248592	-0.000684728	0.000227945	-0.000310943	0.000296344	0.000740713	0.00213264	0.0026681	0.00182931	-32.525	21.6885	9617
7.53106e-05	0.00104169	0.000142244	1.92304e+09	9.4296e+07	0.00273166	0.000261383	-0.00120112	0.000278296	0.000154455	0.000264272	0.000386459	0.000314829	-0.00266146	0.00245866	0.00409206	0.00184301	-70.5527	23.4723	9636
7.57198e-05	0.00127927	0.000417791	1.8478e+09	8.9872e+07	0.0021402	0.000374937	-0.000420103	0.000268249	2.18001e-05	0.000230837	-0.000157062	0.00028106	0.00106637	0.00224005	0.00723572	0.00196969	17.0437	21.2065	9619
7.61312e-05	0.00106443	0.000126227	2.03042e+09	9.78406e+07	0.002315	0.000277215	-0.00116596	0.000269081	0.000180163	0.000267363	-7.97446e-05	0.000334772	-0.00148336	0.00214475	0.00750192	0.00184618	-38.0661	18.4887	9628
7.65448e-05	0.000822765	6.09518e-05	1.82525e+09	9.0119e+07	0.00239392	0.000241796	-0.000505977	0.000234986	-0.000152057	0.000238282	7.40865e-05	0.000297436	-0.00217374	0.00227052	0.000512327	0.00167259	-37.982	21.6033	9637
7.69607e-05	0.000819965	5.50795e-05	1.90836e+09	9.47716e+07	0.00284294	0.000241291	-0.000902552	0.000239223	0.000364	0.000232709	8.10542e-05	0.000288352	0.0013344	0.00251345	0.00419574	0.00197434	-66.7454	25.605	9635
7.73789e-05	0.000773324	5.47031e-05	1.9498e+09	9.43104e+07	0.00238369	0.000246188	-0.000267891	0.000240399	0.000140702	0.000204777	-0.000761418	0.000369446	-0.00108795	0.00258432	0.00309187	0.00180304	-38.4337	24.1575	9630
7.77993e-05	0.00105288	0.000132394	1.8984e+09	9.22793e+07	0.0027386	0.000291589	-0.00110383	0.000249342	-0.000192214	0.000266758	-0.000168339	0.000326808	-0.000999407	0.00238182	0.00134763	0.00186374	-67.7594	40.4494	9619
7.8222e-05	0.000851075	5.52029e-05	1.98704e+09	9.4677e+07	0.00286881	0.000245106	-0.000254865	0.000253864	-8.07397e-06	0.00022854	0.000217602	0.000247014	0.000427641	0.00207013	0.00347904	0.00177866	-25.576	15.905	9602
