# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 1.38489e+09
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000111247	0.00210879	0.000148409	4.35078e+07	1.76722e+06	0.00197745	0.00040055	-0.000516752	0.000416999	-0.000199783	0.000381599	0.0011477	0.00120971	-0.00177635	0.00196323	0.00271296	0.000795498	-14.8533	12.9199	8794
0.000111852	0.00236213	0.000224533	4.44739e+07	1.75694e+06	0.00273603	0.000423591	-0.000186247	0.000436279	-5.04969e-05	0.000413743	0.00101671	0.0013404	0.00104956	0.00189981	0.00335412	0.000951968	-5.6344	17.4753	8733
0.000112459	0.0020605	0.000118467	4.51615e+07	1.81564e+06	0.00146305	0.00042314	-0.000511479	0.000398167	-0.000928873	0.000367145	0.00296603	0.00115676	-0.00151081	0.00212144	0.00225619	0.00094276	-6.47735	14.6571	8733
0.00011307	0.00222523	0.000165167	4.53081e+07	1.81346e+06	0.00270968	0.000436218	-0.00112986	0.000435873	-0.000545859	0.000353644	-0.000233553	0.00123658	0.000667057	0.00225235	0.00277074	0.000944498	-2.91105	14.6195	8804
0.000113685	0.00232562	0.000211924	4.70921e+07	1.88341e+06	0.00182683	0.000438635	-0.00114039	0.000418905	0.00011945	0.000404515	-0.000336115	0.0011521	0.00154594	0.0021377	0.00373019	0.00090142	-34.5388	15.5025	8757
0.000114302	0.00211973	0.000133712	4.24079e+07	1.71531e+06	0.00116046	0.000417586	-0.000825146	0.000398992	-0.00021925	0.000388871	-0.000529449	0.00123387	-0.00424394	0.00206893	0.0036369	0.000869287	-35.9543	12.7234	8756
0.000114923	0.00216921	0.000129801	4.58219e+07	1.81341e+06	0.00181906	0.000406384	-0.000583019	0.000451186	0.000256708	0.000357838	0.0011992	0.00124098	0.00172367	0.00224172	0.0031502	0.00101359	-10.9553	14.9778	8741
0.000115548	0.00212515	0.000151259	4.49572e+07	1.80103e+06	0.00186069	0.000394621	-0.000614369	0.000408789	-0.000105585	0.000403072	-0.000265871	0.00119498	0.00105101	0.0021079	0.00354111	0.00085796	-70.4503	31.218	8766
0.000116176	0.00313441	0.000487955	4.49092e+07	1.8146e+06	0.000555317	0.00046516	-0.000264626	0.000554693	-0.000440944	0.000435396	-0.00034047	0.00110166	0.00101316	0.00209252	0.00295586	0.000922066	-40.5124	13.9486	8795
0.000116807	0.00200951	0.000108329	4.69104e+07	1.84144e+06	0.00260893	0.000398102	-0.000409951	0.000415873	-0.000359481	0.00035509	-0.000501395	0.00122072	-8.9951e-05	0.00212048	0.00145545	0.000907068	29.114	38.2711	8786
0.000117441	0.00276625	0.000305289	4.21696e+07	1.71747e+06	0.00140699	0.000464231	-0.000427883	0.000467394	0.000497874	0.000443766	0.000796392	0.00131374	0.000269008	0.00205032	0.00416373	0.000843286	-1.98437	13.5546	8778
0.00011808	0.00228748	0.000229692	4.48099e+07	1.77496e+06	0.00250146	0.000438275	0.000179504	0.000430623	0.000297811	0.000380133	-0.00134878	0.00119384	-0.000564809	0.00197199	0.00445089	0.000947981	-59.5629	20.8231	8767
0.000118721	0.00240626	0.00045573	4.04231e+07	1.72386e+06	0.00215859	0.000427251	-0.000324145	0.000444516	0.000342173	0.000410847	0.00129909	0.00124978	-0.00108933	0.00218409	0.00336319	0.000743521	-20.0785	11.2179	8773
0.000119366	0.00217545	0.000130173	4.68668e+07	1.85473e+06	0.00167679	0.000430683	-0.000713606	0.00041156	3.95752e-06	0.000377813	-0.00115254	0.00134638	-0.00159554	0.00221692	0.00304561	0.000840707	26.2979	35.7736	8753
0.000120015	0.00202287	8.83014e-05	4.41506e+07	1.7989e+06	0.00228054	0.00039606	-0.000978416	0.000410426	1.34713e-06	0.00036767	0.00108857	0.0011763	-0.000149289	0.00183873	0.00184903	0.000933442	-16.3917	29.6575	8790
0.000120667	0.00225885	0.000138726	4.62041e+07	1.87501e+06	0.00224654	0.000415702	-0.000693349	0.000424272	9.22245e-05	0.000402437	-0.00137685	0.00110468	0.000596466	0.00201621	0.000607161	0.00082982	-17.3794	13.2267	8781
0.000121322	0.00222805	0.000171761	4.57192e+07	1.83541e+06	0.00187163	0.000443015	-4.2481e-05	0.000417792	-0.000176102	0.000371728	0.000666481	0.00112168	-0.00309245	0.00212519	0.00408701	0.000887494	-26.006	25.507	8764
0.000121981	0.00231216	0.000160199	4.02874e+07	1.68736e+06	0.00231836	0.000413283	-0.00102365	0.000449489	9.82635e-05	0.000389997	-0.00011477	0.00118327	-0.00228379	0.00207361	0.00310408	0.000823098	-21.8176	6.67585	8813
