# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 385353
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000111247	0.00327066	0.000496146	24273.6	828.892	0.00630907	0.000577599	-0.00125149	0.0006221	0.000632286	0.000538372	-0.000464404	0.000394452	0.00178824	0.0018894	-0.000821496	0.00169199	-15.3965	5.36985	6441
0.000111852	0.00319093	0.000568326	24836.7	831.132	0.00639797	0.000661143	-0.000932471	0.000554171	-0.00114026	0.000498882	-0.000566541	0.000412821	-0.00231878	0.00200201	-5.43984e-05	0.00163348	-9.56341	4.28127	6392
0.000112459	0.00281092	0.000242967	24347.2	822.607	0.0062859	0.00057909	-0.000727511	0.000540676	0.000330478	0.000501925	0.000723222	0.000444789	0.00189264	0.00163017	-0.00129098	0.00157271	-15.856	5.76273	6356
0.00011307	0.00251627	0.000196231	23610	799.859	0.00552337	0.000540831	-0.00139807	0.0005017	-3.66253e-05	0.000486822	-0.000463066	0.000346813	-0.00108633	0.00171995	0.000296992	0.00156254	-10.6196	4.70152	6412
0.000113685	0.00299013	0.000314578	25453	847.841	0.00536203	0.000595879	-0.00104251	0.000546675	-0.000259055	0.000521296	-5.95507e-05	0.000405242	-0.00170698	0.00215437	0.00207633	0.00172843	-7.46045	2.23279	6438
0.000114302	0.0036691	0.000602635	23601.2	814.209	0.0060792	0.000645847	-0.00061607	0.000660888	0.000140441	0.000547749	-0.000414183	0.000401338	0.000703168	0.00206631	-0.00362107	0.00167746	-14.9592	4.14588	6335
0.000114923	0.00276593	0.000155884	23443.6	793.571	0.00634059	0.00054777	-0.00174042	0.000538817	-0.000441608	0.000517941	0.000117968	0.000355541	0.00152066	0.00183698	-0.00462623	0.00182608	-11.2276	4.64299	6403
0.000115548	0.00276372	0.000177104	24441.3	829.004	0.00472522	0.000537841	-0.00171914	0.000565707	0.00100699	0.000502092	-0.000444049	0.000404311	0.000147673	0.00211205	-0.00256877	0.0018345	-15.8409	4.86043	6397
0.000116176	0.00342919	0.000616193	24606.7	835.054	0.00548374	0.000665649	-0.000971962	0.000565928	0.00041648	0.000564422	-0.000313914	0.000405302	-0.00221139	0.00187727	0.00422609	0.00175464	-9.76188	2.89838	6319
0.000116807	0.00272848	0.000202575	24763.4	849.485	0.00590159	0.000580375	-0.00183829	0.000541595	6.61144e-05	0.000472575	7.2222e-05	0.000287533	0.000406391	0.00178979	-0.000326798	0.00169892	-3.82955	2.19142	6360
0.000117441	0.00291226	0.000316637	25523.9	846.402	0.00615844	0.000590612	-0.000620561	0.000549189	-0.000280235	0.000509465	-0.000183173	0.000365425	-0.00359487	0.00199052	0.00172296	0.00169434	-13.9038	9.44672	6369
0.00011808	0.0030928	0.000324867	25132.5	832.477	0.0048371	0.000582027	-0.000353735	0.00056023	-0.000759927	0.000546928	-0.000741265	0.000422858	0.00359441	0.00208144	-0.000668039	0.0017486	-9.29411	3.18776	6484
0.000118721	0.00304686	0.00028434	25613.9	839.729	0.00513079	0.000602513	-0.000693323	0.000573976	-0.000706642	0.000506125	0.000441432	0.000357196	-0.0020066	0.0019378	0.000114374	0.00186435	-7.08398	2.5913	6405
0.000119366	0.00360607	0.000545713	23768	815.852	0.00689928	0.000643452	-0.00167411	0.000651735	0.000801254	0.000539626	-0.000113672	0.000323668	0.00226105	0.00198748	0.000307127	0.0015792	-12.0345	4.5965	6346
0.000120015	0.0030287	0.000247471	24107.2	828.366	0.00593417	0.000588246	-0.000868477	0.000600005	0.000228446	0.000503417	-0.000254401	0.000450027	0.00179888	0.00174236	-0.000331055	0.00171282	-13.6616	4.2806	6286
0.000120667	0.00321944	0.000430413	23466.7	811.335	0.00593279	0.000597763	-0.00178958	0.000580566	1.32312e-05	0.000558508	0.000117919	0.000360439	-0.000277635	0.00187315	-0.000929033	0.00152701	-7.12107	1.71548	6370
0.000121322	0.00314445	0.000425897	24098	822.579	0.00568096	0.000643358	-0.00161857	0.000559283	0.00117585	0.000499062	-8.35177e-05	0.00044373	-0.00321297	0.00171917	-0.000248851	0.00148171	-12.8681	3.75406	6418
0.000121981	0.00276262	0.000176852	25140.8	839.69	0.00572899	0.000577121	-0.00054723	0.00052287	-0.00045156	0.000510251	-0.000256678	0.00040999	0.000536521	0.00203125	9.553e-05	0.00182061	-10.8035	3.76368	6347
0.000122644	0.00292506	0.000182247	23951.1	824.648	0.00580727	0.000566202	-0.00171235	0.000555893	-0.000181695	0.000535086	0.000298402	0.00043981	0.00159477	0.00212062	-0.000667932	0.0018506	-8.69161	3.18431	6358
0.000123311	0.00414676	0.000825523	23489.2	814.264	0.00505991	0.000743229	-0.000837326	0.000692729	-0.000116394	0.000523355	-0.000901541	0.000517988	4.43934e-05	0.00188157	-0.0017654	0.00195151	-7.11131	2.03436	6337
0.000123981	0.00353376	0.00042183	24032.1	827.568	0.00561977	0.000649787	-0.00114842	0.00056348	-0.000804389	0.00061802	-0.000751515	0.000447688	-0.00274109	0.00229242	0.00296949	0.00161811	-10.9023	3.28405	6280
0.000124654	0.00358873	0.000538051	23358.2	817.273	0.00534615	0.000628982	-0.00190098	0.000656712	-0.00154399	0.000550267	-0.000258046	0.000303771	0.000849088	0.0017744	0.00140497	0.00163019	-10.569	4.78865	6332
0.000125331	0.00329144	0.000341124	24279.4	823.821	0.00569273	0.000655473	-0.00152971	0.000511122	8.94913e-05	0.000567874	0.000445677	0.000427946	-0.00303584	0.00198536	0.000912335	0.00166368	-10.147	2.41712	6472
0.000126012	0.00323337	0.000573426	23597.5	802.222	0.00590247	0.000645716	-0.00116659	0.000565174	-0.000211749	0.000511426	0.000350601	0.000415217	-0.00151163	0.00209581	3.09881e-05	0.00171534	-10.6553	2.59777	6454
0.000126697	0.00306495	0.000305309	24607.3	830.938	0.00510956	0.000606673	-0.00137897	0.000540561	-0.000320983	0.000541675	-9.24082e-05	0.000403274	-0.0003286	0.00202261	-0.000963184	0.00160928	-4.16645	2.07118	6409
0.000127385	0.00285433	0.000237381	24160	822.227	0.00595353	0.000570944	-0.000639902	0.000539382	0.000198622	0.000532426	0.000325593	0.000337236	0.000875555	0.00187735	0.00282399	0.00174889	-8.69645	2.8097	6312
0.000128078	0.00278746	0.000178114	24006.5	816.756	0.00614456	0.000586873	-0.00127627	0.000522066	-7.3841e-05	0.000501487	-3.49119e-05	0.000403924	0.00409615	0.00198528	0.00222541	0.00178845	-8.69705	3.38565	6386
0.000128773	0.00307536	0.000266669	25461.4	860.493	0.00582715	0.000588124	-0.00087079	0.000607505	0.000824125	0.000497889	0.000451775	0.000401392	0.000936242	0.00206599	0.00019647	0.00173922	-10.9267	3.74803	6362
0.000129473	0.00330828	0.000602757	23668.4	787.402	0.00626613	0.000627511	-0.00129613	0.00057593	0.00109816	0.000546345	0.000278502	0.000442292	0.000184654	0.00196777	-0.00131027	0.00170478	-13.5584	5.11579	6431
0.000130177	0.00271685	0.000210145	24396.9	813.699	0.00455438	0.000561172	-0.000875304	0.000523391	0.000167422	0.000506401	0.000550168	0.000373576	0.00267808	0.00184923	0.000123706	0.0016801	-4.1803	1.88311	6415
0.000130884	0.00279199	0.000200031	24357.5	833.116	0.00586681	0.000546299	-0.00147312	0.000550714	0.00093957	0.000514228	-0.000311907	0.000292872	0.00108277	0.00194085	0.00279761	0.00184177	-7.8059	3.06327	6416
0.000131595	0.0036626	0.000586167	23457.3	804.503	0.00441189	0.000649263	-0.00171526	0.000595126	-0.000261904	0.000610782	0.000534678	0.000496432	0.000653796	0.00207947	0.00214441	0.00181857	-7.06804	2.77914	6366
0.00013231	0.00303789	0.000193131	24220.5	821.924	0.00611483	0.0005761	-0.000949321	0.000570194	0.000318073	0.000541947	-9.81061e-05	0.000449764	-0.000103623	0.00199456	0.000801775	0.00163692	-10.7917	3.10131	6362
0.000133029	0.00274166	0.000148054	23724.5	823.475	0.00673751	0.000556962	-0.000938276	0.000554404	-5.60187e-05	0.000493344	0.000188111	0.000377893	-0.00125415	0.00180616	-0.000989454	0.00175435	-9.92007	3.12614	6328
0.000133752	0.00337638	0.000317989	24350.9	815.75	0.00723114	0.000615511	-0.00062278	0.000614469	-0.000353795	0.000529053	-0.000531539	0.000372147	0.000312611	0.00183575	-0.000624388	0.00166729	-13.9461	4.81217	6476
0.000134478	0.0031384	0.000302363	24512.2	831.738	0.00467333	0.000585962	-0.000559037	0.000596499	0.000270237	0.000534921	-0.000422821	0.000479696	-0.0028482	0.00208896	0.000166719	0.00175513	-11.3401	4.45975	6359
0.000135209	0.00281231	0.000279609	23523.7	818.928	0.00620154	0.000515831	-0.00159132	0.000566392	3.37732e-05	0.000544765	0.000139724	0.000362083	-0.00213803	0.00186548	0.00165621	0.00169506	-10.8772	3.69145	6331
0.000135944	0.00300758	0.00022883	24457.5	837.105	0.00546832	0.000593089	-0.00153073	0.000561572	-0.000228169	0.000530767	-7.75356e-05	0.000346115	0.00121565	0.00209448	0.00217513	0.00170464	-10.1395	3.38888	6317
0.000136682	0.00280583	0.000197613	24349.2	821.949	0.0052296	0.000586711	-0.0011852	0.00050433	-0.000172086	0.000535698	-0.000526105	0.000446065	-0.000413852	0.00183469	0.00248899	0.0015878	-5.02049	1.36653	6317
0.000137425	0.00252866	0.000158471	24437.7	824.156	0.00531184	0.000523594	-0.00155857	0.0005176	-0.000364094	0.000488086	-0.000334779	0.000355641	-8.65262e-05	0.00187906	0.00133229	0.00176286	-6.45706	2.06069	6456
0.000138171	0.00273805	0.000175823	24900.8	841.373	0.00668487	0.000574077	-0.000933227	0.000538962	-0.00109066	0.000492266	-0.000207931	0.000348735	0.00495787	0.0020578	0.00100894	0.0018401	-10.9171	4.92062	6309
0.000138922	0.00262178	0.000189867	23750.1	810.201	0.00525692	0.000543495	-0.00148242	0.000527724	0.000883181	0.00049764	5.53097e-05	0.000409541	-0.00211578	0.00180161	0.00215597	0.00165198	-7.73791	2.05	6359
