# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 1.6681e+09
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000790569	0.08672	0.00232815	1.35682e+07	929428	0.000955383	0.00255301	-0.00154769	0.00246056	-0.0017775	0.00220771	0.00283046	0.00258652	-0.00523578	0.0075161	0.10872	0.00454482	2.2419	3.72414	9949
0.000794865	0.0844632	0.00231088	1.37023e+07	910508	-0.00057251	0.00252965	-0.00230352	0.00240043	-0.00049882	0.00220018	0.00166078	0.00260534	0.0119278	0.00732001	0.107556	0.00454626	1.67769	1.77822	9944
0.000799183	0.0863182	0.00239987	1.49956e+07	974623	-0.000318269	0.00250776	-0.00162517	0.00252977	0.000495683	0.00216423	0.000749682	0.00265218	-0.00692242	0.00769899	0.0972678	0.00467083	-6.09137	3.35048	9945
0.000803526	0.0882871	0.00249887	1.45755e+07	977551	0.0051228	0.002555	0.00112671	0.0025526	-0.00209317	0.00217471	-0.00185744	0.00254715	0.00553973	0.00758963	0.0999485	0.00458566	-1.0971	1.24626	9941
0.000807891	0.0881879	0.00234255	1.37996e+07	936818	-0.00239594	0.00258357	-0.00236071	0.00252384	-0.00078901	0.00216594	0.00110262	0.00255766	7.87449e-05	0.00737719	0.0994639	0.00457769	1.22771	1.75872	9952
0.000812281	0.0861989	0.00227287	1.54566e+07	980597	-0.00128344	0.00249832	-0.00209614	0.00251362	0.000507285	0.00219007	-0.0042363	0.00263393	-0.0123138	0.00774876	0.0999899	0.0046072	-1.45128	1.1691	9941
0.000816694	0.0899285	0.00247465	1.40093e+07	949229	-0.000915101	0.00260033	-0.00440297	0.00252776	-0.000316621	0.00222779	1.63347e-05	0.00260744	-0.000307238	0.00739905	0.105406	0.00454428	11.2429	9.2929	9936
0.000821131	0.0846568	0.00227447	1.5763e+07	987219	-0.00390715	0.00247735	-0.0016212	0.00249506	0.00162026	0.00216056	-0.00473806	0.00251427	-0.00329456	0.00746823	0.11033	0.00460217	-23.3222	21.2279	9949
0.000825593	0.0868822	0.00229664	1.40871e+07	949653	0.00206078	0.00259059	0.000317474	0.00250193	0.000920441	0.00212503	-0.00136065	0.00261038	0.00576675	0.00766759	0.0985337	0.00456737	0.358777	4.06442	9945
0.000830078	0.0857327	0.00241568	1.42582e+07	957994	-0.000932785	0.0025488	-0.00170393	0.00247992	-0.000998115	0.00214394	0.000752627	0.00250636	0.0100167	0.00728359	0.0979518	0.00455191	-2.34471	3.31721	9952
0.000834588	0.0849658	0.00220758	1.29824e+07	892935	-0.000697444	0.00252033	0.00459133	0.00247493	-0.00156919	0.00214985	-0.00187163	0.00263741	0.00390104	0.00755097	0.0953334	0.00459742	-3.39037	1.60841	9945
0.000839123	0.0859942	0.00232051	1.27308e+07	842951	-0.00367431	0.00253226	-0.00110267	0.00247185	-0.00312819	0.00218522	0.000212506	0.00256363	-0.00131229	0.00749887	0.100783	0.00451308	-2.05031	0.798606	9950
0.000843682	0.0856675	0.0023075	1.36377e+07	876569	0.00390586	0.00257008	0.00280265	0.00239989	-0.000883999	0.00221323	-0.00116024	0.00257758	-0.00385134	0.0075101	0.096126	0.00466953	-2.19853	1.24333	9932
0.000848266	0.0879175	0.0023745	1.4037e+07	962626	-0.00327574	0.00261786	0.00155904	0.00245358	-0.000527922	0.00219482	-0.00214891	0.00257798	0.00175057	0.00747678	0.10564	0.00464138	-3.28896	3.14022	9947
0.000852875	0.0842555	0.00234609	1.45882e+07	981745	0.0033194	0.00247099	-0.00177287	0.00246508	0.00319158	0.00218575	-0.00965721	0.00251379	0.00329115	0.00751081	0.10099	0.00458269	0.800306	2.44302	9943
0.000857509	0.08345	0.00227563	1.44826e+07	953917	0.00556118	0.00250777	-0.00275196	0.00243951	0.00247464	0.00213672	0.000887188	0.00258077	0.00919298	0.00747407	0.099242	0.00455565	8.56784	9.93268	9937
0.000862168	0.083082	0.00224273	1.33284e+07	911512	-0.00274355	0.00250394	-0.00222306	0.00241348	0.0024	0.00215108	0.00213414	0.00250913	-0.00859604	0.00763334	0.0930004	0.00444391	-4.11446	3.00192	9945
0.000866852	0.0879464	0.00240759	1.39585e+07	892068	-0.0010282	0.0025869	0.00191476	0.0024763	-0.000495725	0.00220906	-0.00530441	0.0025295	-0.000863335	0.00746704	0.104737	0.00474249	-1.3692	1.80491	9943
0.000871562	0.0850478	0.00226895	1.29826e+07	905752	0.000952991	0.00255195	0.000953617	0.00246279	-0.00130054	0.00213762	0.00136236	0.00255154	0.00666594	0.00741814	0.102968	0.00452642	-2.7665	3.04219	9929
0.000876297	0.0874209	0.00233351	1.33532e+07	918099	0.000629214	0.00255666	0.00469321	0.00247056	0.00169953	0.0022257	-0.0030341	0.00250851	-0.000249446	0.007681	0.107589	0.004571	-5.10841	2.59855	9945
0.000881058	0.0863901	0.00229531	1.39546e+07	930712	0.00215078	0.00250872	-0.00114854	0.00248786	1.26824e-05	0.00221313	0.00271113	0.00258195	0.00882946	0.00756891	0.103225	0.00462878	-1.82803	1.89881	9949
0.000885845	0.0865994	0.00231257	1.36253e+07	933963	-0.000702791	0.00256023	0.000219084	0.00246415	-0.00129423	0.00219183	-0.00340187	0.00262584	-0.00586738	0.00756567	0.105654	0.00456075	-4.62517	2.84051	9945
0.000890658	0.0834665	0.00220681	1.44087e+07	958590	0.00273149	0.00243242	-0.00496262	0.00248302	-0.000855732	0.00216973	-0.00132495	0.00263154	0.0030245	0.00753304	0.103529	0.00456933	2.23031	3.44311	9950
0.000895498	0.0906308	0.00243455	1.2809e+07	852228	0.00273617	0.00258815	0.00209679	0.0025441	0.000984351	0.0022553	-0.00253698	0.00266167	0.00355411	0.00730005	0.0998357	0.00459732	-1.09892	1.18228	9936
0.000900363	0.088217	0.00253317	1.44387e+07	984976	0.00406938	0.00257865	-0.000985293	0.00252815	-0.000193887	0.00216671	-0.00202863	0.00254218	0.00160457	0.00726298	0.0973287	0.00452555	1.99954	2.49004	9956
0.000905255	0.0854251	0.00234911	1.32746e+07	946414	-0.00295266	0.00253101	-0.00281366	0.00242827	0.000888304	0.00221823	-0.000146347	0.00259895	0.0124902	0.00735191	0.103749	0.00458952	1.82106	3.94836	9928
0.000910173	0.0858225	0.00237806	1.38025e+07	862776	-0.000593555	0.00257615	-0.00306925	0.00243622	0.00192115	0.00216696	-0.00305189	0.00264068	-0.00853876	0.00771225	0.0964588	0.00461566	-2.99152	4.28926	9949
0.000915119	0.0810535	0.00217651	1.19265e+07	847786	-0.00115688	0.00243483	0.00237285	0.00243622	0.000188224	0.00211206	-0.00398788	0.00253446	0.00817681	0.00727356	0.106374	0.00448843	-1.26222	1.20519	9940
0.000920091	0.0851312	0.00246072	1.41213e+07	940971	-0.000375041	0.00253028	-0.000500582	0.00248393	-0.00078417	0.00213947	-0.00373341	0.00251281	-0.0119436	0.00733447	0.0991962	0.00446423	2.42904	2.12393	9937
0.00092509	0.0871706	0.00236902	1.22356e+07	853008	-0.00154372	0.00257052	0.00449887	0.00249825	0.00141729	0.00216903	-0.000662711	0.0025944	0.000879066	0.00731785	0.103632	0.00466203	-3.56686	3.00505	9940
0.000930116	0.085404	0.00250065	1.39684e+07	923235	-0.000152301	0.00253891	0.00200377	0.00244444	0.00329394	0.00218925	0.00204933	0.00257668	-0.00359597	0.00742161	0.110534	0.00459486	-1.7715	1.31331	9931
0.00093517	0.0886283	0.00245778	1.41253e+07	977005	-0.00124711	0.00256339	0.00749894	0.00252093	-0.000771363	0.00221383	-0.00433164	0.00264925	0.00218934	0.00758568	0.104511	0.00460847	-0.368839	0.983904	9949
0.000940251	0.0901235	0.00240915	1.32707e+07	921100	-0.0016771	0.00257534	-0.000378148	0.00257472	0.000283459	0.00220887	0.0020298	0.0025006	-0.0145431	0.00742135	0.104348	0.00455523	-6.14376	3.7066	9945
0.000945359	0.0884631	0.00229298	1.34254e+07	892058	-0.000786088	0.00258847	-0.00143391	0.00250732	0.00183126	0.00219713	0.000721377	0.00258717	0.00439095	0.00764427	0.108195	0.00462222	3.16481	6.8536	9941
0.000950495	0.0850732	0.00229424	1.36156e+07	917926	0.00178541	0.00252361	0.000116949	0.00248104	-0.000393913	0.00214579	0.00494455	0.00270334	-0.0095011	0.00778274	0.101981	0.00464266	-1.68223	1.07732	9943
0.00095566	0.0839999	0.00223694	1.39502e+07	949210	-0.00542663	0.00249594	0.00196688	0.00243603	-0.00216588	0.0021788	0.000777809	0.00254853	0.00932528	0.00772265	0.102584	0.00449784	-1.5325	0.739684	9942
0.000960852	0.0809243	0.0020856	1.46323e+07	1.00366e+06	-0.000843341	0.00246275	0.00161247	0.00235611	-0.0022785	0.00215854	-0.000791079	0.00252945	0.000247938	0.00755585	0.110387	0.00463041	-0.438312	3.15633	9954
0.000966073	0.0915947	0.0025097	1.32564e+07	921944	-0.0053571	0.0026202	-0.00040178	0.0025853	-0.000196408	0.00221078	-0.00394183	0.00259836	0.00872873	0.00750622	0.104918	0.00480646	-4.45864	2.62441	9943
