# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 151991
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000790569	0.108929	0.0040674	5867.68	215.226	-0.00386195	0.00328966	0.000908439	0.00282937	0.00256096	0.00277086	0.00285709	0.00167911	0.00216126	0.0077145	0.0958022	0.00687681	-0.845075	0.121438	8224
0.000794865	0.101668	0.00348068	5648.64	209.829	-0.00435732	0.00311028	0.0017001	0.00281838	0.000937859	0.0026751	-0.000776772	0.00165854	-0.00138156	0.00807525	0.0894986	0.00681008	-0.61471	0.073072	8213
0.000799183	0.107402	0.00384303	5818	216.18	0.000693902	0.00320717	-0.00112123	0.00296734	0.00130676	0.00270694	-0.00132264	0.00158191	0.000677162	0.00778629	0.0939384	0.00672342	-0.665973	0.0586074	8136
0.000803526	0.103265	0.00373059	5931.99	216.799	0.00120056	0.00312113	0.000313538	0.00283977	-0.00251903	0.00271713	0.000333162	0.00164358	0.0142044	0.00781671	0.0833585	0.00666716	-0.734448	0.0641505	8205
0.000807891	0.109809	0.0039159	5618.23	208.022	-0.0014691	0.0033096	-0.00790893	0.0028689	-0.00381615	0.00276169	-0.000161746	0.0016331	-0.0068646	0.00770883	0.0897346	0.00666101	-0.742648	0.0635082	8194
0.000812281	0.112211	0.00483858	6096.93	223.166	-0.00490332	0.00332282	0.0024849	0.00303784	-0.00203599	0.00272848	0.00236986	0.00161576	-0.012302	0.00767118	0.0853412	0.00675784	-0.66838	0.0694407	8102
0.000816694	0.0992945	0.00349115	5735.29	210.584	-0.00392641	0.00306283	-0.00173752	0.00286119	-0.00604027	0.00259241	-0.000388606	0.00160884	0.00449029	0.00772549	0.096506	0.0069128	-0.770382	0.0806985	8180
0.000821131	0.10284	0.0042118	6105.87	225.382	0.00464236	0.00318512	0.00267923	0.00283819	2.13156e-05	0.00262807	0.00265017	0.00164225	0.00116514	0.0077285	0.0952128	0.0067577	-0.712866	0.0726595	8197
0.000825593	0.10291	0.00377055	5823.41	216.352	-0.00144802	0.00317579	-0.00481135	0.00285303	0.00154764	0.00262202	-0.000191599	0.00161127	-0.00465807	0.00768908	0.0992158	0.00680243	-0.677065	0.0673265	8205
0.000830078	0.102815	0.00356292	6144.41	220.593	-0.00502744	0.00329276	0.000656312	0.00270877	7.91806e-05	0.00262727	-0.00200964	0.00160063	0.0010548	0.00784821	0.0956029	0.00674764	-0.602301	0.0726226	8203
