# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 28480.4
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000790569	0.114917	0.00430914	1582.12	45.3378	-0.00372423	0.00348386	0.000848681	0.00299493	0.0027794	0.0029305	0.00297654	0.00176804	0.00542457	0.00754907	0.0913372	0.00684004	-0.680368	0.055475	7744
0.000794865	0.107452	0.00368658	1474.22	43.3829	-0.00421801	0.0032958	0.00173261	0.00298576	0.00119542	0.00283445	-0.000963026	0.00175108	-0.00228428	0.00781535	0.07936	0.00671394	-0.564706	0.0493541	7732
0.000799183	0.113636	0.00407253	1562.4	46.0502	0.000684423	0.00340149	-0.00142149	0.00314604	0.00126676	0.0028692	-0.00128096	0.00166641	0.00158531	0.00762219	0.0908838	0.00671362	-0.659199	0.0493312	7657
0.000803526	0.109186	0.00396216	1544.95	44.604	0.00150481	0.00331371	0.000375586	0.0030141	-0.00274595	0.00288137	0.000137947	0.00172918	0.0099771	0.00760034	0.0807515	0.00654167	-0.692456	0.0554834	7703
0.000807891	0.116187	0.0041542	1446.87	42.793	-0.00161022	0.00351171	-0.00845617	0.00304528	-0.00409022	0.0029273	-0.000277258	0.00172079	-0.000848838	0.00751844	0.0892784	0.00670981	-0.718358	0.0501987	7703
0.000812281	0.119137	0.0051583	1466.23	43.4209	-0.00508437	0.00353879	0.00301633	0.0032347	-0.00207098	0.00290644	0.00288952	0.00171373	-0.0145511	0.00752285	0.0802431	0.00677201	-0.611827	0.0611943	7584
0.000816694	0.104927	0.00370212	1522.07	44.6816	-0.00400747	0.00324888	-0.00173149	0.00303213	-0.00630036	0.00274668	-0.000464646	0.00168222	0.00253103	0.00760849	0.0922943	0.00692291	-0.68548	0.0573605	7692
0.000821131	0.108872	0.00448238	1466.17	43.0726	0.00500353	0.00338433	0.00273584	0.00301831	-0.000363617	0.00279162	0.0022369	0.00172238	0.00535226	0.00766366	0.0928192	0.00679064	-0.660871	0.0532006	7683
0.000825593	0.108659	0.00399629	1508	44.3412	-0.00177775	0.00336238	-0.00490859	0.0030243	0.00177553	0.00277687	-0.000391779	0.00169276	-0.00429888	0.00748249	0.0969224	0.00677828	-0.627788	0.0546629	7721
0.000830078	0.108703	0.00377829	1550.76	45.8046	-0.00515584	0.00351121	0.00101222	0.00288085	0.000376395	0.0027802	-0.00180527	0.00167486	-0.00350393	0.00765334	0.0904546	0.00671137	-0.621688	0.0526349	7671
0.000834588	0.112825	0.00439816	1529.09	44.315	0.00231845	0.00333693	0.00345484	0.00307135	-0.00230677	0.00291371	-0.000367734	0.00173513	0.00680831	0.00748246	0.0936757	0.00669624	-0.674157	0.0468901	7770
0.000839123	0.113332	0.00471686	1500.56	44.4961	-0.00134507	0.0034002	-0.00291093	0.00310534	-0.00160646	0.00286442	-0.00282525	0.00172343	0.00758657	0.00765427	0.098117	0.00678716	-0.613297	0.0508284	7712
0.000843682	0.112549	0.00456656	1573.11	45.8274	-0.00482508	0.00339575	0.00187899	0.00310242	-0.00418402	0.00285807	0.00122467	0.001733	0.00174365	0.00765222	0.0894577	0.0066882	-0.687514	0.0582314	7680
0.000848266	0.115454	0.00458767	1519.94	44.0967	-0.000621711	0.00347572	0.00138714	0.00308074	0.000669167	0.00289641	-0.00159542	0.00177868	-0.00245059	0.00769052	0.094894	0.00690627	-0.852217	0.0567334	7712
0.000852875	0.113792	0.00412785	1422.42	42.6534	-0.00233984	0.00344387	0.0015704	0.00304133	0.00129252	0.00291146	-0.000805435	0.00176971	-0.00795186	0.0072761	0.0849485	0.00646273	-0.685783	0.0490487	7697
0.000857509	0.116258	0.00492309	1464.1	42.4215	-0.00142983	0.00345386	-0.000481327	0.0030756	0.000531383	0.00292603	0.00105356	0.00171213	-0.00185573	0.0074458	0.0900496	0.006832	-0.64083	0.0497829	7769
0.000862168	0.104393	0.00384894	1481.46	43.4337	-0.00635917	0.00330998	-9.08895e-05	0.00290483	0.00328454	0.00277883	0.00207877	0.00171831	-0.00718396	0.00744718	0.0891066	0.00659996	-0.622656	0.0516382	7704
0.000866852	0.107294	0.00343808	1459.43	42.4827	-0.000658604	0.00333998	0.000336753	0.00299919	0.000553306	0.00273357	-0.00103045	0.00174578	0.0106278	0.00757544	0.0967859	0.00666492	-0.612557	0.0497121	7774
0.000871562	0.113527	0.00479316	1531.48	44.7079	-0.00235853	0.00344088	0.00392366	0.0031299	-0.00355106	0.00279833	-0.00128305	0.0017596	0.0044628	0.00758866	0.087573	0.00672509	-0.580925	0.0465687	7710
