Tcut H sH K sK Px sPx Py sPy Q sQ
1000 17.966601004735175 0.027490099134000603 0.04704215196841991 0.0016447232524494952 -0.00399425046365859 0.002864761217693023 0.004086351472526087 0.002805984458439876 -0.9012888710443047 0.004089352252258129
1204 18.016621492014846 0.02739121773198505 0.04872799515129852 0.0016490594510500415 -0.003876679271551804 0.002847667909764635 0.003961403754996653 0.002789397823228026 -0.923340808468385 0.004167315043384759
1450 18.040921391963565 0.027274975609017465 0.050972506868746846 0.0016543434739397596 -0.003848172199124213 0.0028339539205239177 0.003656287719249973 0.002775982757973828 -0.94164291893397 0.00423809679267625
1747 18.05357215705498 0.027167366661744373 0.05331253587108537 0.0016597526966229787 -0.00394315834185145 0.0028221795552847485 0.003659048606242115 0.00276464079436057 -0.9584899972335684 0.004305982705811967
2104 18.051225885394143 0.027057549030302292 0.05612466487888386 0.0016661046331705985 -0.0037192719667279374 0.0028125280151162627 0.003669350552720791 0.0027549161689052653 -0.9719986948553377 0.004371537308555807
2535 18.03690884168598 0.02694100300106354 0.058552118708819975 0.0016729756358744485 -0.003863767791629657 0.0028046607304311744 0.003881026028447065 0.0027465727432341323 -0.9849221988763772 0.0044422959841027105
3053 18.015409708094243 0.02682635460217708 0.06098239805312658 0.0016797184825619795 -0.00397139307625267 0.002797899259736493 0.0038785964038078307 0.002739928746462762 -0.9961900765455978 0.004506537210986966
3678 17.983674353027578 0.02671166771198466 0.06367032661629628 0.0016871737486932178 -0.0036175009578681637 0.002792484523830977 0.0038484905352212024 0.0027343585717177848 -1.0072649450283944 0.004584482829251555
4430 17.947462745169492 0.026598882699624436 0.06632251960482678 0.0016946288859913568 -0.0036010680581229576 0.0027878395341996687 0.003819871217742491 0.0027296960379709196 -1.0173152936252836 0.004658982403307235
5336 17.907026500905804 0.02648767093747523 0.0690909603092389 0.0017018397131189635 -0.0037371536715873426 0.0027838362350920977 0.003571247057633221 0.002725853735059795 -1.0269393307419512 0.004733046903018371
6428 17.860749945435977 0.026375193872928745 0.07163345240744376 0.001709397084425498 -0.003809210928355233 0.002780968306481269 0.0034412399443554606 0.002722916166556919 -1.0382187372929381 0.004825407528554542
7742 17.81382937629161 0.026268117270613123 0.07421064952624751 0.0017172703113286852 -0.0035289689972956826 0.002778456621339088 0.0035587783193038545 0.002720508481903848 -1.0477128699211677 0.004920670422417588
9326 17.763072189190787 0.026159036818802335 0.07654057812224287 0.0017248334839882746 -0.0036681755171760065 0.002776504311361645 0.0035609006770427084 0.0027186201523720205 -1.0574527570596883 0.005026097312259664
11233 17.711721888038426 0.026057489887122275 0.07899981404883916 0.0017325192918514524 -0.003590088392299868 0.002775125722057167 0.003536522293074861 0.00271700378092173 -1.0661786252982817 0.005131015044820432
13530 17.659490185049386 0.025961635647223206 0.08135034521148148 0.00173996352039824 -0.0037713017792821496 0.0027739525800585976 0.0034387771395693917 0.002716048565975674 -1.074540120951802 0.005242395321732859
16297 17.609842486927096 0.025872720294609075 0.08364154387492095 0.0017472048740154414 -0.0038186164575430286 0.002772994554842549 0.0033688238095645274 0.002715110200692469 -1.0823214306656581 0.005362586555197454
19630 17.55774758205554 0.025785583326263704 0.08568319089543133 0.001754089964262124 -0.003894448398822528 0.0027726316546358336 0.003478648122682599 0.0027147689612353905 -1.0906746054618845 0.005490946493326549
23644 17.507604920195035 0.025702509039986866 0.08780173054300798 0.001761119808536651 -0.003839726018218183 0.0027725600906837846 0.0035628760641161876 0.0027145953226599836 -1.0979024132508133 0.005636481491434879
28480 17.458060576054272 0.025625989710388687 0.08937319344230897 0.0017674235883390701 -0.0038343076294025196 0.0027726340006702507 0.00349522749083245 0.0027148485426781053 -1.1038555947132012 0.005762871483036735
34304 17.409309408653726 0.025550867743916756 0.09122271681166522 0.0017739133643394143 -0.003714999108043352 0.0027730907062610945 0.0036506807763236546 0.0027153263408283028 -1.1088229302595687 0.005934409477236156
41320 17.361587113750776 0.025479332665480556 0.09267525354925146 0.001779817291209641 -0.003739666480431461 0.002773806684463326 0.003544999472274573 0.0027160138338133306 -1.115290176594807 0.006078652138693526
49770 17.315958064284114 0.025412593687969484 0.09399410112990597 0.0017853529541775933 -0.003632959621620491 0.002774538035694852 0.0036180535710224615 0.0027167655222388527 -1.1186565608660926 0.006248352882783455
59948 17.27269569929049 0.025350687523617695 0.09531466149430018 0.00179067678264401 -0.003654720332791017 0.0027753490087800807 0.003606583017342027 0.002717649460111281 -1.1211909399983166 0.006425505566196955
72208 17.231041200303547 0.02529267119013902 0.09638191342466088 0.0017957477657727081 -0.0036923423016555932 0.00277633577898187 0.0035474216959371766 0.002718612099182205 -1.1281396836904745 0.0068309947345935405
86974 17.191361058868658 0.025239376092259708 0.09745085158251122 0.001800704054084608 -0.0036199970926445407 0.0027774602689879654 0.003526560270561782 0.0027196958569888677 -1.1340258294053662 0.007173263391162566
104761 17.153297693437615 0.025189750947348478 0.09844572075630185 0.0018056379247384006 -0.0035099857744083926 0.002778672950573752 0.0035043820880311586 0.002720895785720915 -1.1386480047294414 0.007336529177674766
126185 17.118100941458863 0.02514637346130262 0.0992021019945396 0.0018098609030431682 -0.003493132720437115 0.002779851110562105 0.0036125645802445277 0.002722117681649935 -1.1444496468080028 0.007574530201836934
151991 17.083472477184994 0.025104103974012523 0.10005794071713216 0.0018140796859810822 -0.0035099362723953827 0.0027811738865930395 0.0036608469179870407 0.002723469977537046 -1.1493661252925393 0.007834174484034314
183073 17.052305811410196 0.025068803690120867 0.10063012696178235 0.0018177605749088064 -0.0035270655686911027 0.0027824856186698488 0.0037475005194405188 0.0027247456129329377 -1.1518458954789803 0.008099654308058347
220513 17.02294411041629 0.025034542805445505 0.10124555616222689 0.0018211926370583515 -0.003663765280229577 0.002783737243352424 0.003785102743763919 0.0027260222635269405 -1.1545891701811193 0.00839272196361733
265608 16.995202030289832 0.02500369758137795 0.10171703467705791 0.001824313907372473 -0.0036374444463216954 0.002785082241859939 0.003830457563974257 0.0027273650039343618 -1.159316088266402 0.008661381661675857
319926 16.969229773676645 0.024976262190078893 0.10213409562508355 0.0018273775286731795 -0.003668032699973609 0.002786473614718373 0.003788542782690518 0.0027287886783854388 -1.1624379574772576 0.008936037014635325
385352 16.945467824831347 0.024950566065572596 0.10264742629600701 0.001830214200393731 -0.00364774200413831 0.0027878045208986233 0.0037770689253398965 0.002730091695602068 -1.1668084594890944 0.009279464419650345
464158 16.922857375075804 0.024928288428948266 0.10289543429477781 0.001832646350072512 -0.0036649296907663256 0.002789138468416102 0.0038106356356158054 0.0027314682188659583 -1.1718686511359588 0.009546295513727984
559081 16.902348984969723 0.02490742658934119 0.10325949566479312 0.0018349749509591667 -0.003730402626163146 0.002790412768776223 0.003822630221401363 0.002732714785897831 -1.1737282188545062 0.009985414113586524
673415 16.884169456020256 0.024890916285256644 0.10359161141132513 0.0018371710091239254 -0.0038370341096224383 0.0027916003506309613 0.003809290946899344 0.0027339274114557797 -1.1750346433329746 0.010164537471240345
811130 16.866579137160677 0.024874590888761778 0.10393471678770311 0.0018392706923754068 -0.0038408274865195176 0.0027928317792168447 0.0038191330699296647 0.0027351368443118244 -1.1757893943900097 0.010755907450419384
977009 16.850264675312282 0.024859398676952967 0.10408314871281606 0.0018411251969363653 -0.003874414628653702 0.0027939877077514845 0.0038040968977854452 0.00273628640361779 -1.175435411595275 0.010957310838970225
1176811 16.83543967525324 0.02484629664013071 0.10425677396265376 0.0018429817548002423 -0.0038642983998969154 0.0027951081838496804 0.0037962974126107083 0.0027373925565869184 -1.1777139218065278 0.011285994266558077
1417474 16.822029688913155 0.024834876323790625 0.10454540358788791 0.0018446693490355658 -0.0038880938385507857 0.0027961885900101807 0.0038023175428220602 0.0027384515067682288 -1.183877585002265 0.011748953976119608
1707352 16.809705895074504 0.024824796577423713 0.10468155143477528 0.0018461115473850515 -0.0038902898937714318 0.002797153865564722 0.0038185043583557985 0.002739466316186569 -1.1820410527607947 0.011961039999231001
2056512 16.798504938424152 0.02481603614399714 0.10476521600915185 0.0018473159878431395 -0.0038742268972588837 0.0027981095376967795 0.0038316334466941206 0.0027403926614616566 -1.1873422974180718 0.012189260569083954
2477076 16.788320229088878 0.024808221500674056 0.10488969892641353 0.001848460149992316 -0.0038666061333995586 0.0027990072292210476 0.0038339770957729075 0.0027412847939484006 -1.186659386078425 0.012740348491870076
2983647 16.779058576350135 0.024801492884322165 0.10488264981929143 0.0018494857782956726 -0.0038923471600465845 0.0027998469841993825 0.0038345150568038096 0.0027420640454493515 -1.184827741429529 0.012947150200807285
3593813 16.77059339747078 0.024795258448192786 0.10490927499587216 0.0018503866194725218 -0.0038878657285150273 0.0028006287030655887 0.003855906813785796 0.0027428291964195256 -1.1879185949821827 0.013342080419771946
4328761 16.76285001912119 0.024789498672748496 0.10500762748201077 0.0018513057750265728 -0.003896663616796622 0.002801323164527961 0.0038690582464662522 0.0027435430157753925 -1.186524409615532 0.013895946852915089
5214008 16.756030583835884 0.024784659483782986 0.10502498091521374 0.0018520349331180535 -0.003910149316375732 0.002801976589303184 0.0038613242240053175 0.0027441714865943756 -1.1871451173439547 0.014093089526513175
6280291 16.749846862334227 0.024780591663857335 0.10513326841151072 0.0018527700502870984 -0.003916440419249688 0.0028026028237125686 0.003838253065982954 0.0027447910423795915 -1.1874934756109654 0.014607004810936443
7564633 16.744124943226677 0.02477669442712501 0.10516341058032247 0.0018534092759486397 -0.003927702271581113 0.0028031777540238664 0.0038350065738482226 0.0027453481474100628 -1.184804428092341 0.01581684420656378
9111627 16.739191687794253 0.024773522360646727 0.10518422241058226 0.0018539583128076337 -0.003914408452366054 0.0028036912718094674 0.0038185393392533755 0.0027458410415641442 -1.1857967883898008 0.015936970045746988
10974987 16.734424669411673 0.024770625480886 0.10525799257131024 0.001854518993607318 -0.003914791711230141 0.002804192836984159 0.003805103477056282 0.0027463404501251276 -1.1819247387281466 0.016106868851720215
13219411 16.730196020593482 0.024767992565850504 0.1053220641179861 0.001855022939970783 -0.0039237874395770455 0.0028046378716176526 0.003801695406383949 0.0027467658708952842 -1.1821517744134407 0.016201606801645924
15922827 16.726312989327255 0.024765546885332997 0.1053165347475216 0.0018554395825810094 -0.003906847195475007 0.002805044465483987 0.003796290839808664 0.002747153016517129 -1.1819697434467138 0.016327233513007976
19179102 16.72296165966835 0.024763788506730642 0.10534258022494189 0.0018558193540144875 -0.003919026445670624 0.002805412664600635 0.0037827436027069727 0.0027475068342676747 -1.1841276972291899 0.016469422618473478
23101297 16.719656425223718 0.02476181009599826 0.10534942468617342 0.0018561745869670647 -0.003922612279426776 0.0028057659578068117 0.003795598652819772 0.0027478529960503453 -1.1830628080809489 0.01657916401460327
27825594 16.71684973800859 0.02476025816564854 0.10537209659743237 0.0018564759572236942 -0.0039180457222365225 0.0028060796233865463 0.003784541777928319 0.00274816604500944 -1.183519881071027 0.01663624763158518
33516026 16.714392260146273 0.024758914766706098 0.10537207807847286 0.0018567188494284662 -0.003925845271408902 0.002806349123310496 0.0037920797117218094 0.0027484353407909844 -1.1806774771514965 0.01685539259652281
40370172 16.71223755488425 0.024757809212809335 0.1053800460033403 0.0018569671969760428 -0.003920683477805353 0.0028065891013005985 0.003791090059662157 0.002748678026733283 -1.184120561206819 0.017140469741611
48626015 16.710256229886994 0.02475672877293799 0.10536303950235787 0.0018571421146000005 -0.0039107591628919965 0.002806809715709554 0.0037823192015655482 0.0027488989895400667 -1.1820258627878217 0.017234957790285912
58570208 16.7084968477834 0.024755844675039836 0.105372349197617 0.0018573131409595038 -0.00390434196365311 0.0028070163137256477 0.0037908765856003645 0.002749100062157145 -1.1787899766164496 0.017363498265703416
