# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 4430.62
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
7.05695e-05	0.000624281	2.22947e-05	357.924	0.692965	0.00251551	0.000305907	0.00152035	0.00028855	6.10323e-05	0.000259943	2.48871e-05	1.53561e-05	-4.03239e-05	2.98114e-05	0.000774321	3.13111e-05	-0.248814	0.0337261	5086
7.0953e-05	0.000646697	3.41818e-05	359.286	0.954314	0.00226709	0.000314633	0.00113272	0.000290698	0.000244444	0.000278064	-4.40022e-05	1.69628e-05	-6.32843e-05	2.68499e-05	0.000737028	3.54647e-05	-0.235421	0.0392554	4946
7.13385e-05	0.000682385	5.42837e-05	359.511	1.03194	0.00192293	0.000334725	0.00103131	0.000304756	-0.000272462	0.000265929	-4.2691e-05	2.35549e-05	-3.54209e-06	3.37118e-05	0.000740087	3.98304e-05	-0.142689	0.0467864	4945
7.17261e-05	0.00064051	3.14609e-05	359.711	1.04558	0.00219589	0.000316376	0.000914415	0.000293979	0.000309294	0.000259866	1.95684e-05	4.2884e-05	-4.71787e-05	4.01954e-05	0.000752597	4.75501e-05	-0.281032	0.0457444	5032
7.21158e-05	0.000618758	2.75604e-05	357.972	0.32802	0.00217209	0.00030977	0.00117875	0.00028872	-0.000219709	0.000257779	-3.60401e-06	1.81468e-05	-1.33818e-05	3.25626e-05	0.000733293	3.43898e-05	-0.22297	0.0367895	5023
7.25076e-05	0.000608594	2.42907e-05	358.293	0.686436	0.00184177	0.000298809	0.00134127	0.000296028	-7.80577e-05	0.000258256	-2.26979e-06	1.68047e-05	2.20894e-05	4.03601e-05	0.000781258	3.78154e-05	-0.242016	0.0346505	4988
7.29015e-05	0.000644898	3.01898e-05	358.834	0.838753	0.00207585	0.000308469	0.000978253	0.000302755	0.000404539	0.000266963	-3.86128e-05	2.58117e-05	-3.36711e-05	5.12398e-05	0.000812966	5.00565e-05	-0.198261	0.0418498	4989
7.32976e-05	0.000591411	2.27229e-05	358.94	0.828248	0.00212365	0.000298958	0.00111991	0.000281295	0.000135835	0.000264422	-1.02098e-05	1.8178e-05	-5.46279e-05	3.3567e-05	0.000734256	3.28733e-05	-0.232903	0.0299994	4950
7.36959e-05	0.000656321	4.28003e-05	360.511	1.29754	0.00213324	0.000318192	0.00135503	0.000298007	0.000224023	0.000265086	-2.15939e-05	3.25902e-05	-2.67065e-05	4.20688e-05	0.000823861	5.21527e-05	-0.307665	0.0679959	5030
7.40963e-05	0.000654575	3.43719e-05	359.648	1.15129	0.00199187	0.000311468	0.00133202	0.000298248	-4.24919e-05	0.000267603	-1.95159e-05	1.5355e-05	-8.86352e-07	3.19482e-05	0.000784209	3.52432e-05	-0.234917	0.0411736	5073
7.44989e-05	0.000590723	2.63128e-05	357.953	0.217523	0.00230705	0.000297048	0.000933412	0.000284767	-0.000366451	0.000254613	-1.24382e-05	2.00179e-05	2.49493e-06	3.91991e-05	0.000701703	3.44733e-05	-0.239456	0.0420859	5032
7.49036e-05	0.00059025	2.58473e-05	359.52	0.8798	0.00161409	0.000293662	0.000929955	0.000281361	-0.000348047	0.000261904	-3.00558e-05	2.21427e-05	7.63582e-05	4.00165e-05	0.000726586	4.55128e-05	-0.152139	0.0391096	5043
7.53106e-05	0.000631167	3.20162e-05	358.686	0.543502	0.00192622	0.0002998	0.000733079	0.000284624	1.09991e-05	0.000279349	-4.69899e-06	1.84543e-05	-4.01564e-05	3.69936e-05	0.000759979	3.62237e-05	-0.297805	0.0395309	5067
7.57198e-05	0.000626586	2.73882e-05	359.288	0.917994	0.00149898	0.000303461	0.000642386	0.000301206	0.000149331	0.000272714	-1.37027e-07	1.88142e-05	-1.16624e-05	3.09031e-05	0.000732824	3.85285e-05	-0.15643	0.0345066	4875
7.61312e-05	0.00067988	3.84529e-05	358.74	0.719147	0.00213285	0.000319092	0.000741035	0.000298559	-0.00027835	0.000275185	-1.60888e-05	2.2638e-05	-0.00013815	0.000192247	0.000891555	7.5629e-05	-0.291635	0.0588454	5092
7.65448e-05	0.000634142	2.75496e-05	358.802	0.873729	0.00197988	0.000299379	0.000590755	0.000301196	-0.000165695	0.000266953	-2.64125e-05	2.33344e-05	5.49786e-05	4.62864e-05	0.00071704	3.37723e-05	-0.222483	0.0300173	5037
7.69607e-05	0.000610328	2.75727e-05	359.514	1.07601	0.00216485	0.000303296	0.000808072	0.000291562	-0.000326889	0.000263387	-1.17633e-05	1.81353e-05	5.6284e-05	3.57892e-05	0.000753497	5.2073e-05	-0.27394	0.0430092	4946
7.73789e-05	0.000652069	2.66571e-05	359.602	1.16671	0.00209146	0.000308161	0.00126425	0.000296165	8.62823e-05	0.000274919	-1.69647e-05	1.61747e-05	2.22654e-05	3.08631e-05	0.000761926	3.2039e-05	-0.248298	0.0327454	5040
7.77993e-05	0.000625365	2.72005e-05	360.423	1.19092	0.00184368	0.000298291	0.000896388	0.000292923	-9.77793e-05	0.000271299	3.59939e-05	2.10335e-05	3.77903e-05	3.22164e-05	0.000804545	3.75042e-05	-0.214198	0.0374571	5032
