# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 1e+11
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000156548	0.00411588	0.000269184	1.11649e+09	6.56502e+07	0.00353904	0.000540443	-0.000738158	0.000534611	0.000388291	0.000505496	0.00292755	0.000961435	-0.00287495	0.00343046	0.0156584	0.00200914	-60.9193	27.869	9877
0.000157399	0.00399142	0.000412127	1.25172e+09	7.30781e+07	0.00360822	0.000579466	-0.000341584	0.000502195	0.000107796	0.000469371	-0.000366228	0.00089639	-0.00369348	0.00343071	0.0143531	0.00205195	-6.14336	12.1136	9876
0.000158254	0.00357032	0.000147516	1.15687e+09	6.94742e+07	0.00420052	0.000506271	-0.000697084	0.000511248	-9.20924e-05	0.000453603	0.00244648	0.000910492	0.000804168	0.00342248	0.00945337	0.00194009	-21.0383	35.8562	9864
0.000159114	0.00389248	0.000194522	1.17331e+09	6.67059e+07	0.00329596	0.000526621	-0.00157118	0.000521837	3.61228e-05	0.000489097	-0.000106164	0.000951858	0.00367515	0.00334851	0.0078331	0.00197336	-73.6269	38.6399	9869
0.000159978	0.00433984	0.000301765	1.30677e+09	7.53072e+07	0.00377136	0.000548139	-0.000928228	0.000568531	-0.000791502	0.000505546	-0.0011863	0.000839302	0.00314861	0.00355352	0.0124645	0.00205853	-47.4118	21.4165	9869
0.000160848	0.00423877	0.000379547	1.19285e+09	7.08301e+07	0.00432328	0.000574538	-0.00152094	0.000530784	-3.0409e-05	0.000496128	0.000167207	0.000971343	0.00162549	0.00299979	0.0115399	0.00204171	7.93757	14.2667	9872
0.000161722	0.00372731	0.000175124	1.22073e+09	7.15263e+07	0.00368928	0.000511293	-0.000376856	0.000513498	-9.05339e-05	0.000479227	-0.00151516	0.000897707	-0.00374637	0.00323953	0.0101247	0.0019832	-16.282	8.80422	9877
0.0001626	0.00420781	0.000336699	1.15696e+09	6.80243e+07	0.00435362	0.000523722	-0.000510705	0.000550051	-0.000119752	0.000522412	-0.000170516	0.000997314	0.00137901	0.00362928	0.00942749	0.00195075	-8.20707	13.2071	9897
0.000163484	0.00387227	0.000200412	1.1785e+09	6.91097e+07	0.00415189	0.00054615	-0.00127705	0.000520576	0.000474454	0.000462189	0.000621	0.000901938	0.0016467	0.00333338	0.00680546	0.00186735	16.0143	16.0256	9886
0.000164372	0.00415717	0.000333658	1.11426e+09	6.74527e+07	0.0040236	0.000528671	-0.00146814	0.000560508	0.000701177	0.000498232	-0.000264019	0.000962234	0.00147723	0.00348715	0.00746592	0.0018661	-3.41912	5.96689	9870
0.000165265	0.00398911	0.000236519	1.16862e+09	7.1046e+07	0.00405491	0.000532891	0.000239422	0.000513949	-0.000640595	0.000508272	-0.000156385	0.000947348	0.00241641	0.00368528	0.0104926	0.00201731	-19.3107	11.4221	9889
0.000166163	0.00427198	0.000275026	1.21044e+09	7.26531e+07	0.00409387	0.000567665	-0.00153741	0.000551647	0.00110927	0.000487829	-0.000113187	0.00096071	0.00431746	0.00371113	0.00892282	0.00199944	-4.83052	14.2612	9875
0.000167066	0.00429515	0.000376078	1.13361e+09	6.94067e+07	0.00421479	0.000557761	-0.000379554	0.000564595	-0.000175249	0.000487943	0.00131427	0.000859676	2.74866e-05	0.00340232	0.00915555	0.00198485	-3.71572	8.34914	9893
0.000167973	0.00408686	0.000263643	1.18705e+09	7.28422e+07	0.00348849	0.000520073	-0.000323739	0.000557517	0.000296159	0.000495582	0.000748939	0.000969526	0.0060774	0.00327866	0.00621812	0.00189545	-20.9443	5.86094	9887
0.000168886	0.00414965	0.000271606	1.13061e+09	6.66575e+07	0.00346748	0.000560137	-0.000467106	0.000535347	7.68242e-08	0.000491638	-0.000443796	0.000940986	-0.00314911	0.00342381	0.00824927	0.00194813	-1.79206	4.87784	9859
0.000169804	0.00397767	0.000240607	1.09868e+09	6.64822e+07	0.00332161	0.000538526	-0.00194882	0.0005319	0.00117798	0.000483422	0.00196025	0.00103608	-0.00359977	0.00316957	0.00594728	0.0019439	-34.0313	12.6903	9860
0.000170726	0.00386768	0.000247843	1.20844e+09	6.90257e+07	0.0038324	0.000516776	-0.000712308	0.000555046	-0.000438299	0.000455525	0.000595576	0.00093847	0.000666549	0.003379	0.00461415	0.00188031	-35.7385	17.1577	9882
0.000171654	0.00415614	0.000277909	1.08454e+09	6.52406e+07	0.00381152	0.000535143	-0.000785675	0.000562521	0.00122814	0.000488901	-0.000940254	0.000889106	0.00034946	0.00336637	0.00934696	0.00193793	-27.9765	12.4519	9872
0.000172587	0.00370257	0.000168194	1.21917e+09	7.10841e+07	0.00413643	0.000504137	-0.000629402	0.000509883	-0.00119167	0.000484091	-0.00029821	0.000905606	0.00098285	0.0033196	0.00998141	0.0019478	-25.8413	14.4448	9888
0.000173524	0.00357197	0.000153736	1.11375e+09	6.75872e+07	0.00395103	0.00051071	-0.000679641	0.000494586	-0.000383307	0.000466831	-0.0010317	0.000896503	0.00298399	0.00338852	0.00904569	0.00193995	13.6485	13.295	9874
0.000174467	0.00408223	0.000354154	1.15681e+09	6.79243e+07	0.00411087	0.000547188	-0.000847309	0.000550377	7.91441e-05	0.000474084	0.00137201	0.00087624	0.00308618	0.00331609	0.00578288	0.00198884	-15.3021	9.52091	9868
0.000175415	0.00404275	0.000256082	1.26689e+09	7.34383e+07	0.00408598	0.000537817	-0.000703993	0.000554011	-0.000199766	0.000471846	0.000158152	0.000847257	0.00165774	0.00330616	0.00896893	0.00181084	-42.3865	31.4753	9872
0.000176368	0.00433157	0.000411936	1.15964e+09	6.87515e+07	0.00389872	0.00052247	-0.000866719	0.000589044	-0.000122825	0.000505944	-0.000701599	0.000923803	0.00246967	0.00323175	0.0124316	0.00182537	-3.06813	15.3987	9889
0.000177326	0.00405456	0.00028859	1.04881e+09	6.40882e+07	0.0042112	0.000540024	-0.000329489	0.000548428	-0.000363928	0.000479117	-0.000648903	0.000927746	-0.0013976	0.00303775	0.00903354	0.0018115	-19.7688	10.4595	9862
0.00017829	0.00362488	0.000170835	1.20147e+09	6.98288e+07	0.00364404	0.00052416	-0.00126776	0.000486918	-0.000188163	0.000470404	-0.000539011	0.000973096	-2.8081e-05	0.00331726	0.011358	0.00195352	14.2457	22.1296	9889
0.000179258	0.0047295	0.000819847	1.32125e+09	7.53759e+07	0.00380662	0.000592581	-0.0005525	0.000587236	0.000149404	0.000510373	0.000258499	0.000836411	-0.00432261	0.0029807	0.00930984	0.00182986	-12.3527	8.67958	9890
0.000180232	0.00390809	0.000283504	1.24218e+09	7.40704e+07	0.00382074	0.000560997	-0.000903864	0.000487309	0.000738186	0.00048865	-0.000845188	0.00087003	-0.00149468	0.00360462	0.00931548	0.00188845	-13.042	10.8537	9881
0.000181212	0.00487439	0.000469934	1.11818e+09	6.63988e+07	0.0041408	0.000585202	-0.000352043	0.000629933	-0.00105282	0.000496644	0.00233814	0.000955301	-0.000606784	0.00342388	0.0121654	0.00188665	-17.293	7.13888	9885
0.000182196	0.00420141	0.000270034	1.05293e+09	6.44111e+07	0.00336908	0.00055196	-0.00185074	0.000552432	9.67381e-06	0.000491864	-0.000490023	0.000953063	-0.000112336	0.00298641	0.00850802	0.00181323	1.54735	9.43068	9866
