# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 126186
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000589256	0.0632238	0.00225443	5543.17	195.349	0.0124381	0.00247683	0.00180731	0.00241867	0.000645575	0.00209727	0.005614	0.00241332	-0.00536442	0.00555647	0.0640092	0.00389293	-1.59295	0.190893	7717
0.000592457	0.0649371	0.002022	5493.5	194.266	0.00707035	0.00246896	0.00365943	0.00238702	-0.00202655	0.00217986	0.000846546	0.00233766	0.000150814	0.00567685	0.072778	0.00405958	-1.37303	0.165982	7854
0.000595676	0.063882	0.00225828	5362.82	190.036	0.012463	0.00243529	0.00418231	0.00242032	-0.00104993	0.00213612	0.000214391	0.00225473	-0.00326538	0.00567375	0.0671391	0.00398004	-1.38217	0.186353	7811
0.000598913	0.0655764	0.00231185	5613.14	201.563	0.012066	0.00251127	0.00371522	0.00248216	0.00212967	0.00210131	0.00112223	0.00238836	-0.0025965	0.00553193	0.0745718	0.00398304	-1.55462	0.181529	7767
0.000602167	0.0655691	0.00219219	5643.99	197.602	0.0107374	0.00254414	-0.00113935	0.00245585	-0.00190525	0.00209754	-0.000131035	0.00234803	-0.00613052	0.00562352	0.0640749	0.00400664	-1.63271	0.189641	7759
0.000605438	0.0655596	0.00226612	5412.1	189.69	0.012089	0.00247739	0.00434089	0.00249046	0.00443065	0.00212727	0.000730174	0.00243172	-0.0028828	0.00581805	0.0714851	0.00409181	-1.46868	0.173294	7772
0.000608728	0.0613246	0.00192303	5714.16	200.177	0.00786224	0.00241549	0.0078132	0.00232417	0.00460394	0.00211268	0.00153558	0.00230932	-0.00638693	0.00555708	0.064077	0.00400355	-1.52364	0.182777	7812
0.000612035	0.0672561	0.00229049	5464.47	195.082	0.0138652	0.00247494	0.00301751	0.00248318	-0.000926863	0.00225977	-0.00314338	0.00238461	-0.00606747	0.00563425	0.0704572	0.00399679	-1.56529	0.165328	7728
0.000615361	0.0626654	0.00200023	5043.95	184.451	0.00987494	0.00243251	0.00112989	0.00243997	0.000383447	0.00211312	0.00478623	0.00229504	0.00969633	0.00558226	0.0764082	0.00401919	-1.53477	0.242852	7675
0.000618704	0.0625597	0.00192454	5414.3	191.039	0.0149885	0.00237698	0.00146893	0.00246733	0.00124551	0.00207621	0.000542319	0.0024034	-0.00293382	0.00567454	0.0696523	0.00411361	-1.75557	0.201253	7791
0.000622066	0.0650109	0.00210315	5119.84	185.342	0.0084116	0.00245105	0.00282312	0.00245999	-0.000878994	0.00212231	0.00051868	0.00235522	0.00124964	0.00571676	0.072033	0.00412061	-1.77125	0.210826	7854
0.000625445	0.0629332	0.00190003	5407.27	190.722	0.00869641	0.00242266	-0.000291346	0.00242469	0.00555161	0.00212214	0.000777624	0.00235052	0.00300791	0.00578264	0.066891	0.0039176	-1.77156	0.240055	7747
0.000628844	0.0598223	0.00176246	5335.76	192.511	0.0113105	0.0023393	0.00229178	0.00234812	-0.00452056	0.00209749	-0.00057755	0.00239159	0.00107683	0.00546198	0.0680712	0.00400305	-1.42773	0.182882	7776
0.00063226	0.0630328	0.00191824	5673.11	199.441	0.0174741	0.00247523	0.00488226	0.00239217	0.00058106	0.00210907	0.000779026	0.00244245	-0.0100291	0.00542609	0.0690069	0.00391402	-1.54361	0.157457	7724
0.000635695	0.0648308	0.00208674	5370.28	190.147	0.00851784	0.00252285	0.0063634	0.00247838	-8.65019e-05	0.0020922	0.00458463	0.00240927	-0.00158881	0.00546308	0.0729823	0.00423352	-1.49208	0.17586	7681
0.000639149	0.0632674	0.00213291	5614.34	197.105	0.0115749	0.0024687	0.00524225	0.00242592	-0.00218561	0.00209248	-0.00340249	0.00235709	0.00911963	0.00547612	0.0654542	0.00407862	-1.16549	0.163094	7734
0.000642622	0.0641597	0.00217182	5247.7	189.256	0.0109772	0.00239901	8.75061e-05	0.00241647	0.000687592	0.00223859	0.000386172	0.00231746	0.00114428	0.00575544	0.0736895	0.00402381	-1.47619	0.179547	7729
0.000646113	0.0628275	0.00235333	5526.81	193.151	0.0130176	0.00245634	0.00349883	0.00240561	-0.00192194	0.0020873	0.00236852	0.00240061	0.0032903	0.0055559	0.0648303	0.0040836	-1.8045	0.214441	7765
0.000649624	0.063916	0.00199588	5471.05	192.941	0.0158358	0.00246054	0.00361032	0.00242303	0.000886291	0.00210464	-0.00120569	0.00227741	0.000840645	0.00566471	0.0681154	0.00414583	-1.73629	0.22217	7809
0.000653153	0.0626148	0.00230163	5384.59	186.755	0.0120585	0.00241139	0.00203737	0.00239796	-0.0023892	0.00212514	-0.00078014	0.00237502	0.00757989	0.00556961	0.0623096	0.0041574	-1.63901	0.185297	7787
0.000656702	0.0619688	0.0019984	5853.05	206.403	0.00989159	0.00246134	0.00230702	0.00235377	0.00315367	0.00210037	0.00244413	0.00238011	-0.00916197	0.0056297	0.070795	0.00403426	-1.51494	0.177621	7744
0.00066027	0.0650957	0.00207437	5303.16	190.824	0.0122713	0.00251732	0.00125565	0.00238226	-0.000227687	0.00217707	-0.000805733	0.00227653	0.00646052	0.0055517	0.0635919	0.0040937	-1.15098	0.178048	7772
0.000663858	0.0614025	0.00196751	5730.01	201.821	0.0100195	0.00238124	-0.000484626	0.00242466	-0.000414853	0.00207048	-0.00427057	0.00230974	0.00730494	0.00562855	0.0648783	0.0041213	-1.68686	0.213126	7758
0.000667465	0.0605653	0.00184047	5715.9	199.352	0.0120191	0.00235916	0.00121687	0.00231927	0.00151102	0.00214752	-0.00165963	0.00229378	-0.00677187	0.00563062	0.0694464	0.00410162	-1.49703	0.200254	7787
0.000671091	0.0637908	0.00209736	5186.25	188.606	0.0109319	0.0024654	0.00562728	0.00245691	-0.000529231	0.00210044	0.0030682	0.00231099	-0.00300023	0.00535373	0.075794	0.00404141	-1.43497	0.194348	7720
0.000674737	0.0662117	0.00214388	5546.68	195.138	0.00777341	0.00249528	-0.0025249	0.00244869	-0.00049357	0.00216425	-3.12573e-05	0.00238991	0.00371936	0.00574305	0.0692894	0.00397874	-1.39128	0.184368	7838
0.000678403	0.0649454	0.00245048	5478.1	195.537	0.0115822	0.00249833	0.00350938	0.00236676	-0.000621668	0.00220647	-0.00210962	0.00237614	-0.00560609	0.0057284	0.0657961	0.00397726	-1.6422	0.294416	7773
0.000682089	0.0632349	0.00190246	5649.26	201.272	0.00974104	0.00244149	0.00164485	0.00242236	0.00136884	0.00211527	0.00146745	0.00226402	0.00606008	0.00565863	0.0706493	0.00412004	-1.53134	0.197929	7761
0.000685795	0.0626813	0.00191822	5675.78	200.696	0.0112064	0.00245192	-0.000353148	0.00238777	-0.00185125	0.0021059	-0.000543498	0.0024353	0.00211598	0.00578882	0.0750295	0.00410225	-1.28648	0.220276	7765
0.000689521	0.0665361	0.00223328	5235.79	189.014	0.0128417	0.00254445	0.00288821	0.00240669	-0.000519627	0.0021976	-0.00525164	0.00230039	0.00531955	0.00563049	0.0706931	0.00394651	-1.32855	0.196556	7783
0.000693268	0.0632477	0.00197851	5461	194.719	0.0100497	0.00246619	0.000503893	0.00240547	-0.00433245	0.0020827	0.00019057	0.00242182	-0.0104205	0.0056011	0.0647376	0.00403147	-2.10221	0.27126	7808
