# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 3053.86
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000790569	0.120476	0.00327955	434.458	4.75661	0.000460941	0.00363306	-0.00241801	0.00348845	-0.00159397	0.00314038	0.00468683	0.00323121	-0.00210088	0.00600542	0.11119	0.00483125	-0.88541	0.0740059	6844
0.000794865	0.117482	0.00324326	442.662	4.95102	-0.000892673	0.00359165	-0.00284251	0.00342174	-0.000944216	0.00312068	0.000174474	0.00325726	0.007017	0.00570456	0.113111	0.00474832	-0.915583	0.0751723	6846
0.000799183	0.120011	0.00336936	440.769	4.87279	-0.0014908	0.00357373	-0.00204172	0.00358794	0.00191343	0.00306641	0.00095046	0.00324488	-0.00679989	0.00589274	0.105399	0.00491284	-1.01478	0.078225	6853
0.000803526	0.122658	0.00350483	440.116	4.90535	0.00649688	0.00362881	0.0009368	0.00361822	-0.00194652	0.00306759	-0.00372165	0.00307181	9.08277e-06	0.00594453	0.104032	0.00480382	-0.933056	0.074435	6881
0.000807891	0.121221	0.00324305	427.607	4.59093	-0.00410252	0.0036338	-0.00240183	0.00355837	-0.00159795	0.00304831	0.00287983	0.00313272	-0.0041102	0.0056526	0.106502	0.0048214	-0.943553	0.0777835	6900
0.000812281	0.119678	0.0031744	437.369	4.76563	-0.00237067	0.00355422	-0.00274704	0.00358846	0.00186105	0.00312435	-0.00610138	0.00316466	-0.0016077	0.00597774	0.109808	0.00491611	-0.956425	0.078405	6791
0.000816694	0.124698	0.0034703	445.079	4.97357	-0.000756406	0.00368882	-0.00774734	0.00358629	-0.000306837	0.00315724	-0.00216202	0.0031645	-0.0048735	0.00592182	0.115891	0.00490054	-1.02917	0.0785534	6848
0.000821131	0.118252	0.00320746	438.153	4.84032	-0.00638513	0.00354107	-0.00283156	0.00356377	0.00318271	0.00308674	-0.00546286	0.00308816	-0.00428028	0.00593735	0.1153	0.00487994	-0.828027	0.072746	6806
0.000825593	0.120137	0.0031885	446.04	5.01172	0.0018715	0.00366613	-0.00021527	0.00352562	0.00181852	0.00300459	7.50847e-05	0.00323728	-0.00344112	0.00600593	0.112445	0.00482804	-1.06683	0.0813215	6890
0.000830078	0.11892	0.00338672	435.5	4.7722	-0.00227008	0.00362725	-0.00244992	0.00352647	-0.00115457	0.00303276	0.000160041	0.00302224	0.00665149	0.00581796	0.10732	0.00471636	-0.932146	0.0725682	6841
0.000834588	0.116814	0.00304863	436.031	4.75443	-0.00158974	0.00354267	0.00648587	0.00349732	-0.00309573	0.00302804	-0.000572987	0.00321708	-0.00449748	0.00593774	0.0930774	0.0048318	-0.991602	0.0799034	6885
0.000839123	0.118168	0.00321272	436.372	4.79676	-0.00527844	0.00358304	-0.00214205	0.00348134	-0.00407766	0.00307049	0.00165815	0.0031174	-0.00119804	0.00582819	0.115869	0.00488141	-1.13893	0.0799534	6877
0.000843682	0.119378	0.00323627	440.079	4.89138	0.00630784	0.00365826	0.00384482	0.0034115	-0.00091798	0.00313069	0.000842067	0.00314468	-0.000429316	0.00575337	0.104338	0.00495154	-1.0855	0.0816765	6860
0.000848266	0.122382	0.0033397	442.886	4.88341	-0.00446917	0.00372647	0.000926385	0.00348774	-0.000874665	0.00311519	0.00027681	0.00320849	-0.00278241	0.00608805	0.107039	0.00486336	-0.918139	0.0781175	6850
0.000852875	0.117953	0.00331881	436.683	4.7916	0.00463125	0.00352963	-0.00314783	0.00352911	0.00454017	0.00311881	-0.010522	0.00313027	0.0120232	0.00581152	0.111469	0.00479917	-0.937662	0.0749909	6814
0.000857509	0.115445	0.0031742	440.852	4.91008	0.00875885	0.00353762	-0.00424299	0.00347749	0.00381249	0.00302953	0.000305835	0.00307917	-0.00342004	0.00575577	0.109307	0.00482884	-1.00868	0.0776024	6836
0.000862168	0.11409	0.0031113	443.822	4.95298	-0.00323462	0.00352583	-0.00330686	0.00338571	0.00257751	0.00303053	0.00367364	0.00301907	0.00292663	0.00577362	0.0991392	0.0047862	-0.915507	0.0794584	6903
0.000866852	0.121933	0.00336614	430.652	4.72361	-0.00160737	0.00369188	0.00293599	0.00351295	0.000418945	0.00314067	-0.00425205	0.00309628	-0.0050274	0.00599526	0.10772	0.00489713	-0.866425	0.0771325	6810
0.000871562	0.116905	0.00313795	440.652	4.86869	0.0018755	0.00357988	0.00157525	0.00345133	-0.00148871	0.00298792	0.00125434	0.00309583	0.0040743	0.00577368	0.109085	0.00481545	-1.05488	0.0812732	6953
0.000876297	0.121582	0.00326195	437.148	4.83918	0.000793326	0.00362984	0.00569409	0.00350631	0.00251759	0.00316131	-0.00302484	0.0030838	0.00239593	0.00607374	0.108027	0.00476816	-0.964008	0.0786025	6861
0.000881058	0.119501	0.00320134	443.583	4.98005	0.00225805	0.00356669	-0.00102932	0.00353409	0.000209135	0.00313508	0.00326822	0.0031488	0.0128214	0.00593602	0.114235	0.00496665	-1.1248	0.0773954	6826
0.000885845	0.120397	0.00325404	445.247	4.99189	-0.00221791	0.00366257	1.84537e-05	0.00352023	-0.0026558	0.00313533	-0.00395388	0.00314963	-0.00029009	0.00617256	0.107253	0.00491979	-0.862642	0.0771453	6762
0.000890658	0.116726	0.00309283	444.801	5.02176	0.00449996	0.00347026	-0.00716625	0.0035506	-0.001712	0.00310802	-0.00172641	0.00324923	0.00304851	0.00599089	0.117026	0.00491371	-0.916989	0.07644	6808
0.000895498	0.12623	0.00341675	432.922	4.71302	0.00348012	0.00368999	0.00316284	0.00362859	0.00129948	0.00320393	-0.00214367	0.0031748	-0.00481047	0.00579719	0.109331	0.00482882	-0.919478	0.0767091	6819
0.000900363	0.122021	0.00356275	438.254	4.79748	0.00698425	0.00364415	-0.00132235	0.00358863	-1.79347e-05	0.00305441	-0.0015128	0.00311649	-0.00193421	0.00573252	0.107119	0.00471115	-1.05998	0.0770388	6881
0.000905255	0.118178	0.00327826	447.504	5.074	-0.0041779	0.00358591	-0.00353866	0.00342892	0.00185636	0.00314351	0.00171215	0.00316468	0.0182086	0.00602279	0.103733	0.00476835	-0.952569	0.0764377	6856
0.000910173	0.117789	0.00329508	442.698	4.96319	5.2603e-06	0.00364629	-0.00390796	0.00343557	0.00256623	0.00308149	0.00116687	0.00319553	-0.0110751	0.00592498	0.101372	0.00484695	-0.980835	0.0803471	6815
0.000915119	0.111975	0.00302951	432.463	4.62085	-0.00262283	0.00343479	0.00374162	0.00344394	0.00120628	0.00298161	-0.00473329	0.00312395	0.0071082	0.00579118	0.114485	0.00477506	-0.781103	0.0752906	6886
0.000920091	0.119263	0.00350077	442.615	4.89418	-0.00192403	0.00362193	0.000613394	0.00356787	-0.00132431	0.00306874	-0.00432958	0.00305303	-0.0027727	0.00582293	0.105348	0.00484143	-0.963622	0.079981	6769
