# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 385353
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000790569	0.102449	0.0027217	13766.5	531.595	0.00118836	0.00301948	-0.00167108	0.00291072	-0.00209108	0.00261115	0.00428088	0.00291464	-0.00302793	0.00698827	0.111973	0.00478428	-0.917254	0.153921	8401
0.000794865	0.100475	0.00271926	13515.6	529.564	-0.000821756	0.00301237	-0.00272095	0.00285803	-0.000570821	0.00261966	0.00220681	0.00291942	0.00461494	0.00660709	0.109894	0.00461148	-0.998793	0.142083	8343
0.000799183	0.103504	0.00284508	13237.6	528.061	-0.000316798	0.00301024	-0.00181093	0.00303624	0.000429857	0.00259603	0.00203712	0.00293596	-0.00490747	0.00682706	0.103183	0.00479092	-1.39902	0.17384	8280
0.000803526	0.104694	0.00293715	13812.2	536.644	0.00577932	0.00303317	0.00138963	0.00303236	-0.00231024	0.00258353	-0.00277009	0.00280423	0.00584998	0.00702298	0.106022	0.00477042	-0.66766	0.315127	8357
0.000807891	0.104619	0.00274937	12936.5	514.587	-0.00287193	0.00307112	-0.00292641	0.00299906	-0.00103193	0.00257645	0.00170048	0.00284308	0.00379075	0.00680598	0.10349	0.00478067	-1.0153	0.196149	8354
0.000812281	0.102287	0.0026655	14224.2	544.195	-0.00151933	0.00296734	-0.00253495	0.00298751	0.000669259	0.00260271	-0.00547346	0.00288256	-0.00729765	0.00717222	0.109981	0.00477635	-1.02502	0.15566	8355
0.000816694	0.107127	0.00291656	13256.5	516.366	-0.00089284	0.00310143	-0.00527553	0.0030149	-0.000398226	0.00265538	0.000114277	0.00291576	0.00184564	0.00684487	0.111579	0.00482484	-1.22018	0.151645	8323
0.000821131	0.101212	0.00269032	13331.7	519.717	-0.00485853	0.00297133	-0.00180645	0.00298629	0.0019718	0.00259059	-0.00669281	0.00278511	-0.00487279	0.00684183	0.11875	0.004795	-0.768232	0.136294	8282
0.000825593	0.103156	0.00269646	12392.6	495.026	0.00246775	0.00308078	0.000487264	0.00297449	0.00124206	0.00252457	-0.00175047	0.00291294	-0.000793112	0.0070257	0.109651	0.00475515	-1.09606	0.124628	8355
0.000830078	0.101954	0.00284484	14210.1	548.596	-0.00105632	0.00303427	-0.0018738	0.00295284	-0.00113901	0.00255314	-0.000673864	0.00278566	0.0075872	0.00685681	0.102591	0.0046363	-0.990153	0.127622	8348
0.000834588	0.100476	0.00257985	13962	538.676	-0.00120836	0.00298243	0.00534302	0.00293068	-0.00173961	0.00254511	-0.000963406	0.00292061	-3.30482e-05	0.00679318	0.0978826	0.00471257	-0.743048	0.155288	8392
0.000839123	0.102043	0.00272451	13647.1	529.575	-0.00446037	0.0030085	-0.00117277	0.00293751	-0.00383659	0.00259491	0.000840381	0.00279649	-0.00304517	0.00669628	0.106385	0.00474279	-1.26894	0.133656	8365
0.000843682	0.101737	0.00271013	13373.1	518.09	0.00458613	0.00305575	0.0034407	0.00285332	-0.000985989	0.00263002	0.000856554	0.00283149	0.00116205	0.00676524	0.102017	0.00479979	-1.18064	0.178402	8346
