# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 7.39072e+09
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000790569	0.0863815	0.00231969	2.63004e+07	2.40386e+06	0.000953511	0.00254304	-0.00154329	0.00245095	-0.00177661	0.0021991	0.00287756	0.00258054	-0.00586975	0.00752479	0.108568	0.00454323	2.29176	3.71004	9988
0.000794865	0.0841924	0.00230397	2.44453e+07	2.25095e+06	-0.000572382	0.00252154	-0.00229985	0.00239273	-0.000493955	0.00219312	0.00153024	0.00260092	0.0133625	0.00736297	0.107348	0.00454303	1.69238	1.77258	9976
0.000799183	0.0859897	0.00239132	2.70081e+07	2.38169e+06	-0.00031872	0.00249822	-0.00161445	0.00252014	0.000496085	0.00215599	0.00101316	0.00265172	-0.00556989	0.00772417	0.0976115	0.00467485	-4.32667	3.78728	9983
0.000803526	0.0879688	0.00249042	2.68351e+07	2.43386e+06	0.00511141	0.00254579	0.00112624	0.0025434	-0.00208408	0.00216687	-0.00181482	0.00254018	0.00567716	0.00761614	0.0998393	0.00458192	-2.25534	1.53171	9977
0.000807891	0.0878966	0.00233535	2.47623e+07	2.27091e+06	-0.00238753	0.00257503	-0.00235117	0.0025155	-0.000792347	0.00215879	0.00114268	0.00255022	7.75761e-05	0.00740642	0.0993355	0.00460283	1.1904	1.7532	9985
0.000812281	0.0858452	0.00226421	3.05501e+07	2.73892e+06	-0.00127705	0.00248806	-0.00208471	0.0025033	0.000505976	0.00218108	-0.00415644	0.00262379	-0.0120698	0.00775893	0.10025	0.00459952	-1.3259	1.17244	9982
0.000816694	0.0895321	0.00246446	2.91089e+07	2.65473e+06	-0.000911845	0.00258887	-0.00438343	0.00251662	-0.000316197	0.00221797	0.000104069	0.0025983	-0.0011986	0.00742293	0.105228	0.00456108	13.8755	9.69163	9980
0.000821131	0.0843348	0.00226642	2.74875e+07	2.27935e+06	-0.0038942	0.00246793	-0.00161338	0.00248557	0.00161943	0.00215234	-0.00459298	0.00250643	-0.00409354	0.00747283	0.110197	0.00458862	-23.2263	21.1472	9987
0.000825593	0.0865776	0.00228916	2.68687e+07	2.50912e+06	0.00205449	0.00258151	0.000314349	0.00249316	0.000914348	0.00211758	-0.00144911	0.00260208	0.00621174	0.00767034	0.0985301	0.00456049	-11.8308	12.8375	9980
0.000830078	0.0853983	0.00240685	2.76734e+07	2.48579e+06	-0.00092571	0.00253885	-0.00169243	0.00247024	-0.000997197	0.00213558	0.00091756	0.00249923	0.0105588	0.00730712	0.0978154	0.00457136	-2.01106	3.32086	9991
0.000834588	0.0845747	0.00219817	2.83134e+07	2.64609e+06	-0.000693614	0.00250872	0.00457703	0.00246354	-0.0015647	0.00213995	-0.00171903	0.00264372	0.00433254	0.00755917	0.0948519	0.00458226	-3.31445	1.60645	9991
0.000839123	0.0857101	0.00231337	2.23202e+07	1.96716e+06	-0.00365831	0.00252389	-0.00110129	0.00246368	-0.00312262	0.002178	0.000258191	0.00255669	-0.00274139	0.00751595	0.100688	0.00450949	-2.02773	0.796349	9983
0.000843682	0.0852814	0.00229781	2.91978e+07	2.64143e+06	0.00388357	0.00255849	0.00278993	0.00238907	-0.000887521	0.00220325	-0.00105136	0.00257316	-0.00313147	0.00750097	0.0954872	0.00466569	-2.86244	1.47903	9977
0.000848266	0.0876093	0.00236675	2.53346e+07	2.26411e+06	-0.00326086	0.00260869	0.00155463	0.00244498	-0.000525055	0.00218713	-0.00214835	0.00258128	0.000938072	0.00747132	0.105109	0.00463358	-3.27061	3.12921	9982
0.000852875	0.08391	0.00233708	2.82118e+07	2.47975e+06	0.0033074	0.00246085	-0.0017605	0.00245497	0.00318646	0.00217678	-0.00959795	0.00251214	0.00200774	0.00755758	0.100942	0.00458314	11.2983	10.7834	9984
0.000857509	0.0830824	0.00226628	2.81496e+07	2.4467e+06	0.00552919	0.00249673	-0.00274236	0.00242876	0.00246021	0.0021273	0.000863197	0.00257124	0.00958192	0.00747288	0.099062	0.00454289	8.37006	9.89002	9981
0.000862168	0.0827741	0.00223499	2.56275e+07	2.36729e+06	-0.00273114	0.00249466	-0.00221991	0.00240454	0.00238936	0.00214311	0.00226092	0.00250647	-0.00774014	0.00763751	0.0932402	0.00443979	-4.41659	3.00457	9982
0.000866852	0.0875415	0.00239724	2.79814e+07	2.45141e+06	-0.00102275	0.00257499	0.00190569	0.0024649	-0.000497784	0.00219889	-0.0053021	0.00252672	0.000262579	0.00751834	0.105397	0.00474611	-3.7399	2.94449	9989
0.000871562	0.0846133	0.00225817	3.05382e+07	2.8555e+06	0.000949975	0.00253891	0.000949024	0.00245021	-0.00129265	0.0021267	0.00161608	0.00254294	0.00544966	0.0074149	0.102606	0.00451588	-2.55721	3.04002	9980
0.000876297	0.0870621	0.00232461	2.52262e+07	2.18166e+06	0.000631089	0.00254617	0.00467241	0.00246042	0.00168811	0.00221656	-0.00309683	0.00250053	-0.000145843	0.00770363	0.107311	0.00455611	-4.94755	2.60782	9986
0.000881058	0.086053	0.00228698	2.50736e+07	2.12735e+06	0.00214129	0.00249893	-0.00114102	0.00247815	1.06197e-05	0.00220449	0.0025686	0.00257931	0.00873048	0.00762097	0.103285	0.00462726	7.52093	7.07392	9988
0.000885845	0.0862699	0.00230438	2.44924e+07	2.14769e+06	-0.000698918	0.00255049	0.000217527	0.00245477	-0.00128653	0.00218349	-0.0034342	0.00261677	-0.00595716	0.0075661	0.105694	0.00454644	-4.48287	2.83508	9983
0.000890658	0.083141	0.00219881	2.91479e+07	2.75375e+06	0.00272479	0.00242292	-0.00494668	0.00247333	-0.000854184	0.00216126	-0.00121511	0.00262436	0.00419622	0.00754428	0.103975	0.00457085	-5.11986	8.07621	9989
0.000895498	0.0902585	0.00242524	2.65019e+07	2.49274e+06	0.00272578	0.00257751	0.00208801	0.00253364	0.000979684	0.00224603	-0.00237234	0.00265291	0.00359066	0.00731081	0.0994449	0.00458105	-0.982103	1.18551	9977
0.000900363	0.0879697	0.00252649	2.27482e+07	1.98835e+06	0.00405826	0.00257142	-0.000985061	0.00252106	-0.000191157	0.00216063	-0.0019986	0.00253659	0.0015462	0.0072637	0.0969983	0.00452655	-0.17286	3.45908	9984
0.000905255	0.0849803	0.00233768	2.96334e+07	2.70232e+06	-0.0029409	0.00251782	-0.0027985	0.00241562	0.000885469	0.00220668	-0.000200886	0.00258775	0.0118156	0.00736549	0.103457	0.00457992	1.62922	3.93099	9980
0.000910173	0.085479	0.00236916	2.7175e+07	2.46905e+06	-0.000592697	0.00256584	-0.0030576	0.00242647	0.00191921	0.00215829	-0.00306145	0.00263318	-0.00955576	0.00772925	0.0966597	0.0046175	-2.15446	4.32668	9989
0.000915119	0.0807378	0.00216859	2.60321e+07	2.61879e+06	-0.0011601	0.00242532	0.00235844	0.00242671	0.000184137	0.00210383	-0.00370734	0.00253363	0.00724332	0.00729956	0.106255	0.00447888	-1.01526	1.22572	9979
0.000920091	0.084739	0.00245006	3.07072e+07	2.78743e+06	-0.000372472	0.00251862	-0.00049826	0.00247248	-0.000777757	0.00212961	-0.00394465	0.00250258	-0.0114196	0.00735449	0.0992418	0.00444903	2.33226	2.11598	9983
0.00092509	0.0867953	0.00235951	2.68177e+07	2.56443e+06	-0.00153807	0.00255945	0.004477	0.00248749	0.00141585	0.00215969	-0.000637252	0.00258469	3.54013e-05	0.00733695	0.103842	0.00464951	-3.4657	2.99386	9983
0.000930116	0.085002	0.00248956	3.10276e+07	2.87924e+06	-0.000155991	0.00252696	0.0019923	0.00243294	0.0032809	0.00217895	0.00212274	0.00256622	-0.00422391	0.00742995	0.110268	0.00457689	5.55969	9.37711	9978
0.00093517	0.0883	0.00244926	2.75359e+07	2.55663e+06	-0.00123774	0.00255389	0.00746534	0.0025116	-0.000767392	0.00220563	-0.00456512	0.00265215	0.00262892	0.00759055	0.104554	0.00460464	0.543495	1.29183	9986
0.000940251	0.0897537	0.00239995	2.62851e+07	2.37721e+06	-0.00166723	0.00256477	-0.000378575	0.00256415	0.000273586	0.0021998	0.00178519	0.00250142	-0.0119684	0.00745883	0.104332	0.00455587	-5.78364	3.71042	9986
0.000945359	0.0880735	0.00228363	2.61106e+07	2.26471e+06	-0.000784638	0.00257706	-0.00143005	0.00249627	0.00181618	0.00218745	0.000517917	0.00258496	0.00383195	0.00765827	0.107917	0.0046055	3.46342	6.82804	9985
0.000950495	0.0847072	0.00228504	2.80526e+07	2.5766e+06	0.0017708	0.00251275	0.00012386	0.00247036	-0.000399285	0.00213655	0.00482238	0.00269495	-0.0104645	0.00777989	0.101539	0.00464177	-1.6647	1.07304	9986
0.00095566	0.0836968	0.00222944	2.6648e+07	2.50787e+06	-0.00540377	0.00248694	0.00196228	0.00242724	-0.00215592	0.00217094	0.00053389	0.00254618	0.00973205	0.0077376	0.102923	0.00450488	9.36038	8.5553	9978
0.000960852	0.080657	0.00207923	2.6345e+07	2.41378e+06	-0.000839104	0.00245462	0.00160182	0.00234833	-0.00226424	0.00215141	-0.000645899	0.00252507	-0.000216267	0.00758958	0.110401	0.0046388	-0.443676	3.14593	9987
0.000966073	0.0912109	0.00249984	2.61051e+07	2.35829e+06	-0.0053333	0.00260918	-0.000397602	0.00257443	-0.00021527	0.00220154	-0.00406387	0.0025883	0.00826315	0.00750266	0.104623	0.00478947	-4.43059	2.61344	9985
0.000971321	0.0868892	0.00243875	2.79068e+07	2.32285e+06	0.0024076	0.00254169	-0.0015987	0.00247146	-0.0030157	0.00220565	0.00379498	0.00259467	0.00404069	0.00752444	0.108207	0.00446038	-1.51831	1.29764	9977
0.000976599	0.0871843	0.00233795	2.72042e+07	2.3834e+06	-0.00456	0.00251663	0.000614794	0.00251042	0.00174411	0.00220198	-7.55036e-05	0.00259821	-0.00420897	0.00728735	0.105666	0.00477741	-0.305359	1.26526	9981
0.000981905	0.0837465	0.0021903	2.9719e+07	2.65632e+06	0.00165236	0.00258463	0.00255704	0.00235748	-0.00484539	0.00213468	-0.00270713	0.00254753	-0.0034489	0.00779635	0.103238	0.00460741	-17.0603	12.0248	9981
0.00098724	0.0833557	0.00220155	2.46573e+07	2.15856e+06	0.00332492	0.00249139	0.000387103	0.00242243	0.000128731	0.00215295	0.00146824	0.00251906	7.42299e-05	0.00731157	0.101937	0.00454145	-5.98269	3.21027	9986
0.000992604	0.0868986	0.0024002	2.44254e+07	2.33616e+06	0.00134767	0.00259506	-0.00433723	0.00242689	0.00163287	0.00219008	0.00442039	0.00254815	0.0106934	0.00737474	0.103819	0.00461593	4.41912	2.99132	9985
0.000997997	0.0849576	0.00240478	2.75468e+07	2.54068e+06	-0.000121494	0.00253168	0.000443738	0.00248887	0.00204764	0.00210466	-0.00123235	0.00251268	0.00726939	0.00755169	0.0999279	0.00455237	-1.13906	0.774859	9985
