Tcut H sH K sK Px sPx Py sPy Q sQ
1000 17.373601416573955 0.03985978710363167 0.05292284128650604 0.0026120264320668575 -0.21331751727969064 0.003145004905540878 -0.04442728394030506 0.0030682746388714616 -1.162278670531482 0.007396110067396794
1204 17.813817605922583 0.04048031215617543 0.04969014698426675 0.0026483927558816297 -0.21301432457877 0.0030788953236428333 -0.04046394997144372 0.003003839902152378 -1.30400724952086 0.008035933397001942
1450 18.184637111462028 0.04085605904394247 0.0499419312564184 0.0026830685668745 -0.2125743089320081 0.0030226945311263706 -0.038182651645415164 0.002949699853187304 -1.4218040488691561 0.008568969632314525
1747 18.49951237338729 0.041191338764371206 0.04962399742561618 0.002716086737896362 -0.21301661806919928 0.0029763118719973703 -0.03668219979156258 0.0029027937343380898 -1.5314380533531158 0.00903878412015867
2104 18.743956023493592 0.04135497687260076 0.05175524916763359 0.0027466428583962023 -0.2126472442508908 0.002937017349223745 -0.035530675339437996 0.0028650698749062595 -1.623462236610799 0.009422729506258522
2535 18.95297742257656 0.04147691387088482 0.05409011420875204 0.0027761625632213307 -0.2120565393392272 0.002903524351369253 -0.03480123800116211 0.002831285568322694 -1.7047274644703454 0.009785432513761417
3053 19.116819804527474 0.04151469139001691 0.056312211088437376 0.002800494037144168 -0.21147302233498852 0.002874914624421601 -0.034219916632077685 0.002803388570054878 -1.7770065860164779 0.010092657051344121
3678 19.231394139304033 0.041521590159336895 0.06019034015223059 0.0028285424741115684 -0.2104571528021449 0.0028520272030489687 -0.033946320123628734 0.0027804795211816636 -1.8330456412613654 0.010334613383961888
4430 19.321690512843805 0.04143869258822658 0.0653612768888823 0.0028557235770028558 -0.20974601915879276 0.0028309724057457033 -0.0339017344141996 0.0027610193750901187 -1.8887517398998006 0.010598809078110177
5336 19.380722362138386 0.041317005081571025 0.06974179477673645 0.0028816148315347376 -0.20906718281220069 0.0028139216360834537 -0.034022885765344645 0.0027452126624334197 -1.9429841312111866 0.010854240895876761
6428 19.420833360651628 0.04117992924539207 0.07486153166698953 0.002906867895863381 -0.20815568345082266 0.0027988220400018133 -0.03418144788508643 0.0027312596725872704 -1.9916271009691742 0.011131124295864677
7742 19.447135298832475 0.041087443056284055 0.08032006303519329 0.0029335379769515205 -0.20758363920077014 0.002785859077218278 -0.03447496327172809 0.002718693478349709 -2.0380898493264232 0.011395964492821799
9326 19.461114737645254 0.040988888166903936 0.08597699736417794 0.0029587862106322444 -0.20702975054104042 0.002774908162947445 -0.03470131625896405 0.00270754948138613 -2.0773600786132924 0.01164076802688919
11233 19.450493024951477 0.04080459545623894 0.09124309791568755 0.0029825168776369993 -0.20663908863155733 0.002766124370294092 -0.03502109602513864 0.00269906567839876 -2.112779655533834 0.011899286315311853
13530 19.428003289464225 0.040623369241322045 0.09664142464287043 0.0030065814502544617 -0.20595561257637557 0.0027584821770354822 -0.03500048185738337 0.002691853071521592 -2.1461896015798754 0.012189340026282547
16297 19.404855487324177 0.04050334316944365 0.10235117852512993 0.0030320323571527198 -0.2051410064617205 0.002751421015877927 -0.035113512437808775 0.002684985108113908 -2.174239343162626 0.012466201382104023
19630 19.3642237308298 0.040311551714454566 0.1076673829926758 0.0030579541963814813 -0.20469746701884153 0.002746243860051307 -0.035008714800399 0.002679410618223491 -2.2060896890207227 0.012781786702534754
23644 19.322088010950434 0.04015575992739859 0.11311811013783174 0.003083570684412291 -0.20420933256038998 0.0027412618735707167 -0.03523845463990147 0.002674963058932839 -2.2416913241417467 0.01322164176971011
28480 19.275166067235595 0.03998887074255128 0.11754818914667663 0.0031059696714145074 -0.2037965452885566 0.002737298993639623 -0.035460525015840606 0.0026709177726933504 -2.263373360931417 0.013591595834056181
34304 19.221877927834054 0.03980667790578512 0.12269634751835881 0.0031299622645412453 -0.20335230064717805 0.0027341487263274696 -0.03540553294492305 0.002667811054702763 -2.289622423263372 0.013938645289437147
41320 19.166693803544195 0.0396344720433468 0.12803168208455148 0.003152737981909654 -0.20285582520873396 0.002731643769469383 -0.03558040162785017 0.002665337400635138 -2.310014468580077 0.014351478203432529
49770 19.107978262709235 0.0394572898163919 0.1319871807416204 0.0031729050920419367 -0.20248766098526944 0.0027295970574861203 -0.03567050282303078 0.0026634337687356925 -2.3311426007138767 0.014770547167318305
59948 19.052977895306874 0.03931323063742104 0.1369280070094035 0.003194442079234431 -0.2022006110856326 0.002727776671169589 -0.036027413310214584 0.0026619114205189685 -2.3531903913753522 0.015247267411633299
72208 18.993130791340892 0.03916806304729532 0.1415549939295253 0.003216453933188246 -0.20172985726747816 0.002726700074422637 -0.036199830302669087 0.002660824590369312 -2.379818048254842 0.015710351152456965
86974 18.932896928744555 0.03901535722626423 0.14541489934457846 0.0032367954652744646 -0.20129261038969065 0.002726050140495949 -0.0361799679687733 0.0026600533641306275 -2.3964729023688562 0.01627000535525752
104761 18.87422891064287 0.03887443010555806 0.14969937805578032 0.0032571380899278557 -0.2007590846859939 0.0027254766900425553 -0.036198522910494496 0.0026596714622287663 -2.420189988359748 0.01684648315302076
126185 18.81409281311015 0.03873975916760275 0.15320263407721074 0.0032759559587946393 -0.20069335213634115 0.0027255954925440567 -0.036232535057471336 0.00265980349712115 -2.436975467813434 0.01741371167293046
151991 18.756770547592193 0.03861197384153229 0.15606843214158175 0.003294039633171148 -0.20048875809529879 0.0027257408986831352 -0.03640067167677084 0.0026598759015635087 -2.455694273581794 0.01821400260056046
183073 18.701310975001245 0.038489640482331194 0.15908568500361295 0.003309964146020653 -0.2001721698445253 0.002726160101389121 -0.036593996018992186 0.0026601913147291626 -2.477255029298267 0.018948444427614602
220513 18.645561562463303 0.03837041428201356 0.16217886122862946 0.0033265881964978233 -0.1998347392251967 0.002726750577934625 -0.036593647445915936 0.0026608433921137755 -2.4927956018573743 0.01951324873646738
265608 18.59289302181022 0.03825927857982531 0.16539032566192863 0.003341656860400406 -0.1995796364078248 0.0027275221585255005 -0.03655427193035394 0.002661609056249717 -2.5088315150242972 0.020429306891060327
319926 18.543117963722153 0.03815707133826532 0.16786045184225157 0.0033556580233330127 -0.19929811883070056 0.0027284189764703987 -0.03659912397967847 0.0026624818330384034 -2.5425288997429436 0.02144326068694306
385352 18.495536047857275 0.038062535810587154 0.17002329933308777 0.003369358945631607 -0.19907959749486534 0.0027294718230965326 -0.036701846543794686 0.002663559169029787 -2.5575834291109465 0.02243618795450632
464158 18.449378032648887 0.03797370269472853 0.17188387169125735 0.0033819545081041225 -0.1987570048761175 0.0027306639318881087 -0.03667343531183257 0.002664808387385642 -2.588602671985876 0.024592404560943453
559081 18.408142935523976 0.0379001249637935 0.17396223293474505 0.0033950662864329485 -0.19859021343234928 0.002731640629449103 -0.036777113418925 0.0026658036179546887 -2.6007706698097586 0.02614859761902363
673415 18.36695933160001 0.03782321276711167 0.17573688287768136 0.0034067182540505284 -0.19846848905781792 0.002732963917303999 -0.03686126240442212 0.0026671128276343574 -2.608297937077652 0.02707884268102017
811130 18.329369224279503 0.03775700611040774 0.17715828858443164 0.0034178699500429827 -0.19818457454948551 0.002734181649549905 -0.03685023242854342 0.002668407989382331 -2.625875070263663 0.02835493529228026
977009 18.294288563564784 0.03769633596374083 0.17856498143440908 0.003427427920701447 -0.19790339036783205 0.0027355302839021612 -0.03695090331236539 0.00266976693427588 -2.630784959870326 0.02934073279478036
1176811 18.260046458247196 0.037637313315647056 0.17954782514743003 0.0034365046509086464 -0.1978478353857398 0.002736970921014852 -0.03698542675440774 0.002671136157207391 -2.6492282001040204 0.030622252794865072
1417474 18.229107547730603 0.0375864302896576 0.18022064885355335 0.003444867908110013 -0.1976912385257475 0.0027382717594284177 -0.03702076218713929 0.002672500953246249 -2.6713173982122886 0.03183759136347601
1707352 18.200367136630035 0.0375402192494018 0.18169900144117723 0.0034530351371915616 -0.197671261283325 0.0027396179444671566 -0.03706613707911609 0.0026738808777874287 -2.690379350604263 0.0357675619460819
2056512 18.173994487191134 0.03749867275538045 0.1823719381932748 0.0034602671124614646 -0.19752395830932085 0.0027409601397462556 -0.0370779931546074 0.0026752319495366144 -2.688939283104112 0.03647865758255493
2477076 18.1501209955676 0.03746756580376188 0.18292979460125863 0.0034667144185761244 -0.1973715991846081 0.002742315417552496 -0.03709890112955236 0.002676518970912929 -2.6819271284306625 0.037278737129518326
2983647 18.127904239362746 0.03743516264502485 0.1833923774466312 0.003472384546605388 -0.19731438119831984 0.002743585240174991 -0.037176796529968255 0.0026777722081478433 -2.6829350321164185 0.03859070090600398
3593813 18.10704496936489 0.03740466585207294 0.18371818844581927 0.003477478197773004 -0.19728922652280295 0.0027448246756563034 -0.037217322964772356 0.002678996584845351 -2.6876394507833035 0.039128637686100046
4328761 18.087811617026386 0.03737839953403245 0.18420779659067077 0.0034821562640250246 -0.1972272620415619 0.002746097215925011 -0.037248025120212025 0.0026802527022394347 -2.695466600105537 0.04055430743036206
5214008 18.069667480952102 0.03735434369565262 0.18434528294285066 0.0034866703067313125 -0.1971547297220182 0.00274731334544191 -0.03727736068551362 0.002681459262136244 -2.7047477990508026 0.041155226577687325
6280291 18.052943292672463 0.037332137083669725 0.1849358211403631 0.003491256411136109 -0.19708766013949938 0.002748419516599674 -0.03729080018750221 0.002682579029439917 -2.712346633747413 0.041575063918050076
7564633 18.037600992939375 0.037312563110955356 0.1850925046105268 0.003494841648837506 -0.19699337498989303 0.0027494986825771783 -0.03732023970970297 0.002683649127437859 -2.7195644645284562 0.042305466375452454
9111627 18.02499450387126 0.03730080039439515 0.18525296979927997 0.0034979482574073227 -0.196970355022606 0.002750447564687122 -0.037355083329787306 0.0026846461998689857 -2.7271776950008078 0.04301901552969444
10974987 18.012600895039117 0.03728589368291698 0.1854871716046 0.0035009676001061807 -0.19691448532834263 0.002751374581894382 -0.037347131651358355 0.0026855834354491404 -2.7467671818757786 0.04560322444213687
