# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 1e+11
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
2.23562e-05	0.000135861	3.61115e-05	3.07413e+09	1.29675e+08	0.000773979	9.95098e-05	-0.000150787	0.000115455	-1.49151e-06	8.78387e-05	-0.000113262	0.000275348	-0.00144815	0.000990374	0.000903166	0.000667606	-164.938	121.121	8771
2.24777e-05	0.000119127	2.15742e-05	3.31012e+09	1.30479e+08	0.000799599	9.8649e-05	-0.000289473	9.49891e-05	-2.76747e-05	9.09768e-05	-0.000223801	0.000248203	0.000761874	0.00128899	0.00110838	0.000736291	39.2558	50.2564	8800
2.25998e-05	8.19556e-05	7.17028e-06	3.41391e+09	1.33301e+08	0.000629414	7.6227e-05	-0.000414208	8.95387e-05	3.82921e-05	6.98779e-05	5.94693e-06	0.000292232	0.00159722	0.00100946	0.000344434	0.000772886	37.7431	61.7632	8747
2.27226e-05	0.000119512	2.8196e-05	3.29191e+09	1.31255e+08	0.00072968	9.77224e-05	-0.000375733	0.000107046	-0.000110821	7.79002e-05	-0.000390341	0.000343373	0.000271605	0.00110701	0.00035932	0.000635581	-221.783	93.5837	8815
2.2846e-05	8.62275e-05	5.65368e-06	3.22995e+09	1.2801e+08	0.000607034	8.07586e-05	-0.000266985	8.83564e-05	1.36726e-05	7.18479e-05	0.000554848	0.000380804	-0.000331413	0.000903722	0.00039175	0.000618087	-36.3916	114.007	8843
2.29702e-05	8.14244e-05	6.02193e-06	3.25973e+09	1.31043e+08	0.000748551	8.13346e-05	-0.000294361	8.17306e-05	5.69473e-05	7.14288e-05	0.000243191	0.00025382	0.00141186	0.000975041	0.00056038	0.000692524	-70.8302	77.7275	8835
2.3095e-05	9.97607e-05	9.40364e-06	3.10408e+09	1.25956e+08	0.00074297	8.4286e-05	-0.000331333	9.79815e-05	6.73092e-05	7.58415e-05	-0.000286174	0.000339256	-0.000498203	0.000812668	-0.000482473	0.000717103	122.439	171.18	8871
2.32205e-05	8.37077e-05	4.39403e-06	3.01301e+09	1.23517e+08	0.000689581	8.12989e-05	-0.000316237	8.16003e-05	-5.19124e-05	7.54589e-05	0.000240174	0.000270778	0.000122116	0.00112427	0.00137075	0.000627185	-71.5478	72.0908	8817
2.33466e-05	9.28222e-05	9.72863e-06	3.15421e+09	1.27712e+08	0.000732576	8.16307e-05	-0.000341521	8.33802e-05	-9.03166e-06	8.5924e-05	-6.57836e-05	0.000357583	-0.000767449	0.00125221	0.000325887	0.000692763	-344.515	281.505	8826
2.34735e-05	9.99524e-05	2.06067e-05	3.11571e+09	1.2667e+08	0.000910455	9.09969e-05	-0.000228023	9.54956e-05	0.000150537	7.24268e-05	0.000418825	0.000362662	0.0011404	0.00130631	0.000202856	0.000647871	-50.5153	42.8017	8803
2.3601e-05	0.000133216	3.68031e-05	3.3024e+09	1.29221e+08	0.000495505	0.000110215	-0.000253008	8.3813e-05	1.21235e-05	0.000105661	-0.000297219	0.00034685	-0.000103022	0.00110552	-0.000784438	0.000724926	-446.67	196.529	8784
2.37292e-05	9.1454e-05	1.17511e-05	2.86876e+09	1.21537e+08	0.000744854	8.5836e-05	-0.000212089	8.80115e-05	-5.64242e-05	7.63582e-05	-8.4003e-06	0.000350793	0.000608282	0.000785776	0.000331369	0.000678775	-449.274	240.619	8721
2.38582e-05	0.000126937	3.06826e-05	3.16451e+09	1.27336e+08	0.000743501	8.33555e-05	-0.000167604	0.000121231	5.58402e-05	8.3527e-05	-0.00025334	0.000260125	0.0010048	0.00135919	0.000926306	0.00076051	-199.058	84.3209	8862
2.39878e-05	8.22825e-05	4.30166e-06	3.07457e+09	1.25844e+08	0.000748831	7.93727e-05	-8.18774e-05	8.00108e-05	-2.63677e-05	7.65697e-05	0.000317228	0.000275893	-0.000200807	0.000964278	0.00169305	0.000699291	-25.8571	57.0357	8853
2.41181e-05	9.71457e-05	9.95093e-06	2.76069e+09	1.1803e+08	0.000577759	8.94801e-05	-0.000381025	9.2045e-05	-1.32322e-05	7.49624e-05	-5.24814e-05	0.000343768	-0.00157378	0.0011187	0.00115293	0.000712003	94.9779	86.6988	8787
2.42492e-05	0.000117631	2.9202e-05	3.10245e+09	1.30424e+08	0.000615778	0.000121402	-0.000313797	7.98917e-05	9.66347e-05	7.50667e-05	0.000164669	0.000279344	-0.000263459	0.000916492	-0.00135004	0.000788661	-162.186	139.771	8788
2.43809e-05	7.96292e-05	4.61476e-06	3.07761e+09	1.25881e+08	0.000778164	8.39423e-05	-0.000336749	7.8128e-05	-9.17362e-05	7.07137e-05	-0.000200867	0.000402327	-0.00125925	0.00145108	0.000490109	0.000615644	60.5313	52.7711	8754
2.45134e-05	8.50802e-05	5.32211e-06	2.95671e+09	1.24231e+08	0.000666802	8.46303e-05	-0.000273125	7.99587e-05	-1.95592e-05	7.5088e-05	-0.000157592	0.000323626	0.000147581	0.00121755	-0.00036615	0.000757788	-120.569	104.995	8857
2.46466e-05	8.07798e-05	3.67036e-06	3.1281e+09	1.23191e+08	0.000752405	7.74807e-05	-0.000248053	8.03632e-05	2.76745e-05	7.60452e-05	3.26331e-05	0.000342753	-0.00101506	0.00117957	0.00124083	0.0007408	-286.679	260.777	8841
2.47805e-05	0.000104226	1.62926e-05	3.07693e+09	1.26663e+08	0.000638399	8.1991e-05	-0.000381393	0.00010219	-0.000109343	7.96907e-05	0.000506535	0.000321171	-6.21377e-05	0.00125263	0.0022517	0.000665912	-263.143	119.871	8856
2.49151e-05	0.000135047	3.59284e-05	3.1879e+09	1.29784e+08	0.000741748	9.50863e-05	-0.000143427	0.000116304	-2.14612e-05	8.98549e-05	0.000396029	0.000317768	-5.07912e-05	0.0011304	0.00194178	0.000786056	-193.798	165.027	8808
2.50505e-05	8.50606e-05	4.87433e-06	3.11459e+09	1.25603e+08	0.000664323	8.39256e-05	-0.000202069	8.0852e-05	7.01481e-05	7.43916e-05	0.000699862	0.000382134	0.000686767	0.00116228	0.000803073	0.000590927	-0.210042	112.852	8894
2.51866e-05	0.00010883	2.07817e-05	3.14488e+09	1.27251e+08	0.000730786	8.47128e-05	-0.000113914	0.000105616	3.52082e-05	7.90198e-05	-6.42728e-05	0.000329872	0.00156321	0.00120499	-0.000247981	0.000789263	-5.47707	123.291	8850
2.53234e-05	9.54295e-05	1.28387e-05	3.18024e+09	1.28774e+08	0.000879337	9.15778e-05	-0.00034872	8.11671e-05	-6.0221e-05	8.09661e-05	-4.81356e-05	0.000267987	-0.000250995	0.0011327	0.000286431	0.000628498	-463.526	244.183	8841
2.5461e-05	0.000104626	1.44961e-05	2.95492e+09	1.20895e+08	0.000719994	8.63042e-05	-0.000287959	8.82531e-05	-2.26653e-05	9.20564e-05	7.6831e-05	0.000261033	0.00295147	0.00133258	0.000868169	0.000649887	-118.258	81.9573	8816
2.55994e-05	8.62866e-05	4.0946e-06	3.05031e+09	1.24065e+08	0.000699491	8.42051e-05	-0.000301855	8.3101e-05	1.0824e-06	7.44262e-05	0.000795018	0.000346905	6.6038e-05	0.00108353	3.84553e-05	0.000601442	-205.266	84.262	8824
2.57384e-05	8.8618e-05	6.9199e-06	3.10378e+09	1.26674e+08	0.000765698	8.37257e-05	-0.000258394	8.9073e-05	0.000153466	7.19262e-05	-0.000115337	0.000349504	-0.0020875	0.00123911	0.000818369	0.000653429	-23.0904	99.2798	8795
2.58783e-05	8.50834e-05	6.57235e-06	3.19387e+09	1.29397e+08	0.000632348	8.23366e-05	-0.000225115	8.14673e-05	-0.000123986	7.68113e-05	0.000110144	0.000286862	-0.000388182	0.000921971	0.000209414	0.000639956	80.2768	151.467	8805
2.60189e-05	0.000106407	1.4613e-05	3.06193e+09	1.26106e+08	0.000553851	8.3419e-05	-0.000351546	9.75695e-05	-4.27387e-05	8.79111e-05	-0.000230179	0.000184293	-0.00103933	0.000898293	0.00034838	0.000639739	-93.4546	115.452	8790
2.61603e-05	9.12991e-05	1.15669e-05	3.23391e+09	1.27375e+08	0.000650725	8.81839e-05	-0.000314592	8.65022e-05	-8.22144e-06	7.48396e-05	-0.000557308	0.00028248	0.000774904	0.00120847	0.0016213	0.00062902	9.77305	39.8237	8747
2.63024e-05	9.25599e-05	1.0989e-05	3.10309e+09	1.25489e+08	0.00067885	9.00425e-05	-0.000194142	8.60234e-05	5.66491e-05	7.45875e-05	-0.000402871	0.000237665	0.000830011	0.00101991	0.00152776	0.000801793	-161.565	111.031	8780
2.64453e-05	9.01906e-05	6.60831e-06	2.93743e+09	1.2204e+08	0.000752979	8.69168e-05	-0.000192075	8.54087e-05	6.98939e-05	7.50288e-05	-9.85175e-05	0.000314291	0.00285062	0.000903718	0.00013164	0.000550262	-276	184.687	8798
