# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 2535.36
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
4.995e-05	0.000311371	1.45866e-05	358.334	0.220244	0.0015863	0.000218046	0.00110125	0.000210089	-0.000258541	0.000179842	1.22042e-05	8.38416e-06	3.0449e-06	1.76183e-05	0.000373643	1.7162e-05	-0.305567	0.0357996	5003
5.02214e-05	0.000304129	1.23317e-05	358.57	0.279284	0.00126414	0.000207659	0.000514132	0.000209525	0.000370397	0.000185116	-1.79385e-05	8.37096e-06	-3.66301e-06	1.68622e-05	0.000369446	2.04246e-05	-0.217754	0.03375	5011
5.04943e-05	0.000300105	1.48071e-05	359.16	0.487328	0.00179961	0.000211721	0.00121333	0.000205357	1.68266e-05	0.000181147	-7.83472e-06	7.43765e-06	-1.06245e-05	1.88372e-05	0.000378439	1.90466e-05	-0.218729	0.032435	4983
5.07687e-05	0.000327661	1.70769e-05	358.66	0.278868	0.0014788	0.000219979	0.000384232	0.000212783	2.66912e-05	0.000190749	-9.99441e-06	1.06315e-05	-4.30303e-05	2.63785e-05	0.000383856	2.46023e-05	-0.222864	0.0441885	5033
5.10445e-05	0.000306545	1.29369e-05	358.551	0.211363	0.00148415	0.000214205	0.000864693	0.000200915	0.000293482	0.000183056	-6.33199e-06	8.0442e-06	8.36743e-07	2.99453e-05	0.000391009	2.23664e-05	-0.239232	0.0322869	5107
5.13218e-05	0.000297182	1.11079e-05	358.72	0.261204	0.00160677	0.000211211	0.000657003	0.000195831	0.000161173	0.000182771	1.37702e-05	8.32011e-06	-6.27306e-06	1.51778e-05	0.000357682	1.72134e-05	-0.243368	0.0293579	5095
5.16007e-05	0.000307792	1.29432e-05	358.295	0.206971	0.00121368	0.000206473	0.000802748	0.000209756	-6.30921e-05	0.000196755	8.49203e-06	8.70563e-06	-2.53372e-05	1.45368e-05	0.000344785	1.52941e-05	-0.231913	0.0319115	4907
5.1881e-05	0.000294849	1.36242e-05	358.844	0.256511	0.00152346	0.000204409	0.000415328	0.000204372	-0.000125501	0.000184733	-7.16704e-06	1.91623e-05	1.87872e-05	2.75926e-05	0.000333778	1.59211e-05	-0.195749	0.0370532	5003
5.21629e-05	0.000303332	1.21255e-05	358.507	0.212486	0.00155102	0.000218281	0.000509908	0.000197115	-0.000395372	0.000183369	1.77379e-05	8.22351e-06	7.97433e-06	1.88288e-05	0.00037076	1.86589e-05	-0.198985	0.0323592	5040
5.24463e-05	0.000311154	1.25214e-05	358.487	0.238074	0.00151598	0.000217272	0.000519006	0.000203491	-1.50791e-05	0.000191724	-6.19744e-06	8.59793e-06	5.23689e-06	1.69264e-05	0.000359828	1.63994e-05	-0.262807	0.0338832	4956
5.27313e-05	0.000332874	3.0489e-05	358.539	0.223212	0.00128773	0.000228795	0.000592039	0.000210971	-0.000199063	0.000195249	1.06104e-05	9.67413e-06	-1.03874e-05	1.64513e-05	0.000368256	3.07745e-05	-0.297582	0.0889248	4929
5.30178e-05	0.000314675	1.29498e-05	358.28	0.216153	0.00166954	0.000211067	0.000518698	0.000212786	-9.15067e-05	0.000190301	1.00903e-05	7.86336e-06	-1.65947e-06	1.50274e-05	0.000364838	1.51861e-05	-0.241851	0.0313694	4982
5.33058e-05	0.000310006	1.29086e-05	358.456	0.221799	0.00169684	0.000213768	0.000778304	0.00019769	-0.000164482	0.000192664	-6.5097e-07	7.86619e-06	-6.20257e-06	1.53987e-05	0.000385289	1.8327e-05	-0.211241	0.0335256	5071
5.35955e-05	0.000310108	1.13943e-05	358.297	0.214788	0.00163074	0.000219808	0.000625833	0.000205398	0.000267815	0.000183084	-2.15015e-06	8.08056e-06	-1.59792e-05	1.83417e-05	0.000376228	1.78929e-05	-0.291894	0.0329853	4989
5.38867e-05	0.000312108	1.60112e-05	358.566	0.21443	0.00138675	0.000220022	0.000617912	0.000202081	0.000140149	0.000191759	-1.20739e-05	8.6637e-06	5.23011e-05	3.66557e-05	0.000353696	2.14455e-05	-0.137931	0.0527185	4948
5.41794e-05	0.000289292	1.01957e-05	358.382	0.207218	0.00155813	0.000206459	0.000840995	0.000202299	9.64216e-05	0.000179483	3.43993e-06	7.85516e-06	-2.57043e-06	1.63902e-05	0.000350528	1.4381e-05	-0.237163	0.030247	4985
5.44738e-05	0.000309767	1.4627e-05	358.24	0.202121	0.00109939	0.000205564	0.000484151	0.000214145	5.1924e-06	0.000189309	7.71656e-06	9.24514e-06	-6.3782e-06	1.86862e-05	0.000377372	1.68143e-05	-0.238839	0.0352654	5000
5.47698e-05	0.000304088	1.31427e-05	358.965	0.420972	0.00139149	0.000217089	0.000674029	0.000202116	-3.35379e-05	0.000184665	-5.6179e-06	1.06698e-05	-1.48334e-06	1.96307e-05	0.000379668	2.30469e-05	-0.181854	0.0389001	4976
5.50674e-05	0.000317446	1.32904e-05	358.257	0.226212	0.00149848	0.000216578	0.00052763	0.000216462	-2.60903e-05	0.000188937	-1.20316e-05	7.61948e-06	8.62662e-06	1.49331e-05	0.000358701	1.6302e-05	-0.247468	0.0323622	4898
5.53665e-05	0.00030232	1.16979e-05	358.469	0.213012	0.00168181	0.000207807	0.000883811	0.000197877	0.000161194	0.000194086	-9.57401e-06	7.92071e-06	-1.5085e-05	1.65023e-05	0.000367584	1.82284e-05	-0.261682	0.0312619	5022
5.56674e-05	0.000317946	1.68292e-05	359.005	0.458133	0.00133719	0.000209908	0.000504018	0.000218134	4.3309e-05	0.00018867	-7.92421e-06	8.25926e-06	-2.5443e-06	1.80166e-05	0.00039571	2.93968e-05	-0.302662	0.0573135	4995
5.59698e-05	0.000322941	1.64262e-05	358.259	0.218146	0.00151818	0.000210052	0.00042933	0.00022263	0.000133228	0.000186617	-1.66101e-06	7.77333e-06	1.23281e-05	1.7248e-05	0.000379026	1.73002e-05	-0.208294	0.0299829	5020
5.62739e-05	0.000351505	2.58109e-05	358.931	0.46099	0.00163644	0.000218588	0.000666963	0.000213661	-0.000162639	0.000214552	-1.60153e-05	1.79795e-05	-3.31136e-05	3.10465e-05	0.000425702	4.15561e-05	-0.208664	0.0816984	5031
5.65797e-05	0.000315192	1.40134e-05	358.783	0.239876	0.00159278	0.000225941	0.000813444	0.000206551	7.78654e-05	0.000181758	-5.58651e-07	8.64166e-06	4.96109e-06	1.65013e-05	0.000390583	1.76042e-05	-0.204014	0.0317547	4962
5.68871e-05	0.000328211	1.61342e-05	358.158	0.20849	0.00120804	0.000225511	0.000923511	0.000219016	0.000183549	0.000179778	-2.52161e-06	7.90928e-06	-1.31223e-05	1.42976e-05	0.000379398	1.73648e-05	-0.236526	0.0357637	5001
5.71962e-05	0.000302433	1.23881e-05	358.487	0.219251	0.00152397	0.00021472	0.000664018	0.000200991	4.54704e-05	0.000183156	8.9151e-06	8.54082e-06	5.19103e-06	1.69824e-05	0.000365233	1.88584e-05	-0.176516	0.0355826	5030
5.75069e-05	0.00029423	1.11078e-05	358.567	0.217438	0.00106721	0.000207078	0.000692854	0.000198204	0.000165653	0.000183299	-4.22258e-06	9.22949e-06	-1.66577e-05	1.75474e-05	0.000368655	1.71123e-05	-0.18477	0.0322624	5084
5.78194e-05	0.000290128	1.02541e-05	359.05	0.479167	0.00137095	0.000206252	0.00068247	0.00020096	-0.00040488	0.000180891	-2.67317e-06	8.39382e-06	1.02912e-05	1.59988e-05	0.000377545	1.8039e-05	-0.189563	0.0317983	5011
5.81335e-05	0.000325244	1.382e-05	358.275	0.214917	0.00153051	0.000220093	0.000288807	0.000208878	-9.04933e-06	0.000195298	1.40018e-05	8.31977e-06	-1.81849e-05	1.724e-05	0.000363232	1.73695e-05	-0.214864	0.0372842	4991
5.84494e-05	0.00032935	1.47246e-05	358.118	0.277799	0.00209495	0.000223485	0.000867594	0.000208062	-0.000253502	0.000193024	-2.19522e-06	9.37186e-06	5.81392e-06	2.21643e-05	0.000373488	2.07171e-05	-0.329985	0.0404621	5022
5.87669e-05	0.000317212	1.47884e-05	358.413	0.204828	0.00160335	0.000211586	0.000611605	0.000215017	0.00021088	0.000187802	-8.43952e-06	8.57907e-06	-1.52073e-05	1.4392e-05	0.00036932	1.58022e-05	-0.202438	0.0317568	5015
5.90862e-05	0.000316674	1.22352e-05	358.063	0.211917	0.00148597	0.000208097	0.000771472	0.000216283	0.00025456	0.000186919	2.02856e-06	8.58316e-06	2.80554e-05	1.92305e-05	0.0003662	1.49921e-05	-0.261538	0.0290066	5058
5.94073e-05	0.000294968	1.44678e-05	358.976	0.278562	0.00122525	0.000202266	0.000871941	0.000205413	-0.000199629	0.000185717	-1.29844e-06	7.58712e-06	1.26257e-06	1.57757e-05	0.000375636	2.13917e-05	-0.204305	0.0391217	5012
5.973e-05	0.000309494	1.51267e-05	358.922	0.309408	0.00169091	0.000216911	0.000726569	0.000198724	-0.000252282	0.000188324	1.73573e-05	1.00245e-05	1.83285e-05	1.55782e-05	0.000371303	2.24331e-05	-0.269917	0.0366196	5060
6.00546e-05	0.000325128	1.3037e-05	358.365	0.248653	0.00170005	0.000216096	0.000479467	0.000211345	-0.000501103	0.000194813	7.14122e-06	8.48162e-06	4.2511e-05	1.64535e-05	0.000383504	1.944e-05	-0.246838	0.0398378	5017
6.03808e-05	0.000333922	1.45161e-05	358.338	0.219865	0.00152321	0.000219443	0.000957945	0.000216137	-0.000210581	0.000191202	-3.1879e-06	1.34482e-05	1.99102e-05	3.25013e-05	0.000404896	2.45052e-05	-0.210185	0.0403704	5071
6.07089e-05	0.000304591	1.33684e-05	358.776	0.370018	0.00125079	0.000209036	0.00073824	0.000202961	-0.000279375	0.000187933	1.92878e-05	8.36811e-06	1.43714e-05	1.96792e-05	0.000364642	1.69771e-05	-0.203579	0.0344802	5065
6.10388e-05	0.000317471	1.58298e-05	358.544	0.207421	0.00120485	0.000223295	0.000752283	0.000209695	-0.000178102	0.000184012	8.72104e-06	7.65068e-06	1.23886e-05	1.73224e-05	0.000375049	2.07689e-05	-0.171794	0.0372402	4971
6.13704e-05	0.00030782	1.11275e-05	358.882	0.351331	0.0016997	0.000215545	0.000822179	0.000211595	0.000340966	0.000178978	-2.44312e-05	8.5049e-06	1.40563e-05	2.42573e-05	0.000398616	2.02562e-05	-0.244245	0.0312118	4980
6.17038e-05	0.000332661	1.7527e-05	358.814	0.381271	0.00128413	0.000217749	0.000651983	0.000222284	4.80886e-05	0.000193433	6.31671e-06	1.10634e-05	1.20464e-05	1.99324e-05	0.000389933	1.81335e-05	-0.264951	0.0356324	4955
