# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 265609
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
7.05695e-05	0.000927083	5.55794e-05	12695	552.865	0.00111371	0.000337109	-0.000304912	0.000341968	0.000531072	0.000307381	0.000288956	0.000168898	-0.000290136	0.000450937	0.000585912	0.000213219	-0.618985	1.34893	5710
7.0953e-05	0.00121945	0.000253955	12731.3	559.632	0.00130711	0.000400491	-0.000787253	0.000405008	0.000250303	0.000323712	1.00786e-05	0.000488186	6.02704e-05	0.00051404	0.00147712	0.000510084	-7.78883	6.78003	5685
7.13385e-05	0.00105838	7.79208e-05	12856	551.423	0.00219541	0.000359423	-0.00102484	0.000359468	0.000142137	0.000343813	-0.000255863	0.000280157	-0.000140421	0.000378401	0.000460881	0.000344695	0.481067	4.67123	5615
7.17261e-05	0.00109088	9.55175e-05	12264.7	545.662	0.00123119	0.000370958	0.000272606	0.00037478	-0.000357501	0.000321403	-0.000146109	0.00028672	0.000235087	0.000530668	0.00074268	0.000280207	-10.8834	9.5986	5726
7.21158e-05	0.000952663	5.67154e-05	12529.5	557.009	0.00139213	0.000340356	0.000266897	0.00035343	-0.000333452	0.000312282	-0.000306647	0.000340614	-1.52887e-05	0.000395028	0.00057292	0.000253232	-2.48118	2.03152	5637
7.25076e-05	0.000885723	4.19419e-05	13078.3	578.124	0.00166308	0.000346827	0.000138085	0.000340283	-2.1742e-05	0.000288123	0.000260272	0.000329162	-0.000668923	0.00057993	0.00116103	0.000372484	-13.4598	5.67932	5554
7.29015e-05	0.000949662	6.28363e-05	13009.2	568.299	0.00146864	0.000338671	-9.35567e-05	0.000353413	4.67055e-05	0.000303062	2.08641e-05	0.000250457	0.000409082	0.000527454	0.000910668	0.000277581	-0.840815	1.77731	5735
7.32976e-05	0.000962014	6.71151e-05	11634.2	530.088	0.00139788	0.000341466	-0.0004263	0.000360325	-0.000915217	0.000306767	0.000268527	0.000397065	-2.22788e-05	0.000485065	0.000860272	0.000210518	2.80215	2.71939	5652
7.36959e-05	0.00114244	0.000190076	12727.5	558.566	0.000655119	0.000393597	-0.000317284	0.00035642	-0.00023699	0.000346327	0.000398681	0.000404182	0.000180126	0.000300369	0.00126025	0.000246335	-2.01059	6.62078	5693
7.40963e-05	0.000962375	5.52656e-05	12278	546.915	0.00144226	0.000362031	-0.000118409	0.00033423	6.07975e-05	0.00031258	-0.00035718	0.000213011	2.56907e-05	0.000272249	0.00107099	0.000233611	-2.36615	3.08235	5658
7.44989e-05	0.000940661	6.35402e-05	13433.9	584.394	0.00209875	0.000335881	-0.000320493	0.000350399	0.00068647	0.000310474	-0.000222734	0.000352482	0.000864545	0.00056465	0.000343583	0.000358916	-5.52424	4.291	5663
7.49036e-05	0.00120331	0.000145351	12253.5	532.961	0.00184499	0.000404744	0.000511036	0.000381194	-0.000316898	0.000334422	-0.00047159	0.000406132	-0.000502666	0.000518687	0.00102173	0.000351207	-1.35359	3.4356	5717
7.53106e-05	0.00105013	8.1459e-05	12036.7	543.778	0.00209349	0.00035267	-0.000742376	0.000360561	0.000101717	0.000333923	-0.000356772	0.000327907	-0.000258364	0.000456738	0.00115177	0.000342926	-7.90909	5.5226	5737
7.57198e-05	0.000912381	4.91113e-05	12545.8	558.062	0.000939494	0.000355765	-0.000218393	0.000330321	-0.000329294	0.000299945	5.99654e-05	0.000316669	-0.000300043	0.000354536	0.000298734	0.000250206	-2.15748	2.15366	5612
