# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 3678.38
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000790569	0.1112	0.00278168	450.001	5.65695	-0.00195111	0.00349583	0.0010079	0.00346336	-0.00204887	0.00297056	-0.00501658	0.00368166	-0.00641747	0.00455477	0.107918	0.00327741	-1.01062	0.126221	6736
0.000794865	0.115444	0.00286211	447.709	5.61589	-0.00434277	0.00354945	0.00195549	0.00355556	-0.00181019	0.00303403	0.00061437	0.00361421	-0.0031901	0.0045732	0.110162	0.00334144	-1.24215	0.133877	6707
0.000799183	0.110383	0.00272437	447.831	5.51979	-0.00334365	0.00350509	0.00422607	0.0034597	0.00567354	0.00296648	0.00078337	0.00372936	0.00325164	0.00472501	0.106078	0.00326771	-0.662593	0.12571	6682
0.000803526	0.114634	0.00284393	448.449	5.67898	-0.00523591	0.00352726	0.00788494	0.00352233	0.00298671	0.00306049	0.00515738	0.00372652	0.00420726	0.00460365	0.112506	0.00336313	-1.1091	0.126121	6703
0.000807891	0.113351	0.00284048	442.327	5.56367	-0.000711259	0.00348589	0.000360935	0.00348453	0.00926306	0.00305379	-0.00407846	0.00354449	0.00378955	0.00448959	0.107182	0.00337497	-0.787125	0.126566	6746
0.000812281	0.115764	0.0028479	446.906	5.5371	0.00218238	0.00361016	-0.00160363	0.00356389	0.00238189	0.00301242	0.0019426	0.00373078	0.00584005	0.0046212	0.111436	0.00341573	-1.05342	0.129197	6656
0.000816694	0.108005	0.00279232	463.144	6.09466	-0.000484991	0.00348069	0.00136775	0.00341094	-0.00068173	0.00290266	-0.0037655	0.0035715	-0.000924037	0.00459186	0.102921	0.00326055	-1.24784	0.160644	6719
0.000821131	0.109371	0.00265235	455.299	5.77196	0.00115941	0.0033942	0.0015367	0.00346401	-0.0033351	0.00297459	-0.0040877	0.00372465	-0.00768256	0.00458431	0.105484	0.00324933	-1.15332	0.134736	6763
0.000825593	0.114385	0.00282415	453.93	5.77055	-0.00109266	0.00349466	0.00294862	0.003488	0.00546057	0.00304631	0.00428298	0.00357856	0.00383513	0.00465108	0.110668	0.00336806	-1.00097	0.126852	6801
0.000830078	0.121686	0.00293011	448.5	5.76956	0.00650471	0.00368137	0.00317018	0.00359337	0.000483753	0.00312125	-0.000713688	0.00369798	0.0029435	0.00477215	0.119387	0.00344897	-1.02325	0.131422	6725
0.000834588	0.113276	0.00287282	446.793	5.5683	-0.00483834	0.00353696	0.00180604	0.0035391	-0.00341593	0.00297165	0.00176196	0.00365901	0.00526511	0.00460509	0.108851	0.00327801	-1.1647	0.131206	6694
0.000839123	0.109431	0.00277647	450.519	5.75315	0.00656413	0.00341885	0.00247666	0.00350083	0.000141469	0.00302112	0.00269272	0.00376242	-0.00230434	0.00461296	0.105734	0.00325807	-0.957201	0.121345	6622
0.000843682	0.117557	0.00296041	446.184	5.59378	0.00256717	0.00352212	-0.000565829	0.00361555	0.00372044	0.00308524	0.00255371	0.00374515	0.000693185	0.00462087	0.111491	0.00347297	-0.757345	0.13021	6723
0.000848266	0.112048	0.00286013	457.129	5.89704	-0.0019272	0.00342748	-0.00270375	0.00352294	0.00567002	0.00298086	-0.00149524	0.00350277	0.000898067	0.00465441	0.105833	0.00325255	-0.905802	0.12808	6786
0.000852875	0.109987	0.00279998	453.421	5.66741	0.00185192	0.00342719	0.00172403	0.00344506	-0.00225884	0.00301782	0.00244411	0.00371891	-0.00300188	0.0045188	0.110386	0.00332236	-0.828224	0.130095	6728
