# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 3.76494e+08
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000790569	0.0800555	0.00200692	6.6919e+06	330569	4.5305e-05	0.00246385	0.000361221	0.00245218	-0.0014552	0.00209853	-0.00484413	0.00361422	0.00229577	0.00645453	0.0834072	0.00273127	0.168767	2.14317	9719
0.000794865	0.0824071	0.00205337	6.38059e+06	320119	-0.00258651	0.00249393	0.00119751	0.00249298	-0.00103903	0.0021331	-0.00447447	0.00355359	-0.00306519	0.0062784	0.0851565	0.00268975	3.50749	3.1301	9711
0.000799183	0.0789042	0.00197107	6.55705e+06	326025	-0.00317601	0.00245713	0.00263383	0.00241296	0.0034894	0.00209086	0.00196119	0.00379631	0.0126146	0.00635115	0.0821872	0.00268157	-5.99406	3.06797	9729
0.000803526	0.0820194	0.00204003	6.31505e+06	323191	-0.00318888	0.00247165	0.00529133	0.00247848	0.00242679	0.00215723	0.00578234	0.00358038	-0.00345373	0.00612717	0.0879602	0.00277932	-0.0187315	3.8999	9709
0.000807891	0.0810538	0.00204378	6.59802e+06	335647	-0.000838089	0.00246101	0.001503	0.00245297	0.00645735	0.0021529	-0.00619781	0.00350901	0.000178866	0.00598721	0.0827744	0.00276523	-1.57756	1.68761	9708
0.000812281	0.0823502	0.00204186	6.55645e+06	332726	0.00127777	0.00251679	-0.00163834	0.00248834	0.00246089	0.00209981	0.00302478	0.0036827	0.00252081	0.00617485	0.0853629	0.00275567	2.24255	3.14679	9733
0.000816694	0.0775435	0.00200183	6.55353e+06	336705	-0.000542001	0.00245533	0.000736223	0.00240044	-0.000841238	0.00204593	-0.00559031	0.00353486	0.00640511	0.00624041	0.0820248	0.00266613	-3.29712	3.31895	9716
0.000821131	0.0789675	0.00191867	6.39263e+06	323810	0.000927597	0.00240456	0.00128662	0.00245441	-0.00264251	0.00210863	-0.00712522	0.00359426	-0.00859202	0.00622238	0.0808258	0.00272443	-1.85154	0.91189	9726
0.000825593	0.082756	0.00204927	6.49334e+06	328509	-0.000905988	0.00248914	0.00203176	0.00247489	0.00410249	0.00216896	0.00251633	0.00352152	-0.00795245	0.00611629	0.0854163	0.00275766	2.42319	3.76975	9729
0.000830078	0.0868244	0.00211166	6.46693e+06	320620	0.0041664	0.00258448	0.00218925	0.00252618	0.000386442	0.00219584	-0.00728398	0.00368521	0.000864411	0.00618373	0.0862561	0.00275498	-3.30365	1.80454	9717
0.000834588	0.0804458	0.00204947	6.85748e+06	338030	-0.00327103	0.00246931	0.00069027	0.00247195	-0.00262826	0.00208555	0.00165362	0.00362893	-0.00475011	0.00620921	0.0858639	0.00274448	-4.51314	1.74646	9725
0.000839123	0.0776991	0.00197042	7.0116e+06	332117	0.00456885	0.00237532	0.00186021	0.00243119	0.000465489	0.00211787	0.00355518	0.00370787	0.00353138	0.00615081	0.0795624	0.00263794	-1.1416	1.6346	9697
0.000843682	0.0842621	0.00213574	6.6408e+06	333415	0.00195651	0.00247617	-0.00107136	0.00254643	0.00232093	0.00217061	0.00177717	0.00362155	3.76679e-06	0.00603039	0.0856367	0.00282839	-2.80933	2.86728	9734
0.000848266	0.0812015	0.0020713	6.40219e+06	326667	-0.00132952	0.00243894	-0.00240218	0.00250195	0.00372731	0.00211998	-0.00410531	0.00352865	-0.00618044	0.00624173	0.0804463	0.0026779	2.55111	2.04881	9731
0.000852875	0.0789689	0.00201204	6.87938e+06	343523	0.000740641	0.00241024	0.000599237	0.00243121	-0.00121106	0.00213482	-0.00143134	0.00367423	0.00387795	0.00605003	0.0817755	0.00267434	0.735322	1.06389	9712
0.000857509	0.0801996	0.00203053	6.6217e+06	328437	-0.0015559	0.00247823	-0.00282032	0.00245861	0.004283	0.00207293	-0.00071358	0.00347531	-0.00291727	0.00609533	0.0843326	0.00269921	-1.82231	1.73436	9738
0.000862168	0.081806	0.00200999	6.60922e+06	329210	0.000685411	0.0025137	-0.00165798	0.00246004	-0.000516263	0.0021155	-0.00316308	0.00374554	0.00630289	0.00620015	0.0893259	0.00275899	0.672175	1.22596	9721
