# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 673415
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000790569	0.0935137	0.00231537	24505.7	950.085	2.57355e-05	0.00287979	0.000471729	0.00286659	-0.00175712	0.0024534	-0.00585485	0.00366748	0.00141925	0.00577546	0.0957467	0.00296154	-0.779654	0.202867	8308
0.000794865	0.0962046	0.00236776	24059.2	937.832	-0.00296389	0.00291432	0.00146904	0.00291481	-0.00108866	0.00249131	-0.000947088	0.00359549	-0.00112086	0.00567489	0.0964801	0.00296448	1.75848	2.58545	8301
0.000799183	0.0925801	0.00228237	26019.6	1012.36	-0.00370554	0.00288466	0.00323632	0.00283305	0.00407501	0.00245429	0.00153744	0.00378816	0.0084465	0.00577251	0.0926508	0.00293601	-0.706397	0.36832	8282
0.000803526	0.096188	0.00236163	25612.1	995.096	-0.00384522	0.00290122	0.00609952	0.00290863	0.00283113	0.00253144	0.00757355	0.00367183	-0.00114891	0.00563705	0.100399	0.00301524	-1.12122	0.293198	8266
0.000807891	0.0948389	0.00236093	24133.7	946.832	-0.00111172	0.00288134	0.00162415	0.00287185	0.0076294	0.00251963	-0.00601267	0.00356201	0.00320704	0.00556646	0.0941708	0.00302494	-0.545927	0.215276	8288
0.000812281	0.0970083	0.00237274	24196.5	940.632	0.00138708	0.00296651	-0.00186189	0.00293393	0.00284755	0.00247469	-0.00155946	0.0037554	0.00572595	0.00560552	0.0977032	0.00301911	-0.663102	0.371066	8251
0.000816694	0.0906454	0.00231389	23589.3	923.322	-0.000610744	0.00287235	0.000922426	0.00281023	-0.00109201	0.00239311	-0.00398367	0.00351472	0.00366908	0.0055526	0.0916215	0.00293533	-1.06418	0.252905	8295
0.000821131	0.0919843	0.00220599	24455.2	952.072	0.00102288	0.0028023	0.00142601	0.00286176	-0.00319304	0.0024586	-0.00605206	0.00368349	-0.0114815	0.00560562	0.0913141	0.00291757	-1.20174	0.379977	8336
0.000825593	0.0967917	0.00236584	24255.7	969.148	-0.000968645	0.00291371	0.00243415	0.0028969	0.00476187	0.00253748	0.00179997	0.00357719	-0.00381017	0.00571602	0.0962981	0.00303398	-1.20597	0.323643	8307
0.000830078	0.102334	0.00245288	23148.3	931.034	0.004901	0.00304792	0.00248773	0.0029792	0.000557702	0.00258916	-0.00301139	0.00364167	-0.00207143	0.00553992	0.102891	0.00305282	-0.942639	0.251104	8235
0.000834588	0.0945348	0.00237743	26006.6	1001.09	-0.00381446	0.00290336	0.000927386	0.00290635	-0.00286359	0.0024519	-0.00196018	0.00355971	-0.00144792	0.00577085	0.0975617	0.00298484	-1.22662	0.259457	8267
0.000839123	0.0920771	0.00230461	23915.1	939.723	0.0052911	0.00281824	0.0021135	0.00288405	0.000708856	0.0025116	0.00439902	0.00372685	-0.00287966	0.00565814	0.0915925	0.00290517	-0.96078	0.281102	8166
0.000843682	0.0989536	0.00247543	23863.4	929.191	0.00213815	0.00290905	-0.00133345	0.00299185	0.00264929	0.00255034	0.00363105	0.00374702	0.000598802	0.00564204	0.0980171	0.00310143	-0.977694	0.239559	8281
0.000848266	0.0946268	0.00238488	24122.7	945.831	-0.00169502	0.00284387	-0.00272034	0.00291712	0.00448091	0.0024717	-0.00328469	0.0035834	-0.00289872	0.00564192	0.0913797	0.00292686	-1.07424	0.27259	8341
0.000852875	0.0931524	0.00234215	22367.6	934.597	0.000896187	0.00284478	0.000658035	0.00286984	-0.00156706	0.00251907	3.47395e-05	0.00369129	-0.000443558	0.00534936	0.0952818	0.00297	-0.536708	0.183426	8224
0.000857509	0.094173	0.00235516	24432	929.567	-0.00197526	0.0029114	-0.0032177	0.00289129	0.00520624	0.00243664	0.000988368	0.00349467	-0.00796956	0.00559108	0.0971142	0.00293764	-1.10928	0.302762	8276
0.000862168	0.0961862	0.00233129	22249.4	870.288	0.000788285	0.00295998	-0.00201122	0.00289651	-0.000502457	0.00248732	0.00154049	0.00381141	-0.00208368	0.00567657	0.101947	0.00302907	-0.753005	0.262564	8250
0.000866852	0.096525	0.00238483	25081.7	981.865	0.000104159	0.00292771	0.0011934	0.00293975	0.00066662	0.00251135	0.000146219	0.00356887	-0.00337296	0.00573857	0.0958783	0.00303602	-1.45788	0.565552	8215
0.000871562	0.0937517	0.00227468	23821.4	933.22	0.000460873	0.00288686	-0.0013072	0.00288394	-0.00220636	0.00242049	0.0023252	0.00376153	0.000858971	0.00565251	0.0919941	0.00295074	-1.04237	0.222257	8337
0.000876297	0.0946862	0.00233583	22406.8	901.867	0.0097651	0.00290081	0.00306926	0.00284949	0.00234677	0.00249329	-0.00238932	0.00360754	0.000540617	0.00538046	0.0969018	0.00300102	-1.15369	0.301594	8327
0.000881058	0.0954311	0.00240047	22488.6	879.692	0.00455046	0.00293691	-0.00222784	0.0028887	-0.000312615	0.00246793	-0.000554452	0.00369831	-0.00287457	0.00570184	0.0947832	0.00291539	-0.689271	0.258187	8283
0.000885845	0.0905225	0.00217854	23764.3	911.556	-0.00135357	0.00286459	-0.000717653	0.00276825	0.0064603	0.00242176	-0.00460072	0.00364826	-0.00681378	0.00549657	0.0937251	0.00291408	-1.39597	0.496502	8336
0.000890658	0.0979251	0.00237467	23717.2	923.34	-0.00107836	0.00291177	0.000418517	0.00297094	0.00538302	0.00247315	0.000154335	0.00369025	-0.00883238	0.00569203	0.0986811	0.00296846	-0.648534	0.360974	8368
0.000895498	0.0966908	0.00229763	22282.7	890.401	0.00178071	0.00294164	0.000456553	0.00288961	0.00374573	0.00251182	-0.00198023	0.00364865	-0.00125413	0.0056194	0.0967089	0.00302853	-1.22455	0.271792	8302
0.000900363	0.0925526	0.00225574	23741.7	939.987	-0.00412982	0.0028734	0.00182552	0.00285535	0.000479355	0.00244675	-0.00726236	0.00368295	-0.00665259	0.00561876	0.0943652	0.00293416	-1.47554	0.4062	8272
0.000905255	0.0945237	0.00235334	23992.1	950.152	-0.00113469	0.00289542	-0.00628903	0.00289877	0.00342355	0.0024827	-0.00560342	0.0036673	0.00746363	0.0056321	0.0948751	0.00296236	-0.326503	0.207496	8243
0.000910173	0.0947775	0.00232417	22905.8	892.213	-0.00268528	0.00296335	0.000196779	0.00287923	-0.00165291	0.00239662	0.00398757	0.00363447	-0.00332623	0.00568046	0.101171	0.00298614	-0.800547	0.248541	8316
0.000915119	0.0872152	0.00219323	22344.2	875.546	0.00191289	0.00275186	-0.000574237	0.00274255	-0.00211274	0.00244531	-0.002885	0.00363127	9.41335e-05	0.00547782	0.0890745	0.00289676	-0.264455	0.600906	8285
0.000920091	0.098204	0.00242752	22953	909.452	0.00178056	0.00293863	0.00218877	0.00294342	0.000695598	0.00251452	0.00482343	0.00365747	0.00613354	0.00555291	0.0913783	0.00293768	-1.45087	0.364742	8322
0.00092509	0.0995609	0.00241771	23517.6	944.828	0.00375111	0.00301853	-0.00105537	0.00291274	0.00217883	0.00257272	0.00224823	0.00363441	0.00602101	0.0055345	0.0982394	0.0029518	-1.26381	0.304444	8230
0.000930116	0.0949993	0.0022929	22335.5	876.561	-0.000373838	0.00285786	0.00141988	0.00291427	0.00351475	0.00251586	-0.00186095	0.00374908	-0.00269677	0.00581043	0.0947304	0.00295786	-0.526463	0.22505	8272
0.00093517	0.0949626	0.00232027	22901.7	918.518	0.0014165	0.00288422	-0.00211129	0.00290853	7.44207e-05	0.00248552	0.00432121	0.00367147	0.00579074	0.00566607	0.0935283	0.00294173	-1.14267	0.2642	8281
0.000940251	0.0933376	0.00224966	24959.6	966.15	0.00190034	0.00289102	0.00246536	0.00286558	0.00258258	0.00245729	0.00383916	0.00370769	0.00560247	0.00558662	0.0986975	0.0030717	-1.27664	0.280286	8265
0.000945359	0.0957278	0.00239155	25207.5	959.692	3.68051e-06	0.00294303	0.000697954	0.0028514	0.00116812	0.00249487	0.00527443	0.00363858	-5.92008e-05	0.00581106	0.0920255	0.0029096	-0.722585	0.229792	8326
0.000950495	0.0955594	0.00236647	23261.2	910.855	0.000394196	0.00289964	-0.00346058	0.0029117	0.00486481	0.00244765	0.00171983	0.00371516	0.00213839	0.00570889	0.0975871	0.00302328	-0.919991	0.246837	8361
