# T_max = 1000000000.0
# q            H            sH           K            sK           Px            sPx           Py            sPy           Q             sQ
1.000000e-04 2.275773e+01 5.380933e-01 1.733358e-01 2.902923e-01 -2.961533e-01 7.442549e-03 1.276526e-01 3.917302e-03 -1.127565e+02 6.694573e+00
2.000000e-04 2.273483e+01 3.318106e-01 1.473069e+00 1.934510e-01 -2.827000e-01 4.793747e-03 1.245550e-01 3.046113e-03 -1.331645e+02 6.599809e+00
5.000000e-04 2.286777e+01 3.286797e-01 1.219284e+00 1.059999e-01 nan nan nan nan -1.256460e+02 5.272800e+00
1.000000e-03 2.212140e+01 2.310518e-01 9.212732e-01 6.675360e-02 -2.705592e-01 3.731593e-03 1.067250e-01 2.699664e-03 -9.142610e+01 3.301980e+00
2.000000e-03 2.171537e+01 1.722389e-01 7.515988e-01 4.136906e-02 -2.638295e-01 3.232247e-03 9.595056e-02 2.590592e-03 -5.276580e+01 1.910970e+00
5.000000e-03 2.066668e+01 1.086848e-01 5.134929e-01 2.225337e-02 -2.674487e-01 2.904121e-03 8.639000e-02 2.566407e-03 -2.714182e+01 8.796644e-01
1.000000e-02 2.013398e+01 8.291625e-02 3.927919e-01 1.389503e-02 -2.616800e-01 2.787729e-03 6.551111e-02 2.581462e-03 -1.539392e+01 5.672929e-01
2.000000e-02 1.944993e+01 6.451203e-02 2.875459e-01 8.811655e-03 -2.450601e-01 2.745622e-03 3.487333e-02 2.609576e-03 -9.348260e+00 3.099572e-01
5.000000e-02 1.856363e+01 4.675723e-02 2.239608e-01 5.079282e-03 -2.218089e-01 2.748958e-03 -8.120801e-03 2.659740e-03 -4.594300e+00 2.997211e-01
1.000000e-01 1.790583e+01 3.717999e-02 1.871186e-01 3.524395e-03 -1.965796e-01 2.761017e-03 -3.752694e-02 2.695047e-03 -2.874118e+00 7.168377e-02
2.000000e-01 1.739847e+01 3.060395e-02 1.553627e-01 2.607055e-03 -1.671200e-01 2.777192e-03 -4.537677e-02 2.718369e-03 -1.804427e+00 5.745335e-02
3.000000e-01 1.715851e+01 2.821507e-02 1.371048e-01 2.263954e-03 -1.287865e-01 2.784642e-03 -3.723954e-02 2.729128e-03 -1.471428e+00 1.092848e-01
4.000000e-01 1.696954e+01 2.656396e-02 1.298928e-01 2.092288e-03 -1.024389e-01 2.793419e-03 -2.258768e-02 2.736311e-03 -1.338976e+00 4.843609e-02
5.000000e-01 1.684796e+01 2.575334e-02 1.198237e-01 1.993860e-03 -8.059799e-02 2.800225e-03 -1.359344e-02 2.742130e-03 -1.180416e+00 1.509775e-01
6.000000e-01 1.678925e+01 2.542361e-02 1.156791e-01 1.939236e-03 -6.060440e-02 2.800915e-03 -6.163815e-03 2.748007e-03 -1.364492e+00 4.458666e-02
7.000000e-01 1.677532e+01 2.508342e-02 1.134436e-01 1.896701e-03 -3.591565e-02 2.800289e-03 9.006504e-05 2.746872e-03 -1.232895e+00 2.154441e-02
8.000000e-01 1.668683e+01 2.489726e-02 1.121060e-01 1.881397e-03 -2.838844e-02 2.807765e-03 -2.014661e-03 2.756438e-03 -1.229744e+00 3.315971e-02
9.000000e-01 1.668871e+01 2.474220e-02 1.104103e-01 1.867320e-03 -1.247037e-02 2.807281e-03 4.529190e-04 2.752922e-03 -1.215491e+00 6.471435e-02
1.000000e+00 1.669679e+01 2.474988e-02 1.054577e-01 1.858568e-03 -3.947106e-03 2.808378e-03 3.761597e-03 2.750446e-03 -1.186665e+00 1.983677e-02
