# Results using Bonetti's 3rd stopping condition (our code)
# a/a_h = 0.1, e = 0.6
# q            H            sH           K            sK
1.000000e-04 1.696665e+01 1.213526e-01 -5.780149e-01 1.807532e-02
1.000000e-04 1.696665e+01 1.213526e-01 -5.780149e-01 1.807532e-02
5.000000e-04 1.690418e+01 6.484384e-02 -4.700672e-01 1.626144e-02
1.000000e-03 1.721327e+01 7.773161e-02 -4.190804e-01 1.685079e-02
3.000000e-03 1.888464e+01 9.928719e-02 -1.240920e-01 1.906468e-02
5.000000e-03 2.003587e+01 1.079465e-01 8.331136e-02 1.595389e-02
1.000000e-02 2.015380e+01 8.933806e-02 1.805432e-01 1.130404e-02
5.000000e-02 1.872207e+01 4.712645e-02 1.961240e-01 4.872358e-03
1.000000e-01 1.802843e+01 3.724931e-02 1.802008e-01 3.468924e-03
1.000000e+00 1.672361e+01 2.477039e-02 1.092929e-01 1.858828e-03
