# H and K (a/a_h = 0.1) at Tmax(q) = 8*(1+q)^3/q^1.5 * 1e10/49076
# Interpolated in log(Tcut), no interpolation in q
# q            Tmax         H            sH           K            sK           flag
1.000000e-04 1.630614e+12 2.133912e+01 4.932774e-01 2.165324e+00 3.629621e-01 1
2.000000e-04 5.766820e+11 2.164625e+01 3.160048e-01 2.591988e+00 2.266258e-01 1
5.000000e-04 1.460216e+11 2.222160e+01 3.213056e-01 1.516108e+00 1.143506e-01 1
1.000000e-03 5.170387e+10 2.174020e+01 2.282908e-01 1.008920e+00 6.934301e-02 0
2.000000e-03 1.833492e+10 2.151386e+01 1.712241e-01 7.616486e-01 4.207326e-02 0
5.000000e-03 4.680196e+09 2.060153e+01 1.085174e-01 5.152778e-01 2.237426e-02 0
1.000000e-02 1.679519e+09 2.011746e+01 8.288388e-02 3.931571e-01 1.390920e-02 0
2.000000e-02 6.116125e+08 1.946125e+01 6.452879e-02 2.871885e-01 8.805736e-03 0
5.000000e-02 1.687850e+08 1.859128e+01 4.678632e-02 2.236163e-01 5.070800e-03 0
1.000000e-01 6.861181e+07 1.793773e+01 3.720726e-02 1.869151e-01 3.517972e-03 0
2.000000e-01 3.149340e+07 1.743247e+01 3.062774e-02 1.551330e-01 2.601864e-03 0
3.000000e-01 2.179561e+07 1.719250e+01 2.823627e-02 1.369663e-01 2.259528e-03 0
4.000000e-01 1.768133e+07 1.700345e+01 2.658266e-02 1.298981e-01 2.088215e-03 0
5.000000e-01 1.556108e+07 1.688228e+01 2.577259e-02 1.197732e-01 1.990030e-03 0
6.000000e-01 1.436660e+07 1.682374e+01 2.544355e-02 1.155433e-01 1.935544e-03 0
7.000000e-01 1.367479e+07 1.680943e+01 2.510277e-02 1.133365e-01 1.893099e-03 0
8.000000e-01 1.328628e+07 1.672071e+01 2.491601e-02 1.119065e-01 1.877590e-03 0
9.000000e-01 1.309537e+07 1.672306e+01 2.476130e-02 1.102636e-01 1.863628e-03 0
1.000000e+00 1.304100e+07 1.673050e+01 2.476818e-02 1.053174e-01 1.854986e-03 0
