# H and K (a/a_h = 1.0) at Tmax(q)
# PCHIP-interpolated in log(q) from discrete datapoints
# q            H            sH           K            sK
1.000000e-04 1.718679e+01 2.353679e-01 1.272971e-01 3.524276e-01
1.047371e-04 1.718732e+01 2.313545e-01 1.780047e-01 3.419328e-01
1.096986e-04 1.718886e+01 2.278504e-01 2.272340e-01 3.315759e-01
1.148951e-04 1.719136e+01 2.248210e-01 2.746845e-01 3.213723e-01
1.203378e-04 1.719476e+01 2.222320e-01 3.200556e-01 3.113371e-01
1.260383e-04 1.719900e+01 2.200488e-01 3.630466e-01 3.014857e-01
1.320088e-04 1.720404e+01 2.182371e-01 4.033570e-01 2.918333e-01
1.382622e-04 1.720981e+01 2.167624e-01 4.406863e-01 2.823952e-01
1.448118e-04 1.721625e+01 2.155903e-01 4.747337e-01 2.731866e-01
1.516717e-04 1.722332e+01 2.146863e-01 5.051987e-01 2.642229e-01
1.588565e-04 1.723095e+01 2.140160e-01 5.317808e-01 2.555192e-01
1.663817e-04 1.723908e+01 2.135449e-01 5.541792e-01 2.470910e-01
1.742633e-04 1.724767e+01 2.132385e-01 5.720935e-01 2.389533e-01
1.825183e-04 1.725665e+01 2.130626e-01 5.852230e-01 2.311215e-01
1.911644e-04 1.726596e+01 2.129825e-01 5.932671e-01 2.236109e-01
2.002200e-04 1.727556e+01 2.129643e-01 5.959260e-01 2.164366e-01
2.097046e-04 1.728933e+01 2.137256e-01 5.942902e-01 2.094760e-01
2.196385e-04 1.731024e+01 2.158365e-01 5.897034e-01 2.026137e-01
2.300430e-04 1.733744e+01 2.191451e-01 5.824181e-01 1.958573e-01
2.409404e-04 1.737007e+01 2.234991e-01 5.726870e-01 1.892145e-01
2.523539e-04 1.740727e+01 2.287467e-01 5.607624e-01 1.826931e-01
2.643081e-04 1.744817e+01 2.347356e-01 5.468969e-01 1.763008e-01
2.768287e-04 1.749192e+01 2.413138e-01 5.313431e-01 1.700453e-01
2.899423e-04 1.753765e+01 2.483292e-01 5.143533e-01 1.639343e-01
3.036771e-04 1.758450e+01 2.556297e-01 4.961803e-01 1.579756e-01
3.180626e-04 1.763162e+01 2.630634e-01 4.770764e-01 1.521768e-01
3.331295e-04 1.767813e+01 2.704780e-01 4.572942e-01 1.465456e-01
3.489101e-04 1.772319e+01 2.777215e-01 4.370862e-01 1.410898e-01
3.654383e-04 1.776593e+01 2.846419e-01 4.167049e-01 1.358171e-01
3.827494e-04 1.780549e+01 2.910870e-01 3.964029e-01 1.307353e-01
4.008806e-04 1.784101e+01 2.969048e-01 3.764326e-01 1.258519e-01
4.198707e-04 1.787162e+01 3.019432e-01 3.570465e-01 1.211748e-01
4.397604e-04 1.789647e+01 3.060502e-01 3.384973e-01 1.167116e-01
4.605922e-04 1.791470e+01 3.090736e-01 3.210374e-01 1.124702e-01
4.824109e-04 1.792545e+01 3.108614e-01 3.049192e-01 1.084581e-01
5.052631e-04 1.792796e+01 3.112420e-01 2.903115e-01 1.046802e-01
5.291979e-04 1.792475e+01 3.096557e-01 2.752716e-01 1.010653e-01
5.542665e-04 1.791751e+01 3.060967e-01 2.591356e-01 9.757781e-02
5.805226e-04 1.790670e+01 3.008279e-01 2.422284e-01 9.421500e-02
6.080224e-04 1.789279e+01 2.941119e-01 2.248750e-01 9.097404e-02
6.368250e-04 1.787627e+01 2.862114e-01 2.074003e-01 8.785215e-02
6.669920e-04 1.785761e+01 2.773892e-01 1.901290e-01 8.484655e-02
6.985880e-04 1.783726e+01 2.679080e-01 1.733862e-01 8.195444e-02
