# T_max = 100000000000.0
# q            H            sH           K            sK
5.000000e-04 2.282275e+01 3.630457e-01 1.502800e+00 1.129111e-01
1.000000e-03 2.172439e+01 2.282192e-01 1.010445e+00 6.940118e-02
2.000000e-03 2.148280e+01 1.711260e-01 7.663123e-01 4.216068e-02
5.000000e-03 2.056539e+01 1.084544e-01 5.152027e-01 2.241980e-02
1.000000e-02 2.007732e+01 8.281493e-02 3.943287e-01 1.394369e-02
2.000000e-02 1.942015e+01 6.447144e-02 2.878019e-01 8.827353e-03
5.000000e-02 1.855122e+01 4.674603e-02 2.240365e-01 5.082635e-03
1.000000e-01 1.789936e+01 3.717521e-02 1.871816e-01 3.525793e-03
2.000000e-01 1.739505e+01 3.060189e-02 1.553786e-01 2.607578e-03
3.000000e-01 1.715589e+01 2.821347e-02 1.371211e-01 2.264291e-03
4.000000e-01 1.696754e+01 2.656298e-02 1.299191e-01 2.092548e-03
5.000000e-01 1.684613e+01 2.575247e-02 1.198063e-01 1.994032e-03
6.000000e-01 1.678749e+01 2.542276e-02 1.157120e-01 1.939437e-03
7.000000e-01 1.677366e+01 2.508257e-02 1.134427e-01 1.896879e-03
8.000000e-01 1.668526e+01 2.489651e-02 1.120783e-01 1.881554e-03
9.000000e-01 1.668706e+01 2.474139e-02 1.104006e-01 1.867505e-03
1.000000e+00 1.669530e+01 2.474921e-02 1.054630e-01 1.858707e-03
