# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 5.17039e+10
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
4.995e-05	0.000369844	1.82462e-05	1.32111e+09	6.00261e+07	0.00169595	0.000168901	-0.000379337	0.000164587	0.000313406	0.000163549	-6.06413e-05	5.78446e-05	-0.00022597	0.000200447	0.000588029	0.000130069	-2.59881	0.423822	8962
5.02214e-05	0.000384476	2.28113e-05	1.2605e+09	5.81795e+07	0.00130913	0.00017208	-0.0005743	0.000178078	-3.59306e-05	0.00015618	0.000158362	6.75074e-05	-0.000251116	0.000223516	8.85548e-05	0.00016876	-2.36662	0.418074	8966
5.04943e-05	0.000354237	1.7152e-05	1.3636e+09	5.90613e+07	0.00154927	0.000163829	-0.000711746	0.000166657	-0.000149609	0.000156442	2.56227e-06	5.28583e-05	9.57468e-05	0.000209737	-2.25238e-05	0.000162203	-1.9703	0.362559	8941
5.07687e-05	0.000414947	5.71974e-05	1.18368e+09	5.46935e+07	0.00135328	0.000170525	-0.000508906	0.000192211	-3.5466e-05	0.00016141	-0.000107269	7.80372e-05	0.000225038	0.000269348	0.000153778	0.000157813	-2.25619	0.36732	9008
5.10445e-05	0.000371772	2.65204e-05	1.34121e+09	6.01722e+07	0.00158877	0.000174975	-0.000541438	0.000161338	2.72511e-05	0.000160704	-5.19488e-05	6.7523e-05	-0.000131113	0.000232314	6.51695e-05	0.000182172	-2.45023	0.409295	9001
5.13218e-05	0.000364423	2.57967e-05	1.37981e+09	6.0313e+07	0.00168838	0.00016347	-0.000235374	0.000169606	3.58572e-05	0.000158706	5.59682e-06	6.80792e-05	-0.00010794	0.000245661	-0.000106048	0.000174353	-2.46295	0.375824	9018
5.16007e-05	0.000403537	2.5781e-05	1.24882e+09	5.6555e+07	0.00143895	0.000173675	-0.00043055	0.000177915	-4.26523e-05	0.0001679	-4.79397e-05	9.25597e-05	0.000220162	0.000238913	-0.000120656	0.000248378	-2.45688	0.630436	8960
5.1881e-05	0.000566358	0.000136871	1.20567e+09	5.49869e+07	0.00154122	0.00020377	-0.000240124	0.000220731	0.000178407	0.000188701	7.97406e-05	6.9778e-05	-6.37638e-05	0.000214541	0.000175803	0.000183214	-2.02061	0.453266	8994
5.21629e-05	0.000372408	1.93692e-05	1.35501e+09	6.02476e+07	0.00155576	0.000168707	-0.000798046	0.000175058	-0.000459838	0.000154219	5.62246e-05	8.2729e-05	0.000374406	0.000271435	-0.000270947	0.000193822	-1.73507	0.414877	8966
5.24463e-05	0.000357042	1.24021e-05	1.36229e+09	6.01272e+07	0.00137015	0.000161337	-0.000826517	0.000170287	-7.46217e-05	0.000155873	5.60275e-05	0.000102268	-0.000142077	0.000310699	-1.98408e-05	0.000227922	-0.877918	1.0236	8991
