# N = 10000, rp_max = 5, r_sphere = 50, T_cut = 1.3041e+07
# v	mean∆E	SEM_∆E	∆T	SEM_∆T	∆vx	SEM_∆vx	∆vy	SEM_∆vy	∆vz	SEM_∆vz	∆Lx	SEM_∆Lx	∆Ly	SEM_∆Ly	∆Lz	SEM_∆Lz	Δvarpi	SEM_Δvarpi	Nresolved
0.000790569	0.0924541	0.00254733	342285	14869.1	-0.000182282	0.00264033	0.00118667	0.00272873	0.000361912	0.00235541	0.00509632	0.0026886	-0.00981788	0.00673777	0.0996886	0.00449332	-1.06473	0.133154	9269
0.000794865	0.0937224	0.00247144	324510	14505.3	0.000234752	0.00274641	-0.00230976	0.00261721	-0.00137243	0.00242556	0.000198944	0.00269602	0.00219918	0.00696717	0.110621	0.00470445	-1.23893	0.195372	9252
0.000799183	0.0895458	0.00235844	332399	14759.4	-0.00153245	0.00265214	0.000705609	0.00267684	0.00271402	0.002307	0.0017106	0.00263635	-0.00429848	0.00702503	0.0951752	0.00449928	-0.779856	0.127589	9181
0.000803526	0.0942798	0.00251093	335076	14429.7	0.00426394	0.00279809	6.66704e-05	0.0026728	-0.000821276	0.00233942	-0.00185925	0.00266881	-0.00323231	0.00719992	0.10789	0.00473467	-1.04251	0.122065	9229
0.000807891	0.0907808	0.00236372	323016	14260.8	0.000939445	0.00271306	0.00500476	0.00261437	-0.00335009	0.00235323	0.00233986	0.00263295	-0.0074032	0.00700248	0.0953005	0.0045868	-1.11716	0.126769	9206
0.000812281	0.0944718	0.00255226	343856	14969.6	0.00114324	0.0027561	-0.0040362	0.00267586	-0.00236297	0.00240899	0.00472531	0.00267537	-0.000440522	0.00714786	0.103347	0.00464084	-0.84163	0.154014	9196
0.000816694	0.0907683	0.00233586	326187	14555.1	0.00185812	0.00277246	-0.000416326	0.00256266	0.000112644	0.00233112	0.00260078	0.00256361	-0.0015045	0.00713207	0.0947979	0.00448763	-1.08253	0.134937	9228
0.000821131	0.0910138	0.00240253	350233	15086.5	0.00113343	0.00266037	-0.0011973	0.0026549	-0.00439283	0.00237605	0.00103774	0.00260311	0.0163252	0.00715348	0.104862	0.00459899	-0.983148	0.148718	9213
0.000825593	0.0933537	0.00247775	350020	15214.6	-0.0015955	0.00276339	0.00317864	0.00266758	0.000437547	0.00234768	-0.00161347	0.00263949	-0.00328072	0.00676213	0.113203	0.00452539	-0.840939	0.1212	9221
0.000830078	0.0966126	0.00270104	305801	13762.5	0.000902298	0.00267475	-8.90083e-05	0.00281584	-0.00139092	0.00241765	0.00453589	0.0026994	-0.00583891	0.00699837	0.102005	0.00457313	-0.690821	0.132081	9240
0.000834588	0.0969887	0.00265666	306265	13980	0.00416229	0.0027999	-0.00450197	0.0026673	-0.00284909	0.00247278	-0.00117125	0.00263836	-0.00185302	0.00701743	0.103563	0.00459028	-0.98341	0.129061	9212
0.000839123	0.0897521	0.00245195	349951	15316.5	0.000176603	0.00276744	-0.00409671	0.00259049	0.00227193	0.00229224	0.00136981	0.00261576	-0.00290878	0.00714627	0.103015	0.00449589	-0.940097	0.10777	9154
0.000843682	0.0892343	0.00227394	331320	14563.4	-0.00471685	0.00268604	0.00194755	0.00259397	-0.00545709	0.00233254	-7.37989e-05	0.00269131	0.000449449	0.00706778	0.108972	0.00464064	-0.92497	0.108474	9212
0.000848266	0.0905444	0.00257156	362666	15539.1	0.00106033	0.00267169	0.000286495	0.00264427	-0.00223542	0.00234651	0.00264258	0.00260022	-0.000607861	0.00671438	0.104231	0.00443811	-1.08905	0.116325	9230
0.000852875	0.0932897	0.00257044	347539	15073.9	0.00190324	0.00276135	0.000902322	0.00268721	0.00167312	0.00235694	-0.000329859	0.0026558	0.000713361	0.00687012	0.0897272	0.00442773	-1.08732	0.128777	9153
0.000857509	0.0882864	0.00232799	333852	14574.4	0.00315891	0.00263013	0.00301542	0.00262488	0.000701475	0.00233636	-0.000594151	0.00272064	-0.000109423	0.00698723	0.0978525	0.0046497	-0.856901	0.110681	9172
0.000862168	0.0949059	0.00245134	351793	15129.8	-0.00482631	0.00283207	-0.00462552	0.00267544	0.000580684	0.00233746	0.000769421	0.00271248	0.00329008	0.00705404	0.106208	0.0045697	-1.05883	0.120934	9201
0.000866852	0.0899398	0.00238125	307317	13897.1	0.000645536	0.00272529	-0.00246765	0.00259838	-0.00224434	0.00233561	0.000968904	0.00268592	0.00614052	0.00689824	0.0958788	0.00459404	-1.10803	0.164709	9169
0.000871562	0.0952715	0.0025097	318644	14187.9	0.00203568	0.00275744	0.00276185	0.00272047	0.00201979	0.0023749	0.00379196	0.00255506	0.00138711	0.00687511	0.0970726	0.0044976	-1.04617	0.153762	9237
0.000876297	0.0963305	0.00272434	326266	14410.6	0.0040442	0.00278152	-0.000421601	0.00274778	0.00162418	0.00235719	0.00353758	0.00257554	0.00630492	0.00698029	0.108373	0.00452288	-0.758472	0.101694	9250
0.000881058	0.091178	0.00244365	334491	14878.2	-0.0024683	0.00272707	-0.0024411	0.00261119	-0.00321991	0.00236656	0.000613006	0.00256196	0.00790186	0.00701536	0.105771	0.00456202	-1.1163	0.125841	9191
0.000885845	0.0934079	0.00270728	341730	14799	0.00242269	0.00274086	0.00162985	0.00272971	0.0028322	0.00230683	-0.000627116	0.00261432	0.00193334	0.00682851	0.0930967	0.00453691	-0.747999	0.150678	9217
0.000890658	0.0940921	0.00258077	333673	14782.3	-0.00304091	0.00278576	0.000837131	0.00264313	0.00126256	0.00238256	-0.000384595	0.00265329	0.00337314	0.0069066	0.106117	0.00452526	-0.945598	0.103063	9222
