# evolve V=0 ref: q=0.2 e0=0.5 xi=[0.510826,10]
xi a_over_ah e sig_e t sig_t
5.108256237659907e-01 6.000000000000000e-01 5.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
6.033226817777637e-01 5.469911358177917e-01 5.069761868076410e-01 2.212997466879817e-04 1.043297814153706e-02 1.509972396522046e-05
6.418885325163030e-01 5.262975548717208e-01 5.100196339635371e-01 3.155556640445112e-04 1.504561597871871e-02 2.192081426860221e-05
6.786869373387572e-01 5.072826491507108e-01 5.130133535377489e-01 4.037705842210114e-04 1.959303399874422e-02 2.832515423761285e-05
7.130874639698044e-01 4.901286045884748e-01 5.159005370972010e-01 4.675464935340793e-04 2.397384118608031e-02 3.300877206088035e-05
7.569507288131911e-01 4.690946451764428e-01 5.197050347396674e-01 5.236284353142629e-04 2.974797657055501e-02 3.740772303216601e-05
8.093694582744902e-01 4.451386562481872e-01 5.244008466391069e-01 5.730878124012493e-04 3.695056594652438e-02 4.206248769907977e-05
8.570811896150554e-01 4.243990165081460e-01 5.287882567908025e-01 6.097347208394880e-04 4.382281527260396e-02 4.575671214054291e-05
8.949243750719483e-01 4.086385007295664e-01 5.323554218423476e-01 6.431037574950847e-04 4.949956941087525e-02 4.898335152093775e-05
9.306324826856019e-01 3.943042408821338e-01 5.358164814031131e-01 6.756420421020132e-04 5.504217336667833e-02 5.199729039731303e-05
9.616940537803966e-01 3.822447939405118e-01 5.388958092297270e-01 6.979478205837889e-04 6.001346427550736e-02 5.433564929974115e-05
9.929107929447823e-01 3.704966808169672e-01 5.420295376060039e-01 7.118804435656820e-04 6.515215297525952e-02 5.691847968947500e-05
1.023525148290150e+00 3.593260274031608e-01 5.450930702382778e-01 7.177243285963323e-04 7.033139278127667e-02 5.953568486037457e-05
1.067442652806788e+00 3.438868318868120e-01 5.494713558739238e-01 7.270614780934194e-04 7.801012210958358e-02 6.298504193291304e-05
1.163370093583972e+00 3.124314813320747e-01 5.595407823061100e-01 8.276905565018117e-04 9.590149561275928e-02 7.081686302603873e-05
1.208186806780913e+00 2.987384591983747e-01 5.645734679809157e-01 8.483977236878164e-04 1.048262426858020e-01 7.466518218719317e-05
1.249189890170473e+00 2.867369912511138e-01 5.692291891484272e-01 8.577084475233431e-04 1.133136914286306e-01 7.794676581430363e-05
1.301550566381813e+00 2.721095418466067e-01 5.752807521505203e-01 8.872601150687142e-04 1.246130123527809e-01 8.277552746504565e-05
1.348889726364604e+00 2.595282481153836e-01 5.809342332753353e-01 9.170657473151955e-04 1.352966007168686e-01 8.686193097242162e-05
1.397153999299811e+00 2.472997787049195e-01 5.869208652145633e-01 9.536485269039900e-04 1.466952282309441e-01 9.063685413691791e-05
1.421476052045204e+00 2.413574976132800e-01 5.900152651056140e-01 9.635552445780072e-04 1.526466463306179e-01 9.242569486312681e-05
1.450452809251318e+00 2.344640965413375e-01 5.937115990722434e-01 9.553925776865667e-04 1.599187418790294e-01 9.511398425890507e-05
1.485730989393268e+00 2.263368303683936e-01 5.981616160516401e-01 9.411681196182704e-04 1.690378749648504e-01 9.825742149819978e-05
1.521513206396617e+00 2.183811810021461e-01 6.026467794900220e-01 9.438994661321474e-04 1.785984741102715e-01 1.015629661246658e-04
1.572123567745196e+00 2.076038530803815e-01 6.091422056022844e-01 9.741278573839507e-04 1.927077944929734e-01 1.060232236961310e-04
1.602786209920268e+00 2.013347748439201e-01 6.131724721677680e-01 9.811610811801086e-04 2.015975494404347e-01 1.093330899448617e-04
1.630758845730004e+00 1.957809502046481e-01 6.168745849397803e-01 9.846464851994651e-04 2.099239954290142e-01 1.124411255425150e-04
1.686926060197840e+00 1.850875985682743e-01 6.244090086196019e-01 1.002884490564717e-03 2.272955528358688e-01 1.186332180983904e-04
1.724480530204476e+00 1.782656313357322e-01 6.295755795442486e-01 1.018089375350832e-03 2.394403302603352e-01 1.223368235653673e-04
1.770815699607208e+00 1.701941049248022e-01 6.359983705339974e-01 1.010629593124241e-03 2.550230515805698e-01 1.282647934931519e-04
1.793692525161379e+00 1.663448018693335e-01 6.391527242869462e-01 1.004575685455577e-03 2.629623129815835e-01 1.310284151320810e-04
1.847351776204125e+00 1.576541173652274e-01 6.465621709432358e-01 1.009507107102762e-03 2.822816842531022e-01 1.369403810818276e-04
1.869118811052475e+00 1.542595337381014e-01 6.495992199357919e-01 1.015479255530528e-03 2.904162051409535e-01 1.392043930104704e-04
1.916013586798348e+00 1.471925645106629e-01 6.562644127793239e-01 1.040653487408508e-03 3.085319378621987e-01 1.455959244675650e-04
1.947028322333237e+00 1.426974930921244e-01 6.607743664275618e-01 1.055330008605645e-03 3.209574604538600e-01 1.498521514497279e-04
1.980315863191955e+00 1.380256332077131e-01 6.656376257666323e-01 1.049778909664248e-03 3.346923400350579e-01 1.552475928365706e-04
2.007986039672607e+00 1.342587944578761e-01 6.696691914061480e-01 1.043749132103376e-03 3.464315304824896e-01 1.594091671830465e-04
2.068562546781129e+00 1.263672982926727e-01 6.785681173144777e-01 1.057418947200622e-03 3.732352167658706e-01 1.677803960731982e-04
2.136056508358464e+00 1.181197299482167e-01 6.887296991570395e-01 1.072913024264421e-03 4.050418506536809e-01 1.775629150384325e-04
2.173945169377487e+00 1.137280542565101e-01 6.945006287432334e-01 1.069039736950654e-03 4.238146159724487e-01 1.856213512815118e-04
2.208490310344386e+00 1.098663875255451e-01 6.997618434958206e-01 1.065374254915641e-03 4.414841686531469e-01 1.932622758953116e-04
2.248965297180935e+00 1.055083378768382e-01 7.059836515630865e-01 1.078833771392206e-03 4.629316038840517e-01 1.995038552098015e-04
2.274232269665672e+00 1.028758590426775e-01 7.099283885972335e-01 1.087530868662048e-03 4.767733713202221e-01 2.026964356451400e-04
2.327785910990317e+00 9.751140719108242e-02 7.183554919923915e-01 1.084492553809798e-03 5.072642844869734e-01 2.131624042826495e-04
2.377481201704255e+00 9.278398758028687e-02 7.261997708275794e-01 1.085026179564744e-03 5.369830905451133e-01 2.232316084813605e-04
2.424087853227190e+00 8.855886089144629e-02 7.336144808765316e-01 1.087485941569485e-03 5.661839619163840e-01 2.335349281117293e-04
2.453034772990447e+00 8.603210202750568e-02 7.382491062086313e-01 1.088867772652012e-03 5.849761869683119e-01 2.404361259024454e-04
2.486865368909426e+00 8.317026649308515e-02 7.436974139177059e-01 1.092106255871997e-03 6.076131463791792e-01 2.477496894621764e-04
2.519571907295617e+00 8.049405829388066e-02 7.490023858009410e-01 1.093663979589424e-03 6.302520135430965e-01 2.537131939025181e-04
2.567730735355803e+00 7.670942204258223e-02 7.568059907210835e-01 1.076749601582863e-03 6.649172945063828e-01 2.678297218221614e-04
2.612029916009212e+00 7.338542621469565e-02 7.638877359148895e-01 1.055162396223795e-03 6.981805092989981e-01 2.814969046822723e-04
2.645432077175548e+00 7.097468057400898e-02 7.691651612482571e-01 1.042576629549262e-03 7.242103475537435e-01 2.901502233061850e-04
2.694151671665832e+00 6.759970420112253e-02 7.768652936397455e-01 1.047031635307476e-03 7.637717199825654e-01 3.024535241417720e-04
2.743477314249553e+00 6.434620543681284e-02 7.847395506209557e-01 1.046403842573477e-03 8.058667821318852e-01 3.169810183813480e-04
2.767759661050933e+00 6.280254624352050e-02 7.886110120696610e-01 1.041459349202569e-03 8.273443262594957e-01 3.246127268021221e-04
2.807001582105423e+00 6.038578302639183e-02 7.948751807781090e-01 1.044618427015104e-03 8.631732330197107e-01 3.366701371311841e-04
2.830665433953191e+00 5.897359757555894e-02 7.986805042099442e-01 1.048199710464820e-03 8.854980335974805e-01 3.436110916827228e-04
2.871013423432184e+00 5.664149566490394e-02 8.052192165791615e-01 1.052264641610253e-03 9.248052934572029e-01 3.591172246249207e-04
2.895586308800145e+00 5.526661229252301e-02 8.092153578138277e-01 1.048190919969319e-03 9.494872295499421e-01 3.685406864607549e-04
2.941561636911811e+00 5.278323609352693e-02 8.165648305498322e-01 1.006660228872627e-03 9.972353390828170e-01 3.877004989742376e-04
2.961883710761758e+00 5.172139719933298e-02 8.197275989993208e-01 9.905535113866768e-04 1.019028445150752e+00 3.956189848880466e-04
3.000622762431004e+00 4.975607250466593e-02 8.257520120794366e-01 1.001152450492315e-03 1.061820152080088e+00 4.124104371843184e-04
3.022568878528289e+00 4.867601484517438e-02 8.292206545479038e-01 1.011734422715833e-03 1.086822181584382e+00 4.211990769083914e-04
3.079956988926254e+00 4.596123344853307e-02 8.383451168789826e-01 9.992590400801737e-04 1.154898605065380e+00 4.478961956702504e-04
3.133659542201345e+00 4.355810251179917e-02 8.467540466128680e-01 9.770158352277402e-04 1.222256821523890e+00 4.754030940547501e-04
