# evolve: q=0.2 e0=0.5 Vx0=0 Vy0=0 varpi0=0 xi=[0.510826,10] chandrasekhar=integral
xi a_over_ah e sig_e Vx sig_Vx Vy sig_Vy varpi sig_varpi t sig_t x sig_x y sig_y C_xx C_xy C_yy C_VxVx C_VxVy C_VyVy
5.108256237659907e-01 6.000000000000000e-01 5.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
5.163088770766463e-01 5.967190513702556e-01 5.004019216768515e-01 1.665577513898814e-05 -2.233702714479177e-04 9.084573393445004e-06 -8.677002443898297e-05 9.023419476255743e-06 -9.996768363291546e-03 3.342371754090563e-04 5.943013647401886e-04 1.092615871535502e-06 -6.695502373755972e-08 2.755911110000700e-09 -2.617091039866273e-08 2.735070230178600e-09 7.595046046225290e-18 5.431257831117504e-21 7.480609164009221e-18 8.252947374088887e-11 -3.491460305327445e-15 8.142209904447146e-11
5.291316628488489e-01 5.891162992119654e-01 5.013466450238724e-01 5.233797924699265e-05 -7.058691723089061e-04 2.663718868257179e-05 -2.621232533196860e-04 2.646148420213467e-05 -3.334940736452088e-02 1.046831201818767e-03 1.995843300809401e-03 3.452212344978723e-06 -7.251410520763532e-07 2.837716176700338e-08 -2.752624916868991e-07 2.816613538870746e-08 8.052633099506785e-16 4.128279320034367e-19 7.933311827349990e-16 7.095398209109305e-10 -1.464196906484206e-13 7.002101461798226e-10
5.419883494410989e-01 5.815906964063309e-01 5.023008675077895e-01 8.447400117490545e-05 -1.137604621760833e-03 4.006212211922123e-05 -4.025414244698106e-04 3.980631732857454e-05 -5.672845496122445e-02 1.668591247070003e-03 3.417727083776790e-03 5.602507364535449e-06 -2.042235470996054e-06 7.614968986972921e-08 -7.519581502514352e-07 7.559351538551835e-08 5.798775267255940e-15 1.711833054101661e-18 5.714379568340600e-15 1.604973628695394e-09 -7.589355477440259e-13 1.584542899263174e-09
5.550565082130750e-01 5.740398223153201e-01 5.032782673484478e-01 1.146198750190074e-04 -1.527857264298750e-03 5.062880747046979e-05 -5.129732125212077e-04 5.032104225262052e-05 -8.045570617292157e-02 2.211534110195138e-03 4.880213620099926e-03 7.645166161321433e-06 -3.997590550940697e-06 1.423698968586162e-07 -1.425314670952519e-06 1.413511469621347e-07 2.026918753153301e-14 1.106245595716099e-18 1.998014674751101e-14 2.563276145881898e-09 -2.180487723424889e-12 2.532207293390019e-09
5.683250089280534e-01 5.664734825211337e-01 5.042786844048802e-01 1.438302205641180e-04 -1.878631834384707e-03 5.928141184072475e-05 -5.956727784928946e-04 5.894502624848644e-05 -1.045089202091637e-01 2.677960628675228e-03 6.383022827241117e-03 9.651160146884973e-06 -6.563227419859011e-06 2.240122318200867e-07 -2.261960016866269e-06 2.224473080020226e-07 5.018148000501627e-14 -1.070297144707917e-17 4.948280483734671e-14 3.514285789829621e-09 -4.659365231850334e-12 3.474516119434755e-09
5.818042929625807e-01 5.588890567020045e-01 5.053036194239153e-01 1.731586672865088e-04 -2.192575977307345e-03 6.685733870163433e-05 -6.530789167030878e-04 6.651027497532788e-05 -1.289047202972034e-01 3.072274430179947e-03 7.928323305669383e-03 1.169328079703424e-05 -9.714564704306808e-06 3.191343281468291e-07 -3.230119952399442e-06 3.169679385923412e-07 1.018467194017280e-13 -5.199658815380583e-17 1.004686740954782e-13 4.469903738265050e-09 -8.308010947103458e-12 4.423616677293726e-09
5.954941392161772e-01 5.512900845012679e-01 5.063538232902683e-01 2.034790362552241e-04 -2.472021070763701e-03 7.397580204812661e-05 -6.875374388552243e-04 7.363046067783930e-05 -1.536400433218012e-01 3.399762492894628e-03 9.517118036913798e-03 1.383314872509872e-05 -1.342554588146131e-05 4.266492271831153e-07 -4.298111465591713e-06 4.238510223591773e-07 1.820295630559495e-13 -1.521148800392643e-16 1.796496891549198e-13 5.472419288663613e-09 -1.307315613574621e-11 5.421444739630840e-09
6.094043015528595e-01 5.436746387684376e-01 5.074308702624850e-01 2.354376169438369e-04 -2.719466564812739e-03 8.098717454564644e-05 -7.013862623727459e-04 8.065118885807536e-05 -1.787294481350091e-01 3.667258862407065e-03 1.115160876283097e-02 1.611693057069715e-05 -1.767342337971842e-05 5.463102901535451e-07 -5.435908207050504e-06 5.428717518479256e-07 2.984549331276506e-13 -3.531157685498204e-16 2.947097389544357e-13 6.558922440887003e-09 -1.872377496310923e-11 6.504614264220938e-09
6.235460140277603e-01 5.360402571933129e-01 5.085365325540437e-01 2.693708633222117e-04 -2.937328091789701e-03 8.795287561966040e-05 -6.968827145636575e-04 8.763110282217895e-05 -2.041896206764931e-01 3.882752656262846e-03 1.283425208008527e-02 1.856863607639600e-05 -2.243748806858041e-05 6.784132901703335e-07 -6.614702409147996e-06 6.743464160542832e-07 4.602445922797371e-13 -7.103051291587549e-16 4.547430888452565e-13 7.735708329767453e-09 -2.482924488289186e-11 7.679210181831300e-09
