# evolve V=0 ref: q=0.2 e0=0.5 xi=[0.510826,3]
xi a_over_ah e sig_e t sig_t
5.108260000000000e-01 5.999997742596369e-01 5.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
5.357177400000001e-01 5.852490826863750e-01 5.018360080865056e-01 6.917811606653601e-05 2.721969091008846e-03 4.575392482981275e-06
5.943419026286011e-01 5.519256672075034e-01 5.062795588930071e-01 2.008816429628336e-04 9.381336318004255e-03 1.364579904735908e-05
6.336396865504932e-01 5.306568572223712e-01 5.093613137192310e-01 2.944809841760788e-04 1.404569852997875e-02 2.039105725661531e-05
7.459634802114434e-01 4.742771231120065e-01 5.187398712183277e-01 5.108298975839220e-04 2.828106175231707e-02 3.635986102575934e-05
7.782709474302911e-01 4.591993050226738e-01 5.215992958570630e-01 5.444159655951314e-04 3.263512711643481e-02 3.930935714571528e-05
8.127361232403701e-01 4.436425433977291e-01 5.247073635734947e-01 5.756836792346731e-04 3.742512693736992e-02 4.233040632770324e-05
8.588651874988075e-01 4.236425645158324e-01 5.289549077121605e-01 6.108963095970924e-04 4.408568671258145e-02 4.588774065667221e-05
8.933660039100914e-01 4.092758076361040e-01 5.322068987741793e-01 6.413647506600054e-04 4.926162459345611e-02 4.883462354011340e-05
9.256259158011089e-01 3.962833014526283e-01 5.353262029144200e-01 6.712778031774140e-04 5.425382160085383e-02 5.159077695601074e-05
9.549457212692150e-01 3.848330322346489e-01 5.382224958036150e-01 6.932946946959551e-04 5.892122931283906e-02 5.381593118273861e-05
9.970399833332788e-01 3.689699836643811e-01 5.424433924743912e-01 7.122683852988863e-04 6.584235578602682e-02 5.726295276765668e-05
1.053920303458356e+00 3.485685724905734e-01 5.481229044233343e-01 7.226304055748516e-04 7.561362972023190e-02 6.189622126965062e-05
1.072082259624614e+00 3.422950277251738e-01 5.499343673779876e-01 7.283271736099484e-04 7.883875726120734e-02 6.335624440627156e-05
1.161587609877327e+00 3.129888819882026e-01 5.593408217030728e-01 8.233784094141639e-04 9.555369159429333e-02 7.068868683899824e-05
1.193064146392095e+00 3.032905122861057e-01 5.628651132009519e-01 8.395470640957765e-04 1.017736853411901e-01 7.337165018916252e-05
1.221575331809955e+00 2.947654475904816e-01 5.660878053939442e-01 8.479256889077844e-04 1.075630664880935e-01 7.576894056834936e-05
1.246398401660750e+00 2.875385324935932e-01 5.689093508825215e-01 8.532465172699025e-04 1.127256158225533e-01 7.772975909410588e-05
1.285680135408202e+00 2.764624877469322e-01 5.734239509757891e-01 8.744489834288886e-04 1.211321387810662e-01 8.134653660773203e-05
1.321141225336432e+00 2.668306142827120e-01 5.775951656080820e-01 8.969366294172081e-04 1.289781549935314e-01 8.448133339399218e-05
1.364917112725978e+00 2.554018446734434e-01 5.828944961687959e-01 9.291866513382333e-04 1.390224437078105e-01 8.811246785201166e-05
1.408735085874402e+00 2.444522988389182e-01 5.883874135919842e-01 9.586645738104334e-04 1.495113387456138e-01 9.138331774814563e-05
1.440384249880604e+00 2.368367367078477e-01 5.924288776015724e-01 9.615895258656332e-04 1.573697528260794e-01 9.406374256798251e-05
1.478480875834197e+00 2.279837610944393e-01 5.972500172409068e-01 9.465054205546850e-04 1.671395439965030e-01 9.752920093136262e-05
1.495027879265040e+00 2.242423529313975e-01 5.993236145043019e-01 9.408446550987931e-04 1.714906387524505e-01 9.898336220466273e-05
1.522062928734659e+00 2.182611649795079e-01 6.027140500839441e-01 9.507074519536793e-04 1.787478491432158e-01 1.014621475304056e-04
1.546780178193671e+00 2.129324758771667e-01 6.058591805237150e-01 9.652834462574628e-04 1.855541249315598e-01 1.037335612214040e-04
1.575508670375161e+00 2.069022808482704e-01 6.095826501396487e-01 9.826277987462948e-04 1.936767085463461e-01 1.062490544087006e-04
1.633291956858227e+00 1.952856429000643e-01 6.172080973329740e-01 9.932885085875915e-04 2.106879751452281e-01 1.124614800122201e-04
1.686913397812404e+00 1.850899422336250e-01 6.244039663979444e-01 1.010898185501558e-03 2.272910368500544e-01 1.183719160244203e-04
1.716695938019057e+00 1.796587720572049e-01 6.284937158834124e-01 1.023732382128014e-03 2.368862950398263e-01 1.213036326131582e-04
1.748616650478393e+00 1.740144999004482e-01 6.329231214469672e-01 1.025873939361377e-03 2.474753945558733e-01 1.250503354640242e-04
1.778799214378734e+00 1.688407671582113e-01 6.370980005647664e-01 1.017892704236395e-03 2.577745244437193e-01 1.288444250213701e-04
1.829252876833755e+00 1.605334612498568e-01 6.440512311781450e-01 1.013922566641729e-03 2.756502957707773e-01 1.347772794924772e-04
1.870681509777966e+00 1.540186608162562e-01 6.498157575521852e-01 1.023816088312627e-03 2.910066739047187e-01 1.391477397006194e-04
1.918209350158984e+00 1.468697190463864e-01 6.565786680349649e-01 1.049365759291957e-03 3.093996647660270e-01 1.456313125349010e-04
1.975486786509927e+00 1.386937815459053e-01 6.649292586566254e-01 1.057117662115857e-03 3.326735776475201e-01 1.541623248826762e-04
2.002679157605697e+00 1.349731839603175e-01 6.688930524058183e-01 1.050832105506574e-03 3.441565551154183e-01 1.582497630572339e-04
2.044837578737792e+00 1.294012057777922e-01 6.750550618485356e-01 1.058181117041829e-03 3.625483618747988e-01 1.643986489075072e-04
2.083451341676471e+00 1.244997785646094e-01 6.807846175950626e-01 1.070470925931040e-03 3.800699470799489e-01 1.694650608496597e-04
2.121716128434084e+00 1.198258154720950e-01 6.865483644424507e-01 1.079613344951119e-03 3.981060122849987e-01 1.751850665110521e-04
2.145247285252279e+00 1.170390914241121e-01 6.901248740368748e-01 1.081666364912848e-03 4.095367008861392e-01 1.788374884795426e-04
2.167088844494470e+00 1.145104899964859e-01 6.934523120297099e-01 1.078884234966045e-03 4.203702312881511e-01 1.835917095806499e-04
2.210229885476048e+00 1.096754328281758e-01 7.000230081733204e-01 1.075603194408555e-03 4.423878257831214e-01 1.927899126264442e-04
2.259402525296641e+00 1.044128501587096e-01 7.076033321781051e-01 1.093541131247475e-03 4.686053275652501e-01 1.999731045765425e-04
2.299072123315982e+00 1.003519147387961e-01 7.138301220015577e-01 1.099382217641243e-03 4.907227670888980e-01 2.066547043582846e-04
2.331237996430161e+00 9.717536983064898e-02 7.188950458686487e-01 1.095098107363077e-03 5.092824985165797e-01 2.130012759812354e-04
2.382014260446854e+00 9.236434416692568e-02 7.269144725530210e-01 1.095765896905616e-03 5.397656910010898e-01 2.232865042292327e-04
2.433358237456922e+00 8.774167986744545e-02 7.350925854608351e-01 1.098600017480240e-03 5.721469784071423e-01 2.349459758466996e-04
2.460765523022977e+00 8.536957357253200e-02 7.394869330342020e-01 1.099803024209334e-03 5.900825524659391e-01 2.412233005318283e-04
2.505570582975953e+00 8.162900857235920e-02 7.467244140467667e-01 1.104733872361761e-03 6.204690499745402e-01 2.499500598191359e-04
2.555549502427060e+00 7.764955172476751e-02 7.548372252637831e-01 1.094730082309635e-03 6.560058621762769e-01 2.624632465576033e-04
2.586526298739904e+00 7.528109043607084e-02 7.598204598300364e-01 1.079546125429862e-03 6.788641081138108e-01 2.717821447486869e-04
2.639896705416938e+00 7.136864116968897e-02 7.682900204450416e-01 1.055899788076150e-03 7.198384749362799e-01 2.868525531230310e-04
2.681065645798255e+00 6.849012903350547e-02 7.747839423357340e-01 1.057868835545494e-03 7.529516275117982e-01 2.976503239087278e-04
2.705335520300844e+00 6.684789125892396e-02 7.786426023373192e-01 1.061801116472938e-03 7.731357152161177e-01 3.035669275675180e-04
2.746979022477072e+00 6.412127784506218e-02 7.852945193250771e-01 1.055628954950067e-03 8.089336679578613e-01 3.170182457594743e-04
2.773070921661216e+00 6.246986980112635e-02 7.894532113708616e-01 1.050430575601487e-03 8.321107131691393e-01 3.251726160097289e-04
2.818420244725806e+00 5.970017992758026e-02 7.967050896493254e-01 1.055088842258961e-03 8.738784070852491e-01 3.393544932143439e-04
2.866992187082347e+00 5.686972307682037e-02 8.045621166197626e-01 1.060661493562317e-03 9.208204845576560e-01 3.566280281696484e-04
2.891765718990217e+00 5.547816722324612e-02 8.085912476193509e-01 1.057591752082820e-03 9.456131837403253e-01 3.660122450666211e-04
2.918984243164815e+00 5.398849864466423e-02 8.129886531054060e-01 1.040110924850306e-03 9.735245479696556e-01 3.775080612784925e-04
2.945026456992218e+00 5.260066814239644e-02 8.171055501923553e-01 1.014528402042940e-03 1.000920751156296e+00 3.880864716151862e-04
2.962307032615676e+00 5.169950703520264e-02 8.197912683217961e-01 1.001108406216522e-03 1.019487467087875e+00 3.948365821913756e-04
3.000000000000000e+00 4.978706836786394e-02 8.256523532560861e-01 1.011440332741847e-03 1.061119200533793e+00 4.112774847911365e-04
