# evolve: q=0.2 e0=0.5 Vx0=0 Vy0=0 varpi0=0 xi=[0.510826,3] chandrasekhar=integral
xi a_over_ah e sig_e Vx sig_Vx Vy sig_Vy varpi sig_varpi t sig_t x sig_x y sig_y C_xx C_xy C_yy C_VxVx C_VxVy C_VyVy
5.108260000000000e-01 5.999997742596369e-01 5.000000000000000e-01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00
5.163092532631347e-01 5.967188268926534e-01 5.004019205594815e-01 1.665577301056113e-05 -2.288100014588686e-04 9.308239752922096e-06 -8.889697409635882e-05 9.245583327418870e-06 -9.996760805310220e-03 3.342375895999128e-04 5.943016654834952e-04 1.092616642093573e-06 -6.803772977435016e-08 2.800808865577995e-09 -2.659551481819825e-08 2.779554586952765e-09 7.844530301500295e-18 5.803201900891752e-21 7.725923701850154e-18 8.664332729787920e-11 -3.623122974466047e-15 8.548081106424577e-11
5.437255195788080e-01 5.805812514588288e-01 5.024300677709135e-01 8.860082481600318e-05 -1.375180156419565e-03 4.836348802443175e-05 -4.862181840971290e-04 4.805601056805043e-05 -5.988247508510291e-02 1.745854097590885e-03 3.611115749847958e-03 5.880692476562747e-06 -2.494011017891701e-06 9.267746302069652e-08 -9.162267345348369e-07 9.198841110666588e-08 8.589112151952573e-15 3.426603082298472e-18 8.461867777928971e-15 2.339026973889353e-09 -1.106863060243708e-12 2.309380151716575e-09
5.988779208946264e-01 5.494277917867395e-01 5.066100350651407e-01 2.111317134226489e-04 -3.681013258652621e-03 1.105089759323141e-04 -1.056796609618597e-03 1.099832191751621e-04 -1.597218530364955e-01 3.471627524776395e-03 9.913195385922446e-03 1.437903165291797e-05 -1.849201964805869e-05 5.897466707169920e-07 -5.949156394618023e-06 5.856004531934157e-07 3.478011356217762e-13 -1.653399722637980e-16 3.429278907803339e-13 1.221223376160877e-08 -2.557318448578484e-11 1.209630850013175e-08
6.174842994525158e-01 5.392994483969291e-01 5.080527451290480e-01 2.546430474220838e-04 -4.455088343138597e-03 1.317453410589063e-04 -1.184233708473211e-03 1.312011329938216e-04 -1.932395515076442e-01 3.798475968109697e-03 1.211103059350505e-02 1.750415125852081e-05 -2.743583886011445e-05 8.463263953725023e-07 -8.418008282193177e-06 8.405176864657622e-07 7.162683675042131e-13 -5.758379977953217e-16 7.064699812617572e-13 1.735683489072753e-08 -4.500709777481441e-11 1.721373729886247e-08
6.311432255436650e-01 5.319832763623751e-01 5.091230207226876e-01 2.881721967736713e-04 -5.021205241842274e-03 1.478605610016286e-04 -1.258130503727316e-03 1.473154656090251e-04 -2.177884605774276e-01 3.981394630292001e-03 1.374786283949726e-02 1.994090099879049e-05 -3.519260190402429e-05 1.065062329150987e-06 -1.041922589525309e-05 1.057898767784846e-06 1.134357764976525e-12 -1.188418165463583e-15 1.119149802880697e-12 2.186274549971633e-08 -6.289472460081720e-11 2.170184640760386e-08
6.579754894540136e-01 5.178987653787696e-01 5.112554925757663e-01 3.558686237131275e-04 -6.127043023318492e-03 1.790980460525899e-04 -1.358600085693509e-03 1.785994110490459e-04 -2.658584282970851e-01 4.247050413615819e-03 1.702117923218690e-02 2.488000951167527e-05 -5.344778134887564e-05 1.573927827324075e-06 -1.471736905302900e-05 1.563910796102333e-06 2.477248805625082e-12 -3.773238748411986e-15 2.445816978165433e-12 3.207611009985560e-08 -9.861832726136367e-11 3.189774962706606e-08
6.889669569329956e-01 5.020944864744307e-01 5.137753516230832e-01 4.251868169415125e-04 -7.393164910773148e-03 2.074376084310764e-04 -1.411903784045865e-03 2.071942205615768e-04 -3.210660875400910e-01 4.474479383501115e-03 2.089645889326733e-02 2.993186552100912e-05 -7.965998742307014e-05 2.286645471489004e-06 -2.010694048036195e-05 2.273685890150241e-06 5.228747512281171e-12 -1.056070654998300e-14 5.169647527068292e-12 4.303036139160456e-08 -1.138642174817748e-10 4.292944503411933e-08
7.329785543361322e-01 4.804757335540121e-01 5.174614461553388e-01 4.969984258256908e-04 -9.165764941582721e-03 2.303200948281029e-04 -1.377193378660226e-03 2.309154753335802e-04 -3.988633260450778e-01 4.716644813141635e-03 2.657764830142555e-02 3.529293975367025e-05 -1.267444788794539e-04 3.470926998857412e-06 -2.809068732513855e-05 3.456357672327204e-06 1.204733423139732e-11 -2.921557829125412e-14 1.194640835905513e-11 5.304734608162632e-08 -5.488092009881697e-11 5.332195674853330e-08
7.502229554205430e-01 4.722612477971881e-01 5.189393208013782e-01 5.179190005843384e-04 -9.850094976163206e-03 2.355641407321109e-04 -1.327311435369193e-03 2.366195302437510e-04 -4.291622152517602e-01 4.807832921826590e-03 2.886232204410738e-02 3.696363380126634e-05 -1.484701774253355e-04 3.968641564011445e-06 -3.118403637392906e-05 3.954769588318285e-06 1.575011586359921e-11 -3.855764577865828e-14 1.564020249668717e-11 5.549046439885774e-08 -9.959576691330309e-12 5.598880209277338e-08
